Population,Latitude,Longitude,Year_start,Year_end,Line,Cold_recovery_time
Mossman,-16.47,145.37,1999,2000,1,48.08
Mossman,-16.47,145.37,1999,2000,1,50.57
Mossman,-16.47,145.37,1999,2000,1,64.41
Mossman,-16.47,145.37,1999,2000,1,120
Mossman,-16.47,145.37,1999,2000,4,29.2
Mossman,-16.47,145.37,1999,2000,4,41.12
Mossman,-16.47,145.37,1999,2000,4,50.25
Mossman,-16.47,145.37,1999,2000,4,38.11
Mossman,-16.47,145.37,1999,2000,4,46.35
Mossman,-16.47,145.37,1999,2000,4,50.44
Mossman,-16.47,145.37,1999,2000,4,53.2
Mossman,-16.47,145.37,1999,2000,14,24.55
Mossman,-16.47,145.37,1999,2000,14,26.06
Mossman,-16.47,145.37,1999,2000,14,27.08
Mossman,-16.47,145.37,1999,2000,14,28.4
Innisfail,-17.50,145.70,1999,2000,8,42.39
Innisfail,-17.50,145.70,1999,2000,8,46.26
Innisfail,-17.50,145.70,1999,2000,8,47.14
Innisfail,-17.50,145.70,1999,2000,10,31.4
Innisfail,-17.50,145.70,1999,2000,10,31.59
Innisfail,-17.50,145.70,1999,2000,10,40.55
Innisfail,-17.50,145.70,1999,2000,10,42.04
Innisfail,-17.50,145.70,1999,2000,13,37.28
Innisfail,-17.50,145.70,1999,2000,13,39.3
Bowen,-20.00,148.20,1999,2000,3,43.08
Bowen,-20.00,148.20,1999,2000,3,43.16
Bowen,-20.00,148.20,1999,2000,3,52.08
Bowen,-20.00,148.20,1999,2000,3,56.38
Bowen,-20.00,148.20,1999,2000,25,27.58
Bowen,-20.00,148.20,1999,2000,25,35.46
Bowen,-20.00,148.20,1999,2000,25,52.31
Bowen,-20.00,148.20,1999,2000,27,32.18
Bowen,-20.00,148.20,1999,2000,27,35.14
Bowen,-20.00,148.20,1999,2000,27,38.12
Bowen,-20.00,148.20,1999,2000,27,61.02
Bowen,-20.00,148.20,1999,2000,29,28.29
Bowen,-20.00,148.20,1999,2000,29,29.2
Bowen,-20.00,148.20,1999,2000,29,61.02
Sarina,-21.37,149.28,1999,2000,4,27.3
Sarina,-21.37,149.28,1999,2000,4,33.06
Sarina,-21.37,149.28,1999,2000,4,36.18
Sarina,-21.37,149.28,1999,2000,4,45.39
Sarina,-21.37,149.28,1999,2000,4,30.21
Sarina,-21.37,149.28,1999,2000,4,34.25
Sarina,-21.37,149.28,1999,2000,4,41.23
Sarina,-21.37,149.28,1999,2000,4,46.1
Sarina,-21.37,149.28,1999,2000,4,25.45
Sarina,-21.37,149.28,1999,2000,4,44.57
Sarina,-21.37,149.28,1999,2000,4,47.04
Sarina,-21.37,149.28,1999,2000,6,22.09
Sarina,-21.37,149.28,1999,2000,6,43.47
Sarina,-21.37,149.28,1999,2000,6,63.09
Sarina,-21.37,149.28,1999,2000,6,68.18
Sarina,-21.37,149.28,1999,2000,8,40.56
Sarina,-21.37,149.28,1999,2000,8,42.26
Sarina,-21.37,149.28,1999,2000,8,59.27
Rockhampton,-23.40,150.48,1999,2000,2,28.05
Rockhampton,-23.40,150.48,1999,2000,2,43.54
Rockhampton,-23.40,150.48,1999,2000,2,44.45
Rockhampton,-23.40,150.48,1999,2000,2,45.5
Rockhampton,-23.40,150.48,1999,2000,3,49.1
Rockhampton,-23.40,150.48,1999,2000,3,62.1
Rockhampton,-23.40,150.48,1999,2000,4,39.05
Rockhampton,-23.40,150.48,1999,2000,8,51.26
Rockhampton,-23.40,150.48,1999,2000,8,51.35
Rockhampton,-23.40,150.48,1999,2000,8,53.02
Rockhampton,-23.40,150.48,1999,2000,8,74.44
Rockhampton,-23.40,150.48,1999,2000,11,28.52
Rockhampton,-23.40,150.48,1999,2000,11,29.42
Rockhampton,-23.40,150.48,1999,2000,11,30.48
Rockhampton,-23.40,150.48,1999,2000,11,39.06
Rockhampton,-23.40,150.48,1999,2000,22,30.31
Rockhampton,-23.40,150.48,1999,2000,22,34.36
Rockhampton,-23.40,150.48,1999,2000,22,37.12
Rockhampton,-23.40,150.48,1999,2000,22,53.3
Rockhampton,-23.40,150.48,1999,2000,24,21.44
Rockhampton,-23.40,150.48,1999,2000,24,47.42
Rockhampton,-23.40,150.48,1999,2000,24,60.11
Rockhampton,-23.40,150.48,1999,2000,24,60.19
Rockhampton,-23.40,150.48,1999,2000,26,41.56
Rockhampton,-23.40,150.48,1999,2000,26,44.4
Rockhampton,-23.40,150.48,1999,2000,26,48.33
Rockhampton,-23.40,150.48,1999,2000,26,52.39
Rockhampton,-23.40,150.48,1999,2000,28,28.43
Rockhampton,-23.40,150.48,1999,2000,28,40.56
Rockhampton,-23.40,150.48,1999,2000,28,46.07
Rockhampton,-23.40,150.48,1999,2000,28,47.35
Rockhampton,-23.40,150.48,1999,2000,30,28.1
Rockhampton,-23.40,150.48,1999,2000,30,29.08
Rockhampton,-23.40,150.48,1999,2000,30,34.45
Rockhampton,-23.40,150.48,1999,2000,30,36.16
Gladstone,-23.88,151.26,1999,2000,1,38.15
Gladstone,-23.88,151.26,1999,2000,2,50.5
