Population,Latitude,Longitude,Year_start,Year_end,Line,Heat_knockdown_time
na,-15.47,145.26,1999,2000,1,20.46
na,-15.47,145.26,1999,2000,1,17.11
na,-15.47,145.26,1999,2000,1,21.30
na,-15.47,145.26,1999,2000,1,8.95
na,-15.47,145.26,1999,2000,1,12.25
na,-15.47,145.26,1999,2000,1,0.88
na,-15.47,145.26,1999,2000,1,14.20
na,-15.47,145.26,1999,2000,1,8.05
na,-15.47,145.26,1999,2000,1,16.10
na,-15.47,145.26,1999,2000,3,9.22
na,-15.47,145.26,1999,2000,3,16.05
na,-15.47,145.26,1999,2000,3,20.20
na,-15.47,145.26,1999,2000,3,1.40
na,-15.47,145.26,1999,2000,3,10.40
na,-15.47,145.26,1999,2000,3,17.58
na,-15.47,145.26,1999,2000,5,21.40
na,-15.47,145.26,1999,2000,5,17.50
na,-15.47,145.26,1999,2000,5,4.03
na,-15.47,145.26,1999,2000,5,12.02
na,-15.47,145.26,1999,2000,5,8.95
na,-15.47,145.26,1999,2000,13,23.00
na,-15.47,145.26,1999,2000,28,10.29
na,-16.08,145.47,1999,2000,3,18.25
na,-16.08,145.47,1999,2000,3,14.20
na,-16.08,145.47,1999,2000,3,30.37
na,-16.08,145.47,1999,2000,3,24.16
na,-16.08,145.47,1999,2000,3,21.77
na,-16.08,145.47,1999,2000,5,9.30
na,-16.08,145.47,1999,2000,5,18.21
na,-16.08,145.47,1999,2000,5,9.10
na,-16.08,145.47,1999,2000,5,21.70
na,-16.08,145.47,1999,2000,5,16.30
na,-16.08,145.47,1999,2000,6,25.13
na,-16.08,145.47,1999,2000,6,11.09
na,-16.08,145.47,1999,2000,6,14.09
na,-16.08,145.47,1999,2000,6,3.10
na,-16.08,145.47,1999,2000,6,14.53
na,-16.08,145.47,1999,2000,9,19.31
na,-16.08,145.47,1999,2000,9,18.40
na,-16.08,145.47,1999,2000,9,19.13
na,-16.08,145.47,1999,2000,9,12.20
na,-16.08,145.47,1999,2000,9,13.88
na,-16.08,145.47,1999,2000,11,14.21
na,-16.08,145.47,1999,2000,11,9.20
na,-16.08,145.47,1999,2000,11,11.18
na,-16.08,145.47,1999,2000,12,10.18
na,-16.08,145.47,1999,2000,12,22.54
na,-16.08,145.47,1999,2000,12,7.50
na,-16.08,145.47,1999,2000,12,22.88
na,-16.08,145.47,1999,2000,12,11.12
na,-16.08,145.47,1999,2000,13,16.12
na,-16.08,145.47,1999,2000,13,16.00
na,-16.08,145.47,1999,2000,13,15.52
na,-16.08,145.47,1999,2000,13,14.10
na,-16.08,145.47,1999,2000,13,16.23
na,-16.08,145.47,1999,2000,14,13.34
na,-16.08,145.47,1999,2000,14,12.50
na,-16.08,145.47,1999,2000,14,24.35
na,-16.08,145.47,1999,2000,14,17.11
na,-16.08,145.47,1999,2000,14,15.97
na,-16.08,145.47,1999,2000,14,16.75
na,-16.08,145.47,1999,2000,15,9.41
na,-16.08,145.47,1999,2000,15,11.25
na,-16.08,145.47,1999,2000,15,7.98
na,-16.08,145.47,1999,2000,15,17.68
na,-16.08,145.47,1999,2000,15,16.20
na,-16.08,145.47,1999,2000,16,21.22
na,-16.08,145.47,1999,2000,16,7.55
na,-16.08,145.47,1999,2000,16,13.10
na,-16.08,145.47,1999,2000,16,15.30
na,-16.08,145.47,1999,2000,16,14.10
Mossman,-16.47,145.37,1999,2000,1,10.12
Mossman,-16.47,145.37,1999,2000,1,15.50
Mossman,-16.47,145.37,1999,2000,1,12.30
Mossman,-16.47,145.37,1999,2000,1,24.40
Mossman,-16.47,145.37,1999,2000,1,17.25
Mossman,-16.47,145.37,1999,2000,1,12.08
Mossman,-16.47,145.37,1999,2000,1,13.50
Mossman,-16.47,145.37,1999,2000,1,17.08
Mossman,-16.47,145.37,1999,2000,1,9.62
Mossman,-16.47,145.37,1999,2000,1,18.12
Mossman,-16.47,145.37,1999,2000,7,16.50
Mossman,-16.47,145.37,1999,2000,7,23.07
Mossman,-16.47,145.37,1999,2000,7,6.88
Mossman,-16.47,145.37,1999,2000,7,25.93
Mossman,-16.47,145.37,1999,2000,7,14.87
Mossman,-16.47,145.37,1999,2000,7,8.30
Mossman,-16.47,145.37,1999,2000,18,18.60
Mossman,-16.47,145.37,1999,2000,22,16.40
Mossman,-16.47,145.37,1999,2000,22,11.21
Mossman,-16.47,145.37,1999,2000,22,13.85
Mossman,-16.47,145.37,1999,2000,22,14.97
Mossman,-16.47,145.37,1999,2000,27,15.20
Mossman,-16.47,145.37,1999,2000,31,12.40
Mossman,-16.47,145.37,1999,2000,31,6.37
Mossman,-16.47,145.37,1999,2000,31,11.20
Mossman,-16.47,145.37,1999,2000,31,12.82
Mossman,-16.47,145.37,1999,2000,31,17.50
Innisfail,-17.50,145.70,1999,2000,2,12.48
Innisfail,-17.50,145.70,1999,2000,2,11.06
Innisfail,-17.50,145.70,1999,2000,2,15.78
Innisfail,-17.50,145.70,1999,2000,2,7.58
Innisfail,-17.50,145.70,1999,2000,2,13.40
