Latitude,Longitude,Year_start,Year_end,Sex,Experiment,Mean_pupal_period,Confidence_limit_pupal_period,Mean_development_time,Confidence_limit_development_time
-16.88,145.46,1993,1993,female,1,8.28,0.12,18.77,0.31
-16.88,145.46,1993,1993,female,1,8.39,0.09,18.88,0.20
-20.17,148.21,1993,1993,female,1,8.36,0.12,18.22,0.25
-23.13,150.75,1993,1993,female,1,8.44,0.10,18.15,0.50
-25.55,152.69,1993,1993,female,1,8.34,0.09,18.20,0.17
-25.55,152.69,1993,1993,female,1,8.38,0.12,18.31,0.25
-27.95,153.19,1993,1993,female,1,8.30,0.11,17.89,0.36
-30.32,153.03,1993,1993,female,1,8.16,0.15,18.09,0.31
-31.90,152.02,1993,1993,female,1,8.16,0.09,18.22,0.20
-35.82,145.70,1993,1993,female,1,8.37,0.10,18.05,0.32
-35.82,145.70,1993,1993,female,1,8.41,0.08,18.47,0.17
-41.18,147.32,1993,1993,female,1,8.24,0.06,18.05,0.12
-42.88,147.29,1993,1993,female,1,8.45,0.10,18.12,0.17
-16.88,145.46,1993,1993,male,1,8.88,0.09,19.36,0.19
-16.88,145.46,1993,1993,male,1,8.91,0.09,19.40,0.18
-20.17,148.21,1993,1993,male,1,8.72,0.08,18.56,0.19
-23.13,150.75,1993,1993,male,1,8.71,0.08,18.60,0.18
-25.55,152.69,1993,1993,male,1,8.62,0.09,18.55,0.19
-25.55,152.69,1993,1993,male,1,8.70,0.08,,
-27.95,153.19,1993,1993,male,1,8.69,0.07,18.29,0.17
-30.32,153.03,1993,1993,male,1,8.50,0.08,18.44,0.16
-31.90,152.02,1993,1993,male,1,8.69,0.08,18.74,0.18
-35.82,145.70,1993,1993,male,1,8.51,0.06,18.24,0.19
-35.82,145.70,1993,1993,male,1,8.60,0.08,18.62,0.18
-41.18,147.32,1993,1993,male,1,8.58,0.08,18.41,0.17
-42.88,147.29,1993,1993,male,1,8.74,0.08,18.41,0.18
-16.88,145.46,1993,1993,female,2,7.019,7.229,18.418,0.059
-16.88,145.46,1993,1993,female,2,7.051,7.237,18.455,0.077
-20.17,148.21,1993,1993,female,2,6.989,7.266,18.013,0.113
-20.17,148.21,1993,1993,female,2,7.052,7.294,18.040,0.113
-23.13,150.75,1993,1993,female,2,6.966,7.177,18.100,0.077
