Location,Latitude,Longitude,ID,Distance_to_coast,Altitude,Opuntia_species,Collection_year,Season,Nr._D._buzzatii,Nr._D._aldrichi,Nr._total,Proportion_D._aldrichi,Collection_notes,Collection_date,Locality_information
Bulla,-37.654,144.769,63,25,100,stricta,2000,S,35,0,35,0.0000,,"April,1991",
Bulla,-37.654,144.769,63,25,100,stricta,2000,S,45,0,45,0.0000,,1.4.02,
Bulla,-37.654,144.769,63,25,100,stricta,2000,S,288,0,288,0.0000,,7.4.83,
Bulla,-37.654,144.769,63,25,100,stricta,2000,S,321,0,321,0.0000,,2.4.81,
Baringhup,-36.983,143.950,97,125,200,stricta,2000,,39,0,39,0.0000,,12.5.02,
Fidge_Road,-36.317,145.050,38,170,100,,2000,,4,0,4,0.0000,,,
Kyabram,-36.317,145.050,96,170,100,,2000,,2,0,2,0.0000,,,
Lolicato,-35.467,143.617,94,350,80,,2000,,5,0,5,0.0000,,,
Long_Lake,-35.467,143.617,95,350,80,,2000,,13,0,13,0.0000,,,
Burns,-35.450,143.500,93,345,80,,2000,,1,0,1,0.0000,,,
Swan_Hill_,-35.402,143.563,87,360,80,,2000,S,19,0,19,0.0000,,29.3.02,ca_5km_SE_Swan_Hill_to_Echuca
Taverna,-35.400,143.567,39,355,80,,2000,,11,0,11,0.0000,,,
Dead_Horse_Lane,-35.367,143.550,40,360,80,,2000,,117,0,117,0.0000,,,
De_Mario,-35.283,143.467,92,360,75,,2000,,10,0,10,0.0000,,,
Wood_Wood,-35.117,143.350,41,380,75,,2000,,1108,0,1108,0.0000,,,
Gallico,-35.050,143.333,91,380,80,,2000,,1,0,1,0.0000,,,
Pooraka,-34.817,138.117,49,7,10,,2000,,48,0,48,0.0000,,,
Parafield,-34.800,138.650,62,10,20,ficus-indica,2000,S,172,0,172,0.0000,,9.3.83,
Smithfield,-34.667,138.200,90,20,35,,2000,,5,0,5,0.0000,,,
Dalkeith_Road,-34.650,138.200,89,20,35,,2000,,1,0,1,0.0000,,,
Wingate_Road,-34.617,138.183,88,20,40,,2000,,3,0,3,0.0000,,,
Gerongar_Point,-34.555,150.811,83,0,5,stricta,2000,S,383,0,383,0.0000,,29.3.02,Yallah_(Dapto_area)
Cardross_575,-34.317,142.133,42,305,50,,2000,,60,0,60,0.0000,,,
Sunnycliffs_260,-34.317,142.183,45,305,60,,2000,,469,0,469,0.0000,,,
Sunnycliffs_270,-34.317,142.200,46,305,60,,2000,,98,0,98,0.0000,,,
Cardross_598,-34.300,142.150,43,305,50,,2000,,349,0,349,0.0000,,,
Cardross_Res,-34.300,142.167,44,305,50,,2000,,790,0,790,0.0000,,,
Cureton_Ave,-34.300,142.200,47,305,60,,2000,,84,0,84,0.0000,,,
Mildura,-34.217,142.150,48,320,50,,2000,,157,0,157,0.0000,,,
Big_Womalilla_Ck.,-26.487,147.773,84,455,370,tomentosa,1902,S,27,332,359,0.9248,,25.3.02,first_crossing_-21_km_west_of_
Warkworth,-32.570,151.010,3,85,75,stricta,1970,S,22,0,22,0.0000,,12.12.70,13_km_Jerry's_Plains
Warkworth,-32.570,151.010,3,85,75,stricta,1971,S,167,0,167,0.0000,,20.12.71,13_km_Jerry's_Plains
