Location,Latitude,Longitude,Species,Year_start,Year_end
Atherton,-17.267,145.467,D._birchii,1993,1993
Atherton_Tablelands,-17.250,145.467,D._birchii,1993,1993
Babinda,-17.333,145.917,D._sp._cf._jambulina,1993,1993
Babinda,-17.333,145.917,D._birchii,1993,1993
Ballina,-28.850,153.533,D._serrata,Unknown,Unknown
Bamaga,-10.883,142.383,D._birchii,1975,1975
Bargara,-24.833,152.450,D._serrata,1952,1952
Bartle_Frere_(Josephine_Falls),-17.433,145.867,D._birchii,Unknown,Unknown
Bellingen,-30.450,152.900,D._serrata,1960,1960
Berry_Springs,-12.700,130.983,D._serrata,1980,1980
Bertie_Creek_Pump,-11.767,142.600,D._bunnanda,1992,1992
Bowen,-20.000,148.183,D._serrata,1993,1994
Bowen,-20.006,148.193,D._serrata,2000,2000
Bowenia_Stony_Ck,-22.950,150.233,D._serrata,Unknown,Unknown
Bribie_Island,-26.967,153.100,D._serrata,1972,1972
Brisbane_(Greenslopes),-27.517,153.033,D._serrata,1952,1952
Brisbane_(Indooroopilly),-27.500,152.967,D._sp._cf._jambulina,1993,1994
Brisbane_(Indooroopilly),-27.500,152.967,D._serrata,1993,1994
Brisbane_(Keperra_Park),-27.404,152.936,D._serrata,Unknown,Unknown
Brisbane_(Laceys_Creek),-27.233,152.717,D._serrata,1979,1979
Brisbane_(Mt_Coot-tha),-27.483,152.967,D._sp._cf._jambulina,1993,1994
Brisbane_(Mt_Coot-tha),-27.483,152.967,D._serrata,1993,1994
Brisbane_(Toowong),-27.467,152.983,D._sp._cf._jambulina,1993,1994
Brisbane_(Toowong),-27.467,152.983,D._serrata,1952,1952
Brisbane_(Toowong),-27.467,152.983,D._serrata,1993,1994
Brisbane_(UQ_Farm_at_Moggill),-27.567,152.867,D._serrata,1952,1952
Brisbane_(UQ_Farm_at_Moggill),-27.567,152.867,D._serrata,1953,1953
Brisbane_(UQ_Farm_at_Moggill),-27.567,152.867,D._serrata,1960,1960
Brisbane_Forest_Park_(Scrub_Creek),-27.050,152.400,D._sp._cf._jambulina,1993,1994
Brisbane_Forest_Park_(Scrub_Creek),-27.050,152.400,D._serrata,1993,1994
Brunswick_Heads,-28.523,153.541,D._sp._cf._jambulina,2003,2003
Brunswick_Heads,-28.523,153.541,D._serrata,Unknown,Unknown
Bulahdelah,-32.400,152.217,D._serrata,1960,1960
Burnett_River,-24.750,152.400,D._serrata,Unknown,Unknown
Cairns,-16.903,145.705,D._serrata,2003,2003
Cairns,-16.903,145.705,D._kikkawai,2003,2003
Cairns,-16.903,145.705,D._birchii,2000,2000
Cairns,-16.874,145.740,D._sp._cf._jambulina,2001,2001
Cairns,-16.874,145.740,D._kikkawai,2000,2000
Cairns,-16.874,145.740,D._kikkawai,2001,2001
Cairns,-16.904,145.258,D._serrata,2003,2003
Cairns,-16.904,145.258,D._bunnanda,2003,2003
Cairns,-16.904,145.258,D._birchii,2003,2003
Cairns,-16.958,145.683,D._birchii,2002,2002
Cairns,-16.842,145.740,D._sp._cf._jambulina,1999,1999
Cairns,-16.842,145.740,D._serrata,1999,1999
Campaspe_River,-20.439,145.526,D._sp._cf._jambulina,2005,2005
Cape_Tribulation,-16.037,145.455,D._sp._cf._jambulina,2001,2001
Cape_Tribulation,-16.037,145.455,D._bunnanda,2000,2000
Cape_Tribulation,-16.037,145.455,D._bunnanda,2001,2001
Cape_Tribulation,-16.037,145.455,D._bunnanda,2002,2002
Cape_Tribulation,-16.037,145.455,D._birchii,2000,2000
Cape_Tribulation,-16.037,145.455,D._birchii,2001,2001
Cape_Tribulation,-16.070,145.457,D._bunnanda,2000,2000
Cape_Tribulation,-16.070,145.457,D._birchii,2000,2000
Captain_Billy_Creek,-11.617,142.833,D._serrata,1992,1992
Cardwell_Range,-18.333,145.833,D._birchii,1975,1975
Cooktown,-15.471,145.258,D._sp._cf._jambulina,2003,2003
Cooktown,-15.471,145.258,D._serrata,2003,2003
Cooktown,-15.471,145.258,D._bunnanda,2003,2003
Cooktown_Endeavour_Falls,-15.353,145.024,D._serrata,2002,2002
Cooktown_Endeavour_Falls,-15.353,145.024,D._bunnanda,2001,2001
Cooktown_Endeavour_Falls,-15.353,145.024,D._birchii,2001,2001
Cooktown_Mount_Cook,-15.476,145.254,D._sp._cf._jambulina,2002,2002
Cooktown_Mount_Cook,-15.476,145.254,D._sp._cf._jambulina,2003,2003
Cooktown_Mount_Cook,-15.476,145.254,D._serrata,1998,1998
Cooktown_Mount_Cook,-15.476,145.254,D._serrata,2002,2002
Cooktown_Mount_Cook,-15.476,145.254,D._serrata,2003,2003
Cooktown_Mount_Cook,-15.476,145.254,D._bunnanda,2002,2002
Cooktown_Mount_Cook,-15.476,145.254,D._bunnanda,2003,2003
Cooktown_Mount_Cook,-15.476,145.254,D._birchii,2002,2002
Cooktown,-15.474,145.254,D._sp._cf._jambulina,2003,2003
Cooktown,-15.474,145.254,D._serrata,2003,2003
Cow_Bay,-16.160,145.403,D._bunnanda,2000,2000
Cow_Bay,-16.160,145.403,D._birchii,2000,2000
Crescent_Head,-31.183,152.967,D._serrata,Unknown,Unknown
Crystal_Cascades,-16.958,145.674,D._birchii,1960,1960
Crystal_Cascades,-16.958,145.674,D._birchii,1961,1961
Crystal_Cascades,-16.958,145.674,D._birchii,2002,2002
Daintree_River,-16.283,145.450,D._bunnanda,Unknown,Unknown
Davies_Creek,-17.038,145.606,D._birchii,2002,2002
Dome_Mountain,-29.283,152.750,D._serrata,1992,1992
Dunwich,-27.500,153.400,D._serrata,1952,1952
Eidsvold,-25.367,151.117,D._serrata,1924,1924
Eungella,-21.168,148.492,D._sp._cf._jambulina,2000,2000
Eungella,-21.168,148.492,D._serrata,2000,2000
Eungella,-21.168,148.492,D._serrata,2001,2001
Eungella,-21.168,148.492,D._serrata,2002,2002
Eungella,-21.168,148.492,D._birchii,2000,2000
Eungella,-21.168,148.492,D._birchii,2001,2001
Eungella,-21.168,148.492,D._birchii,2002,2002
Finch_Hatton,-21.035,148.636,D._serrata,2000,2000
Finch_Hatton,-21.035,148.636,D._serrata,2001,2001
Finch_Hatton,-21.035,148.636,D._serrata,2002,2002
Finch_Hatton,-21.035,148.636,D._birchii,2000,2000
Finch_Hatton,-21.035,148.636,D._birchii,2001,2001
Finch_Hatton,-21.035,148.636,D._birchii,2002,2002
Fingal_Head,-28.200,153.567,D._serrata,Unknown,Unknown
Gin-Gin_Creek,-24.917,152.017,D._serrata,1952,1952
Gladstone,-23.892,151.253,D._serrata,Unknown,Unknown
Glass_House_Mountains,-26.900,152.950,D._serrata,1977,1977
Gordonvale,-17.138,145.720,D._serrata,1999,1999
Gordonvale,-17.138,145.720,D._bunnanda,1999,1999
Gordonvale,-17.138,145.720,D._birchii,1999,1999
Gordonvale,-17.138,145.720,D._birchii,2002,2002
Grafton,-29.667,152.933,D._serrata,Unknown,Unknown
Heron_Island,-23.433,151.900,D._serrata,Unknown,Unknown
Heron_Island,-23.433,151.900,D._kikkawai,1961,1961
Huonbrook,-28.533,153.350,D._serrata,1965,1965
Iluka_Clarence_Riverr,-29.400,153.350,D._serrata,1970,1970
Ingham,-18.650,146.150,D._birchii,2002,2002
Iron_Range_NP_Chilli_Creek,-12.642,143.375,D._bunnanda,2002,2002
Iron_Range_NP_Gordon_Creek,-12.717,143.317,D._birchii,1981,1981
Cairns,-16.872,145.672,D._sp._cf._jambulina,2002,2002
Cairns,-16.872,145.672,D._serrata,2002,2002
Cairns,-16.872,145.672,D._bunnanda,2002,2002
Cairns,-16.872,145.672,D._birchii,2002,2002
Cairns,-16.871,145.685,D._serrata,1999,1999
Cairns,-16.871,145.685,D._serrata,2002,2002
Kingscliff,-28.259,153.574,D._serrata,Unknown,Unknown
Kirrama,-18.191,145.868,D._bunnanda,1999,1999
Kirrama,-18.191,145.868,D._bunnanda,2001,2001
Kirrama,-18.191,145.868,D._bunnanda,2002,2002
Kirrama,-18.191,145.868,D._birchii,1999,1999
