Population,Line,Latitude,Longitude,Year_start,Year_end,AC004721,DRONINAC,AC004373,AC005115,AC009392,DMU12269,AC005889,AC004118,DS01340,AC005555,DROGPDHA,DRODANS,DMBIBGENE,G410,DRODORSAL,AC006302,AC004722,AC004758,DROEXPAND,DROYANETSB,Adh,In(2L)t
Innisfail,BB002,-17.51,146.00,2008,2008,202,135,187,180,192,238,188,289,179,156,181,274,133,156,240,239,208,204,87,93,S,S
Innisfail,BB002,-17.51,146.00,2008,2008,202,139,183,180,194,236,193,310,179,176,181,,149,132,260,,208,,93,97,S,I
Innisfail,BB003,-17.51,146.00,2008,2008,201,135,187,187,192,240,188,289,179,176,179,274,146,150,240,229,199,205,93,93,S,S
Innisfail,BB004,-17.51,146.00,2008,2008,202,137,187,187,186,240,188,287,179,176,181,274,133,150,234,229,199,204,93,91,S,S
Innisfail,BB007,-17.51,146.00,2008,2008,202,135,,180,190,239,188,295,184,176,180,274,146,152,234,253,208,204,93,95,S,S
Innisfail,BB010,-17.51,146.00,2008,2008,204,139,185,180,194,239,213,289,179,168,180,274,149,132,240,229,199,,93,95,S,I
Innisfail,BB012,-17.51,146.00,2008,2008,199,137,187,187,190,239,188,316,179,176,181,274,146,167,240,229,206,204,87,95,S,S
Innisfail,BB015,-17.51,146.00,2008,2008,204,139,191,180,194,239,213,308,179,168,180,274,149,132,240,229,208,194,87,100,S,I
Innisfail,BB015,-17.51,146.00,2008,2008,204,139,191,180,194,239,213,308,179,168,180,274,149,132,240,229,208,194,87,100,S,I
Innisfail,BB016,-17.51,146.00,2008,2008,202,139,191,187,194,239,193,312,179,168,181,274,149,132,240,229,208,194,93,97,S,I
Innisfail,BB016,-17.51,146.00,2008,2008,204,139,191,187,194,239,193,312,179,172,180,274,149,132,240,229,208,194,93,97,S,I
Innisfail,BB017,-17.51,146.00,2008,2008,202,137,185,187,192,237,188,302,183,168,179,274,146,154,234,251,199,,87,91,S,S
Innisfail,BB018,-17.51,146.00,2008,2008,185,135,187,187,192,237,188,297,183,176,181,274,146,165,240,253,199,207,93,106,S,S
Innisfail,BB018,-17.51,146.00,2008,2008,185,135,187,180,192,240,184,297,183,176,181,274,146,165,240,253,199,207,93,106,F,S
Innisfail,BB019,-17.51,146.00,2008,2008,202,139,187,180,194,239,193,312,179,168,181,274,149,132,240,229,208,194,84,95,S,I
Innisfail,BB020,-17.51,146.00,2008,2008,199,139,185,187,186,231,188,291,181,176,181,274,133,165,237,231,199,195,93,93,S,S
Innisfail,BB024,-17.51,146.00,2008,2008,202,133,187,187,192,240,188,316,183,168,181,274,146,140,243,229,206,204,93,93,S,S
Innisfail,BB025,-17.51,146.00,2008,2008,202,135,185,187,192,231,184,291,184,176,179,274,146,140,240,251,199,204,93,93,S,S
Innisfail,BB027,-17.51,146.00,2008,2008,202,139,183,187,190,246,191,291,184,168,179,274,133,154,240,253,199,196,93,93,S,S
Innisfail,BB027,-17.51,146.00,2008,2008,202,139,185,180,194,236,193,302,179,168,181,274,149,132,240,229,197,204,93,100,S,I
Innisfail,BB029,-17.51,146.00,2008,2008,202,135,185,187,186,239,188,316,179,176,179,274,146,141,234,229,199,194,93,93,S,S
Innisfail,BB029,-17.51,146.00,2008,2008,202,135,185,187,186,239,188,295,179,176,179,274,146,150,240,253,199,194,93,93,S,S
Innisfail,BB032,-17.51,146.00,2008,2008,199,135,185,187,190,242,184,291,179,176,181,274,146,140,240,253,208,193,93,91,F,S
Innisfail,BB032,-17.51,146.00,2008,2008,199,135,185,187,190,243,184,291,179,176,181,274,133,140,240,,208,,93,91,F,S
Innisfail,BB036,-17.51,146.00,2008,2008,202,135,185,180,192,231,188,302,179,176,181,274,146,150,240,251,208,198,93,93,S,S
Innisfail,BB037,-17.51,146.00,2008,2008,202,137,185,180,195,236,184,312,179,174,180,274,149,132,240,229,208,194,93,97,S,I
Innisfail,BB037,-17.51,146.00,2008,2008,202,135,189,187,192,240,184,,184,176,181,,133,133,240,251,206,204,93,93,S,S
Innisfail,BB038,-17.51,146.00,2008,2008,204,139,187,180,194,236,213,289,179,168,181,274,149,127,234,229,208,196,93,91,S,I
Innisfail,BB038,-17.51,146.00,2008,2008,204,139,187,180,194,240,213,289,179,168,181,274,149,127,234,229,208,196,93,91,S,I
Innisfail,BB040,-17.51,146.00,2008,2008,201,135,187,187,192,249,188,291,179,168,179,274,133,152,240,253,206,204,93,91,S,S
Innisfail,BB042,-17.51,146.00,2008,2008,202,137,181,187,192,239,188,316,181,176,181,274,133,150,240,231,199,204,93,93,S,S
Innisfail,BB042,-17.51,146.00,2008,2008,202,135,187,187,192,239,188,316,179,176,181,274,133,150,240,231,199,204,87,93,S,S
Innisfail,BB042,-17.51,146.00,2008,2008,204,139,191,187,194,236,193,289,179,166,179,274,149,132,243,229,208,206,93,97,S,I
Innisfail,BB042,-17.51,146.00,2008,2008,204,139,191,180,194,242,193,312,179,172,180,274,149,132,240,229,208,195,93,95,S,I
Innisfail,BB043,-17.51,146.00,2008,2008,202,137,185,187,192,237,188,291,184,156,179,274,146,152,234,253,197,204,87,91,S,S
Innisfail,BB043,-17.51,146.00,2008,2008,202,139,189,187,186,239,184,289,181,174,180,274,149,133,243,,199,205,93,93,S,S
Innisfail,BB044,-17.51,146.00,2008,2008,202,135,187,180,186,243,191,304,179,176,179,274,146,141,234,229,199,204,93,108,S,S
Innisfail,BB047,-17.51,146.00,2008,2008,202,135,185,187,190,239,188,291,179,176,181,274,146,150,240,231,199,206,93,116,S,S
Innisfail,BB053,-17.51,146.00,2008,2008,185,135,185,187,192,240,188,291,179,176,179,274,133,152,240,229,199,204,93,108,S,S
Innisfail,BB055,-17.51,146.00,2008,2008,202,137,181,180,194,242,193,310,179,168,180,274,149,132,240,229,208,193,93,100,S,I
Innisfail,BB057,-17.51,146.00,2008,2008,202,135,187,187,194,236,184,302,179,168,180,274,149,132,240,229,208,204,93,97,S,I
Innisfail,BB061,-17.51,146.00,2008,2008,202,135,185,180,194,240,188,289,179,156,179,274,133,135,232,229,199,201,93,93,S,S
Innisfail,BB061,-17.51,146.00,2008,2008,202,135,185,180,194,240,188,289,179,156,179,274,133,135,232,229,199,201,93,93,S,S
Innisfail,BB062,-17.51,146.00,2008,2008,204,139,185,187,194,236,193,291,179,168,180,274,149,132,234,229,208,204,93,91,S,I
Innisfail,BB062,-17.51,146.00,2008,2008,202,137,185,180,190,242,188,312,179,176,181,274,146,150,240,253,199,207,87,108,F,S
Innisfail,BB065,-17.51,146.00,2008,2008,199,137,185,187,190,246,188,291,184,166,179,274,146,154,246,229,199,194,93,91,S,S
Innisfail,BB066,-17.51,146.00,2008,2008,201,135,184,182,189,239,188,293,184,176,179,274,146,147,240,229,208,204,93,93,S,S
Innisfail,BB066,-17.51,146.00,2008,2008,202,135,185,182,186,239,188,289,184,168,179,274,133,147,260,229,206,,93,91,S,S
Innisfail,BB070,-17.51,146.00,2008,2008,204,139,187,187,194,239,193,310,179,172,181,274,149,132,249,229,208,193,93,91,S,I
Innisfail,BB072,-17.51,146.00,2008,2008,202,135,187,187,192,237,188,302,179,174,179,274,146,130,240,229,197,207,93,108,S,S
Innisfail,BB072,-17.51,146.00,2008,2008,202,137,181,187,192,231,188,302,179,176,181,274,133,130,240,229,197,204,87,100,S,S
Innisfail,BB073,-17.51,146.00,2008,2008,201,135,187,187,190,239,191,291,179,176,181,274,146,141,240,251,199,193,93,93,S,S
Innisfail,BB076,-17.51,146.00,2008,2008,202,139,185,187,190,236,190,316,179,174,181,274,133,150,234,251,197,207,93,108,S,S
Innisfail,BB077,-17.51,146.00,2008,2008,202,137,183,187,190,237,191,291,183,176,181,274,146,152,240,229,199,194,87,93,S,S
Innisfail,BB080,-17.51,146.00,2008,2008,204,135,185,187,190,237,188,289,181,174,181,274,133,150,243,253,199,204,84,91,S,S
Innisfail,BB081,-17.51,146.00,2008,2008,199,135,185,187,186,236,188,302,179,178,181,274,149,152,240,253,199,204,93,93,S,S
Innisfail,BB081,-17.51,146.00,2008,2008,202,135,181,180,194,240,191,289,179,176,181,274,149,150,249,251,199,204,93,93,S,S
Innisfail,BB082,-17.51,146.00,2008,2008,202,135,185,187,190,230,184,299,179,156,181,274,146,152,240,251,197,206,87,93,S,S
Innisfail,BB085,-17.51,146.00,2008,2008,201,135,179,180,190,230,188,289,179,176,179,274,133,133,240,229,206,204,93,91,S,S
Innisfail,BB089,-17.51,146.00,2008,2008,202,135,187,187,192,242,184,297,179,168,181,274,133,140,240,251,197,204,93,91,S,S
Innisfail,BB089,-17.51,146.00,2008,2008,202,135,187,180,192,240,184,287,179,156,181,274,146,150,240,251,199,204,93,91,S,S
Innisfail,BB091,-17.51,146.00,2008,2008,202,135,187,187,192,242,184,293,179,168,181,274,133,140,243,229,197,204,93,91,S,S
Innisfail,BB093,-17.51,146.00,2008,2008,202,135,185,180,192,240,184,293,179,170,181,274,149,150,243,229,206,204,87,91,F,S
Innisfail,BB094,-17.51,146.00,2008,2008,199,137,187,187,194,231,188,299,179,176,181,274,149,147,234,229,199,204,93,125,S,S
Innisfail,BB097,-17.51,146.00,2008,2008,201,137,181,180,192,239,190,297,179,172,179,274,146,140,234,229,199,196,87,93,S,S
Innisfail,BB098,-17.51,146.00,2008,2008,202,135,183,174,190,239,188,289,179,156,180,274,146,150,249,251,199,193,93,108,S,S
Innisfail,BB098,-17.51,146.00,2008,2008,202,135,183,180,190,239,188,281,179,156,180,274,146,152,240,251,199,193,93,108,S,S
Innisfail,BB101,-17.51,146.00,2008,2008,202,137,185,187,192,240,188,289,179,176,179,274,146,147,240,229,199,207,93,93,S,S
Innisfail,BB102,-17.51,146.00,2008,2008,204,139,187,180,194,236,191,312,179,168,179,274,149,132,240,229,208,193,93,97,S,I
Innisfail,BB104,-17.51,146.00,2008,2008,202,137,187,187,192,230,188,304,179,156,179,274,146,150,240,239,199,206,93,95,S,S
Innisfail,BB108,-17.51,146.00,2008,2008,204,139,185,180,194,239,193,310,179,172,180,274,149,132,240,229,208,193,93,97,S,I
Innisfail,BB108,-17.51,146.00,2008,2008,204,139,185,180,194,239,193,310,179,172,180,274,149,132,240,229,208,,93,97,S,I
Innisfail,BB109,-17.51,146.00,2008,2008,,139,189,187,190,239,191,291,181,156,180,274,146,152,240,229,199,195,93,104,S,S
Innisfail,BB115,-17.51,146.00,2008,2008,201,137,185,187,192,233,188,289,184,168,179,274,146,150,234,229,199,204,93,116,S,S
Innisfail,BB115,-17.51,146.00,2008,2008,201,137,185,187,190,239,184,289,179,176,179,274,146,150,234,229,206,204,93,104,S,S
Innisfail,BB116,-17.51,146.00,2008,2008,204,139,187,180,194,239,213,302,179,168,180,274,149,132,234,229,208,193,93,95,S,I
Innisfail,BB117,-17.51,146.00,2008,2008,202,135,187,187,190,236,188,289,184,168,181,274,146,150,240,229,199,206,93,93,S,S
Innisfail,BB117,-17.51,146.00,2008,2008,202,135,187,187,190,231,188,291,179,176,181,274,146,152,234,239,199,206,93,93,S,S
Innisfail,BB118,-17.51,146.00,2008,2008,202,135,185,180,192,239,188,291,179,168,181,274,146,150,249,253,208,204,93,93,S,S
Innisfail,BB118,-17.51,146.00,2008,2008,202,135,187,180,190,239,188,291,184,176,181,274,149,140,249,231,199,206,93,104,S,S
Innisfail,BB118,-17.51,146.00,2008,2008,202,135,185,180,192,239,188,291,179,168,181,274,146,150,249,253,208,204,93,93,S,S
Innisfail,BB122,-17.51,146.00,2008,2008,202,135,187,187,190,230,188,291,179,168,179,274,149,150,234,251,199,204,93,110,S,S
Innisfail,BB123,-17.51,146.00,2008,2008,202,135,189,180,190,237,188,289,184,176,181,274,133,141,240,239,199,204,93,93,S,S
Innisfail,BB124,-17.51,146.00,2008,2008,202,135,181,180,194,240,188,297,179,176,181,274,146,165,243,251,208,206,93,104,S,S
Innisfail,BB124,-17.51,146.00,2008,2008,202,135,185,187,190,239,184,291,181,156,181,274,146,152,240,229,199,206,87,91,S,S
Innisfail,BB132,-17.51,146.00,2008,2008,202,139,181,180,194,253,188,312,179,176,181,274,149,132,240,229,208,193,93,91,S,I
Innisfail,BB132,-17.51,146.00,2008,2008,202,139,181,180,194,253,188,312,179,176,181,274,149,132,240,229,208,194,93,91,S,I
Innisfail,BB134,-17.51,146.00,2008,2008,204,139,181,187,194,236,213,289,179,168,181,274,149,132,240,229,199,194,96,97,S,I
Innisfail,BB136,-17.51,146.00,2008,2008,202,135,185,180,192,239,188,291,179,170,181,274,146,150,240,253,199,204,93,93,S,S
Innisfail,BB137,-17.51,146.00,2008,2008,202,135,185,187,192,240,184,291,179,174,180,274,146,150,243,,199,204,87,91,S,S
Innisfail,BB137,-17.51,146.00,2008,2008,202,135,185,187,192,236,188,291,179,174,181,274,146,150,243,231,199,196,87,93,S,S
Innisfail,BB138,-17.51,146.00,2008,2008,202,139,185,180,194,230,193,310,179,168,181,274,149,132,240,229,208,193,87,97,S,I
Innisfail,BB138,-17.51,146.00,2008,2008,204,137,183,180,194,239,193,310,179,168,180,274,149,132,240,229,208,194,87,97,S,I
Innisfail,BB140,-17.51,146.00,2008,2008,202,139,187,180,190,236,193,310,179,168,179,274,149,132,260,229,208,206,93,97,S,I
Innisfail,BB140,-17.51,146.00,2008,2008,202,139,187,180,190,236,193,310,179,168,179,274,149,132,260,229,208,206,93,97,S,I
Innisfail,BB143,-17.51,146.00,2008,2008,204,137,187,180,194,236,193,289,179,168,181,274,149,132,234,229,208,195,87,91,S,I
Innisfail,BB143,-17.51,146.00,2008,2008,204,137,187,180,194,239,188,289,179,168,181,274,149,132,234,229,208,194,93,91,S,I
Innisfail,BB152,-17.51,146.00,2008,2008,204,137,183,180,194,242,193,310,179,172,180,274,149,132,240,229,208,193,87,91,S,I
Innisfail,BB152,-17.51,146.00,2008,2008,204,137,183,180,194,242,193,289,179,172,180,274,149,132,249,229,208,194,93,91,S,I
Innisfail,BB156,-17.51,146.00,2008,2008,202,135,187,187,186,239,191,316,179,176,179,274,133,165,260,229,199,204,93,91,S,S
Innisfail,BB157,-17.51,146.00,2008,2008,204,135,179,180,192,240,188,299,184,156,181,274,146,150,240,251,199,203,93,82,F,S
Innisfail,BB158,-17.51,146.00,2008,2008,202,135,187,180,192,239,188,302,181,176,181,274,146,152,234,229,206,204,87,91,S,S
Innisfail,BB158,-17.51,146.00,2008,2008,202,137,191,180,190,233,191,302,184,176,179,274,133,165,234,229,208,204,87,108,S,S
Innisfail,BB158,-17.51,146.00,2008,2008,202,135,191,180,190,239,188,302,184,176,179,274,146,152,234,229,206,204,87,91,S,S
Innisfail,BB159,-17.51,146.00,2008,2008,202,137,185,187,192,239,188,289,179,178,181,274,133,150,249,229,199,194,93,91,S,S
Innisfail,BB159,-17.51,146.00,2008,2008,202,137,185,187,192,239,188,289,179,178,181,274,133,150,240,229,199,194,93,91,S,S
Innisfail,BB161,-17.51,146.00,2008,2008,202,135,185,187,194,240,188,293,179,156,181,274,146,165,240,251,206,196,93,93,S,S
Innisfail,BB162,-17.51,146.00,2008,2008,202,135,185,180,190,240,193,293,184,176,181,274,146,147,234,251,197,204,93,93,F,S
Innisfail,BB162,-17.51,146.00,2008,2008,204,137,183,187,194,236,193,310,179,168,180,274,149,132,240,229,208,204,93,97,S,I
Innisfail,BB165,-17.51,146.00,2008,2008,202,135,185,187,190,239,188,289,184,168,181,274,133,150,240,251,206,193,87,93,S,S
Innisfail,BB166,-17.51,146.00,2008,2008,202,135,185,187,190,240,188,289,184,178,181,274,146,145,240,251,199,204,87,108,S,S
Innisfail,BB167,-17.51,146.00,2008,2008,201,135,185,187,190,231,188,302,179,176,181,274,146,152,240,231,199,206,93,91,S,S
Innisfail,BB167,-17.51,146.00,2008,2008,201,135,185,187,190,231,188,302,179,176,181,274,146,152,240,231,199,206,93,91,F,S
Innisfail,BB168,-17.51,146.00,2008,2008,204,139,187,187,194,236,213,302,179,168,181,274,149,132,234,229,199,193,96,97,S,I
Innisfail,BB170,-17.51,146.00,2008,2008,,137,185,180,192,,188,316,181,174,181,274,133,150,240,,206,,93,97,S,S
Innisfail,BB170,-17.51,146.00,2008,2008,202,137,187,180,194,248,188,316,181,174,181,274,133,150,240,251,206,204,87,89,S,S
Innisfail,BB172,-17.51,146.00,2008,2008,202,135,185,187,190,234,184,302,179,170,179,274,146,165,240,253,197,204,87,93,S,S
Innisfail,BB174,-17.51,146.00,2008,2008,202,135,189,187,192,231,188,289,184,174,179,274,146,133,234,251,199,204,93,93,S,S
Innisfail,BB175,-17.51,146.00,2008,2008,201,135,191,180,194,254,188,289,179,178,181,274,146,154,234,251,208,204,93,104,S,S
Innisfail,BB175,-17.51,146.00,2008,2008,201,135,191,187,194,239,188,289,179,178,181,274,146,154,240,251,208,204,93,104,S,S
Innisfail,BB176,-17.51,146.00,2008,2008,185,135,185,180,186,237,188,316,179,176,181,274,146,133,240,251,199,204,93,91,S,S
