Population,Latitude,Longitude,Year_start,Year_end,Total_egg_count,Midpoint_of_egg_laying,Mean_egg_laying_rate_until_day98.5,Mean_egg_laying_rate_day98.5_to_end,Mean_egg_laying_rate_day98.5_to_day144,Mean_longevity_females,Mean_longevity_males,Mean_longevity_total,Total_longevity_Day8_to_end,Fitness
Mossman,-16.47,145.37,2000,2000,656,29.713,0.738,0.000,0.000,44.882,41.765,43.324,54.962,0.000
Mossman,-16.47,145.37,2000,2000,779,29.582,0.846,0.000,0.000,44.471,48.235,46.353,53.397,0.000
Mossman,-16.47,145.37,2000,2000,1164,44.948,1.053,5.991,5.991,57.735,87.676,72.706,74.742,52.800
Mossman,-16.47,145.37,2000,2000,1964,58.636,1.125,2.257,2.257,84.118,81.059,82.588,92.867,239.220
Mossman,-16.47,145.37,2000,2000,1717,50.310,0.929,2.165,2.165,90.382,114.088,102.235,102.235,136.800
Mossman,-16.47,145.37,2000,2000,1480,51.382,0.846,2.488,2.972,83.588,71.647,77.618,82.125,156.540
Mossman,-16.47,145.37,2000,2000,2320,69.825,1.210,4.400,3.964,82.412,84.588,83.500,93.900,478.380
Mossman,-16.47,145.37,2000,2000,1487,62.865,0.809,2.208,2.208,81.647,79.088,80.368,96.411,231.240
Mossman,-16.47,145.37,2000,2000,1582,53.865,1.134,2.036,2.036,68.000,71.706,69.853,83.643,182.700
Mossman,-16.47,145.37,2000,2000,1398,50.135,0.990,2.238,2.238,71.265,95.529,83.397,90.935,99.840
Mossman,-16.47,145.37,2000,2000,1719,55.116,0.945,2.705,2.705,84.500,90.206,87.353,92.469,200.340
Mossman,-16.47,145.37,2000,2000,931,40.077,0.927,1.149,1.149,55.735,64.882,60.309,67.617,13.920
Innisfail,-17.5,146.00,2000,2000,860,34.750,0.674,,0.000,64.794,57.059,60.926,77.981,0.000
Innisfail,-17.5,146.00,2000,2000,646,41.454,0.496,1.533,1.433,63.471,80.206,71.838,83.276,30.240
Innisfail,-17.5,146.00,2000,2000,1555,87.378,0.581,3.110,2.971,91.824,85.559,88.691,91.212,485.820
Innisfail,-17.5,146.00,2000,2000,291,34.340,0.385,,,42.882,51.824,47.353,56.321,0.000
Innisfail,-17.5,146.00,2000,2000,1668,61.431,1.326,2.429,2.403,63.294,86.882,75.088,81.823,252.240
Innisfail,-17.5,146.00,2000,2000,1960,63.348,0.922,3.436,3.313,87.735,75.647,81.691,86.453,315.600
Innisfail,-17.5,146.00,2000,2000,370,51.273,0.351,2.046,1.842,50.000,37.618,43.809,59.771,30.720
Innisfail,-17.5,146.00,2000,2000,1012,55.948,0.698,4.206,4.264,68.353,87.647,78.000,93.536,93.600
Innisfail,-17.5,146.00,2000,2000,630,34.185,0.548,,0.000,59.559,56.559,58.059,65.067,0.480
Innisfail,-17.5,146.00,2000,2000,561,35.996,0.483,,0.000,61.176,54.206,57.691,59.273,0.000
Innisfail,-17.5,146.00,2000,2000,457,25.547,0.583,,,36.088,43.853,39.971,43.306,0.000
Innisfail,-17.5,146.00,2000,2000,666,30.854,0.890,,,40.500,52.000,46.250,50.194,0.000
Sarina,-21.37,149.28,2000,2000,356,71.719,0.194,1.940,1.813,75.147,79.559,77.353,81.844,59.460
Sarina,-21.37,149.28,2000,2000,171,29.137,0.223,,,40.676,54.529,47.603,56.625,0.000
Sarina,-21.37,149.28,2000,2000,518,62.483,0.360,1.490,1.380,65.794,43.206,54.500,77.935,68.640
Sarina,-21.37,149.28,2000,2000,276,33.053,0.360,,,45.735,72.941,59.338,64.548,0.000
Sarina,-21.37,149.28,2000,2000,239,49.423,0.275,0.000,0.000,61.353,64.676,63.015,72.931,0.000
Sarina,-21.37,149.28,2000,2000,287,49.922,0.316,,0.000,56.176,54.441,55.309,73.240,0.000
Sarina,-21.37,149.28,2000,2000,627,48.321,0.751,,,54.471,64.353,59.412,73.389,13.920
Sarina,-21.37,149.28,2000,2000,547,55.080,0.390,2.153,2.120,62.265,83.706,72.985,79.516,68.160
Sarina,-21.37,149.28,2000,2000,1205,58.010,0.630,4.390,3.207,75.529,76.875,76.182,76.182,225.240
Sarina,-21.37,149.28,2000,2000,1248,68.406,0.537,1.748,1.769,96.853,88.324,92.588,98.031,237.060
Sarina,-21.37,149.28,2000,2000,755,72.160,0.521,4.620,4.336,61.824,70.824,66.324,79.357,149.880
Sarina,-21.37,149.28,2000,2000,190,91.842,0.096,0.933,0.866,69.412,72.000,70.706,81.948,58.200
Rainbow_Beach,-25.93,153.08,2000,2000,657.00,45.894,0.476,0.917,0.917,72.941,70.353,71.647,78.048,24.960
Rainbow_Beach,-25.93,153.08,2000,2000,210,30.793,0.140,0.375,0.375,71.265,47.647,59.456,76.058,1.440
Rainbow_Beach,-25.93,153.08,2000,2000,490,56.937,0.471,3.000,3.000,57.147,77.912,67.529,73.532,36.480
Rainbow_Beach,-25.93,153.08,2000,2000,670,44.427,0.594,1.542,1.542,62.000,76.059,69.029,73.000,6.720
Rainbow_Beach,-25.93,153.08,2000,2000,327,38.213,0.343,,,50.706,45.588,48.147,57.286,5.760
Rainbow_Beach,-25.93,153.08,2000,2000,395,66.778,0.253,1.647,1.647,63.500,72.324,67.912,84.093,69.600
Rainbow_Beach,-25.93,153.08,2000,2000,292,44.637,0.345,1.375,1.375,52.235,63.588,57.912,76.780,6.240
Rainbow_Beach,-25.93,153.08,2000,2000,575,40.471,0.709,0.417,0.417,46.794,51.559,49.176,70.065,2.400
Rainbow_Beach,-25.93,153.08,2000,2000,573,53.440,0.425,2.388,2.388,59.059,61.000,60.029,74.167,66.480
Rainbow_Beach,-25.93,153.08,2000,2000,824,77.073,0.412,3.046,3.046,73.324,95.353,84.338,91.968,179.940
Rainbow_Beach,-25.93,153.08,2000,2000,607,67.663,0.533,5.167,5.167,64.676,46.412,55.544,70.942,94.140
Rainbow_Beach,-25.93,153.08,2000,2000,334,84.484,0.200,4.311,4.311,37.765,89.625,62.909,75.667,134.700
Coffs_Harbour,-30.27,153.12,2000,2000,246,41.677,0.275,0.000,0.000,52.265,70.676,61.471,68.933,0.000
Coffs_Harbour,-30.27,153.12,2000,2000,672,121.161,0.010,4.410,4.129,84.412,30.206,57.309,78.896,426.480
