Year_start,Year_end,Average_temperature,Max_temperature,Min_temperature,Time_since_cage_established,MR_Mossman,MR_Innisfail,MR_Sarina,MR_Rainbow_Beach,MR_Coffs_Harbour,MR_Melbourne,MR_Launceston,ELR_Mossman,ELR_Innisfail,ELR_Sarina,ELR_Rainbow_Beach,ELR_Coffs_Harbour,ELR_Melbourne,ELR_Launceston
2000,2000,10.181,12.625,8.350,2,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.135,0.170,0.178,0.141,0.115,0.286,0.234
2000,2000,8.385,13.167,5.333,5.5,0.038,0.044,0.066,0.062,0.050,0.050,0.048,0.926,0.271,0.242,0.175,0.018,0.101,0.459
2000,2000,8.099,15.333,3.400,8.5,0.009,0.003,0.030,0.006,0.009,0.011,0.015,0.565,0.198,0.085,0.009,0.050,0.008,0.013
2000,2000,9.064,14.375,5.100,12,0.004,0.004,0.009,0.009,0.006,0.003,0.002,1.222,0.812,0.652,0.239,0.144,0.282,0.514
2000,2000,9.883,14.333,6.633,15.5,0.004,0.005,0.006,0.003,0.003,0.006,0.001,0.578,0.352,0.060,0.271,0.031,0.144,0.155
2000,2000,10.111,14.600,5.825,19,0.001,0.005,0.005,0.005,0.005,0.004,0.002,2.278,1.883,0.894,0.925,0.304,0.691,1.253
2000,2000,9.478,11.900,6.633,22.5,0.007,0.006,0.009,0.004,0.002,0.004,0.003,1.033,0.550,0.101,0.315,0.118,0.310,0.184
2000,2000,9.026,13.175,5.400,26,0.005,0.005,0.008,0.004,0.003,0.005,0.003,2.344,1.330,0.443,1.012,0.474,0.279,0.551
2000,2000,9.931,15.467,6.100,29.5,0.002,0.006,0.003,0.002,0.007,0.004,0.003,1.673,1.027,0.644,0.697,0.557,0.516,0.692
2000,2000,8.665,13.100,5.050,33,0.008,0.009,0.006,0.009,0.010,0.003,0.002,1.157,0.854,0.248,0.443,0.168,0.216,0.279
2000,2000,7.063,12.467,1.900,36.5,0.004,0.010,0.013,0.004,0.007,0.005,0.006,0.981,0.877,0.147,0.347,0.079,0.090,0.180
2000,2000,8.032,14.025,2.650,40,0.007,0.017,0.014,0.006,0.009,0.006,0.006,1.001,0.762,0.332,0.373,0.268,0.165,0.439
2000,2000,8.422,12.633,3.867,43.5,0.007,0.013,0.004,0.006,0.008,0.007,0.004,0.144,0.151,0.054,0.130,0.034,0.034,0.045
2000,2000,10.778,14.433,7.667,46.5,0.015,0.025,0.010,0.016,0.019,0.020,0.005,1.875,0.971,0.454,0.521,0.087,0.331,0.457
2000,2000,9.088,12.833,6.033,49.5,0.007,0.012,0.007,0.013,0.000,0.005,0.010,0.091,0.214,0.059,0.066,0.049,0.045,0.062
2000,2000,7.836,12.550,3.875,53,0.005,0.010,0.019,0.009,0.014,0.007,0.009,0.343,0.283,0.041,0.163,0.062,0.108,0.151
2000,2000,8.465,16.633,2.933,56.5,0.013,0.018,0.025,0.018,0.013,0.017,0.005,1.690,0.968,0.711,0.466,0.413,0.328,0.780
2000,2000,10.006,20.150,3.175,60,0.010,0.028,0.008,0.007,0.010,0.007,0.007,0.975,0.887,0.346,0.339,0.350,0.216,0.324
2000,2000,11.319,15.633,7.233,63.5,0.011,0.030,0.014,0.020,0.014,0.013,0.014,1.817,1.351,1.253,0.899,0.895,0.975,1.290
2000,2000,8.726,12.700,5.175,67,0.030,0.070,0.015,0.017,0.025,0.019,0.015,0.716,0.556,0.580,0.476,0.657,0.624,0.824
2000,2000,8.446,13.100,4.633,70.5,0.016,0.020,0.030,0.015,0.017,0.006,0.017,0.097,0.493,0.286,0.212,0.275,0.163,0.268
2000,2000,8.108,15.250,2.350,74,0.021,0.029,0.024,0.045,0.022,0.027,0.014,1.228,0.910,0.686,0.519,0.620,0.531,0.817
2000,2000,9.403,14.233,5.933,77.5,0.021,0.041,0.024,0.024,0.044,0.032,0.014,0.376,0.322,0.284,0.233,0.145,0.101,0.150
2000,2000,9.393,14.525,5.475,81,0.016,0.059,0.030,0.020,0.024,0.016,0.012,1.063,0.399,0.490,0.396,0.186,0.167,0.502
2000,2000,9.185,13.867,5.667,84.5,0.019,0.026,0.014,0.009,0.014,0.013,0.017,0.531,0.385,0.212,0.261,0.338,0.071,0.233
2000,2000,10.888,16.550,6.500,88,0.014,0.020,0.009,0.041,0.023,0.025,0.029,0.794,0.691,0.426,0.576,0.335,0.253,0.594
2000,2000,10.115,14.900,5.933,91.5,0.096,0.102,0.066,0.096,0.049,0.069,0.042,0.545,0.323,0.688,0.415,0.515,0.554,0.710
2000,2000,10.377,13.425,7.575,95,0.006,0.019,0.032,0.004,0.030,0.025,0.018,0.774,0.471,0.387,0.861,0.403,1.071,1.357
2000,2000,11.304,15.533,6.267,98.5,0.072,0.087,0.089,0.030,0.047,0.025,0.040,2.366,1.404,0.861,0.985,1.341,1.191,1.543
2000,2000,13.503,20.350,6.950,102,0.011,0.011,0.045,0.051,0.032,0.016,0.017,3.707,2.907,2.518,2.869,2.220,4.819,3.220
2000,2000,13.182,19.767,8.300,105.5,0.041,0.023,0.003,0.010,0.045,0.013,0.027,4.521,5.107,3.985,5.357,7.357,7.953,8.401
2000,2000,13.268,19.425,8.025,109,0.051,0.028,0.016,0.045,0.020,0.004,0.010,2.526,2.818,1.831,2.473,1.674,3.818,3.258
2000,2000,11.829,14.333,9.333,112.5,0.006,0.024,0.016,0.006,0.004,0.011,0.015,3.997,4.298,2.979,5.267,3.972,5.856,7.050
2000,2000,13.278,18.650,9.100,116,0.033,0.025,0.025,0.023,0.024,0.014,0.061,1.764,1.077,1.418,3.275,1.594,2.869,2.192
2000,2000,12.856,19.133,6.900,119.5,0.044,0.096,0.010,0.023,0.008,0.027,0.022,2.299,3.115,2.143,3.450,3.717,4.167,4.125
2000,2000,14.925,19.550,10.050,123,0.014,0.068,0.029,0.035,0.084,0.039,0.034,3.260,3.563,1.711,3.025,2.250,3.230,3.729
2000,2000,10.786,18.800,3.967,126.5,0.062,0.159,0.066,0.097,0.064,0.082,0.011,0.495,0.814,0.500,1.867,0.389,0.982,0.988
2000,2000,12.576,17.750,5.775,130,0.071,0.044,0.019,0.039,0.040,0.009,0.126,0.882,0.688,0.300,0.188,1.000,1.338,0.704
2000,2000,13.531,18.667,6.700,133.5,0.105,0.070,0.069,0.048,0.049,0.094,0.016,1.578,1.500,1.741,4.000,7.583,4.450,3.269
2000,2000,15.729,21.020,11.440,137.5,0.013,0.035,0.009,0.011,0.003,0.026,0.022,3.422,4.200,2.178,2.867,6.650,3.865,5.483
2000,2000,13.842,15.800,11.750,141,0.017,0.000,0.000,0.237,0.000,0.119,0.015,5.056,3.000,5.722,4.000,7.250,8.382,10.833
2000,2000,12.258,16.760,8.280,144.5,0.061,0.096,0.075,0.050,0.070,0.077,0.019,0.289,1.400,1.356,0.000,7.300,1.356,3.533
2000,2000,17.513,22.800,12.350,148,0.233,0.462,,,0.456,0.224,0.338,6.500,8.750,21.500,,,7.844,3.067
2000,2000,15.323,19.700,11.500,151,0.048,0.163,,,0.096,0.084,0.078,0.000,2.250,1.750,,,2.833,0.000
2000,2000,16.224,23.133,8.500,154.5,0.154,0.405,,,0.294,0.248,0.280,0.667,0.167,7.000,,,4.833,0.000
2000,2000,17.143,20.175,15.175,158,0.072,,,,0.000,0.067,0.000,0.000,,4.750,,,9.500,2.375
2000,2000,18.703,25.367,12.500,161.5,,,,,0.405,0.091,0.000,,,0.000,,,0.000,1.333
2000,2000,19.901,26.000,16.200,165,,,,,,,0.000,,,,,,,3.375
2000,2000,16.988,21.933,14.533,168.5,,,,,,,0.000,,,,,,,0.000
2000,2000,18.878,26.020,12.580,172.5,,,,,,,0.000,,,,,,,1.700
2000,2000,18.292,24.950,12.500,176.5,,,,,,,0.405,,,,,,,0.000
