Population,Latitude,Longitude,Year_start,Year_end,10/06/2000,13/06/2000,16/06/2000,20/06/2000,23/06/2000,27/06/2000,30/06/2000,4/07/2000,7/07/2000,11/07/2000,14/07/2000,18/07/2000,21/07/2000,24/07/2000,27/07/2000,31/07/2000,3/08/2000,7/08/2000,10/08/2000,14/08/2000,17/08/2000,21/08/2000,24/08/2000,28/08/2000,31/08/2000,4/09/2000,7/09/2000,11/09/2000,14/09/2000,18/09/2000,21/09/2000,25/09/2000,28/09/2000,2/10/2000,5/10/2000,9/10/2000,12/10/2000,16/10/2000,19/10/2000,24/10/2000,26/10/2000,31/10/2000,2/11/2000,6/11/2000,9/11/2000,13/11/2000,16/11/2000,20/11/2000,23/11/2000,28/11/2000,1/12/2000,Total
Mossmann,-16.47,145.37,2000,2000,6,22,3,18,31,162,17,155,21,57,2,47,0,13,2,15,28,17,34,2,0,3,1,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,656
Mossmann,-16.47,145.37,2000,2000,9,101,46,49,4,123,11,104,43,30,37,53,4,11,0,14,43,6,45,22,1,12,0,9,0,2,0,0,0,,,,,,,,,,,,,,,,,,,,,,,779
Mossmann,-16.47,145.37,2000,2000,22,9,113,23,36,121,49,71,38,77,32,65,8,43,7,13,56,50,45,18,12,36,32,28,7,29,14,0,26,31,22,20,11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,1164
Mossmann,-16.47,145.37,2000,2000,5,43,1,137,7,133,130,154,81,18,118,62,6,64,2,37,62,59,70,55,7,37,8,45,3,48,40,38,37,88,77,67,89,58,53,20,5,0,0,0,0,0,0,,,,,,,,,1964
Mossmann,-16.47,145.37,2000,2000,1,2,40,159,18,176,14,190,44,137,63,59,2,92,8,22,70,74,63,40,0,30,32,19,16,35,25,1,22,37,62,75,78,11,0,0,0,0,0,0,0,0,0,0,0,,,,,,,1717
Mossmann,-16.47,145.37,2000,2000,3,119,0,170,4,111,21,80,130,73,15,24,22,98,1,21,71,19,55,20,1,46,12,40,8,35,10,0,9,21,49,21,38,5,36,29,1,11,8,23,9,4,5,0,2,0,,,,,,1480
Mossmann,-16.47,145.37,2000,2000,7,21,2,88,59,85,24,228,45,81,90,45,1,120,2,3,70,106,73,91,0,84,11,83,29,17,0,50,85,163,81,76,62,39,30,50,7,7,46,79,58,1,21,0,0,0,0,0,,,,2320
Mossmann,-16.47,145.37,2000,2000,15,85,0,47,0,120,7,83,124,36,18,14,9,108,1,5,55,58,63,18,0,59,9,15,37,6,2,27,47,86,73,68,28,39,40,67,10,7,0,0,0,0,0,0,0,0,0,0,0,1,0,1487
Mossmann,-16.47,145.37,2000,2000,23,36,72,65,42,129,60,138,42,69,40,48,7,109,2,2,75,55,53,17,1,19,0,51,1,51,7,4,52,80,51,54,36,9,21,42,2,12,1,2,2,0,0,0,,,,,,,,1582
Mossmann,-16.47,145.37,2000,2000,6,6,45,34,26,136,37,174,86,62,38,73,4,93,8,35,61,18,47,36,4,54,2,36,16,11,25,17,46,71,32,21,20,18,0,0,0,0,0,0,0,0,,,,,,,,,,1398
Mossmann,-16.47,145.37,2000,2000,8,92,1,34,85,135,74,138,114,71,17,65,1,86,6,13,65,38,55,45,1,49,5,36,30,14,17,11,52,75,89,50,38,51,22,31,2,3,,,,,,,,,,,,,,1719
Mossmann,-16.47,145.37,2000,2000,5,31,0,82,0,138,97,55,68,55,1,56,4,51,1,8,23,27,64,11,0,72,1,14,8,2,3,25,2,3,24,0,,,,,,,,,,,,,,,,,,,,931
Innisfail,-17.5,146.00,2000,2000,7,59,1,107,19,88,9,111,32,60,23,56,7,55,25,3,46,32,36,17,35,15,1,11,2,1,0,2,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,860
Innisfail,-17.5,146.00,2000,2000,28,16,0,23,11,118,49,50,69,22,11,17,11,8,4,12,10,38,12,27,1,10,1,10,4,2,11,8,14,3,28,14,3,0,1,0,0,,,,,,,,,,,,,,,646
Innisfail,-17.5,146.00,2000,2000,5,7,7,23,25,54,28,4,120,1,21,11,0,16,1,4,42,33,48,36,4,46,13,19,14,35,47,18,63,108,69,129,125,63,73,84,16,12,12,48,13,4,35,18,1,,,,,,,1555
Innisfail,-17.5,146.00,2000,2000,8,5,0,11,9,54,3,33,25,17,5,40,0,5,0,8,32,31,4,1,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,291
Innisfail,-17.5,146.00,2000,2000,21,10,87,67,7,158,36,49,66,100,35,40,14,31,12,44,47,52,70,68,38,57,13,28,17,39,0,31,31,50,77,71,42,13,15,24,18,2,17,36,11,24,,,,,,,,,,1668
Innisfail,-17.5,146.00,2000,2000,22,28,0,101,0,183,43,168,29,83,62,65,4,96,33,15,74,66,64,38,34,,22,33,9,42,0,6,50,60,86,95,90,48,101,90,13,6,1,0,0,0,0,,,,,,,,,1960
Innisfail,-17.5,146.00,2000,2000,10,0,0,0,8,42,14,34,17,29,15,22,1,36,0,2,14,13,26,2,0,19,0,0,0,2,0,0,0,11,19,1,7,4,3,19,0,0,0,0,0,0,0,,,,,,,,,370
Innisfail,-17.5,146.00,2000,2000,4,3,0,72,11,78,8,114,10,49,11,63,15,50,15,15,38,26,49,37,23,35,10,19,9,37,0,16,41,67,58,8,21,0,0,0,0,0,0,0,0,0,,,,,,,,,,1012
Innisfail,-17.5,146.00,2000,2000,11,13,6,59,3,110,19,65,47,1,112,23,2,30,2,7,22,36,18,6,0,12,8,3,2,6,5,1,0,1,0,0,0,0,0,,,,,,,,,,,,,,,,,630
Innisfail,-17.5,146.00,2000,2000,0,0,0,25,60,83,38,51,36,46,8,44,0,20,1,10,11,40,50,12,2,5,7,3,7,2,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,561
Innisfail,-17.5,146.00,2000,2000,5,19,1,21,4,130,19,94,27,52,44,20,5,14,1,0,0,1,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,457
Innisfail,-17.5,146.00,2000,2000,18,6,0,71,30,163,6,86,10,47,33,44,0,32,1,12,25,33,29,0,1,19,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,666
Sarina,-21.37,149.28,2000,2000,8,3,2,18,1,21,4,3,3,3,0,5,0,8,0,2,29,10,29,38,0,20,6,2,2,9,7,0,6,18,33,12,16,23,14,0,1,0,0,0,0,0,0,,,,,,,,,356
Sarina,-21.37,149.28,2000,2000,9,1,0,0,1,71,1,7,1,24,13,16,1,9,0,0,12,2,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,0,0,0,,,,,,,,,171
Sarina,-21.37,149.28,2000,2000,32,3,1,12,0,55,0,37,6,23,4,14,1,19,11,0,13,22,42,14,14,17,5,3,2,16,2,7,6,36,16,5,15,3,30,32,0,0,0,0,0,0,,,,,,,,,,518
Sarina,-21.37,149.28,2000,2000,12,2,0,22,4,45,9,60,14,22,10,7,0,13,0,0,4,0,22,16,5,3,4,0,0,2,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,,,,,,,,,,276
Sarina,-21.37,149.28,2000,2000,4,3,1,28,0,4,0,12,9,15,5,11,4,16,0,0,26,2,32,13,12,19,1,9,0,4,1,8,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,239
Sarina,-21.37,149.28,2000,2000,22,0,0,3,1,48,8,4,4,10,1,13,2,2,2,5,7,16,30,38,0,32,2,19,3,2,13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,287
Sarina,-21.37,149.28,2000,2000,2,59,6,48,3,0,0,68,31,17,4,27,4,43,3,10,35,29,60,31,14,33,21,16,12,7,15,0,1,11,17,,,,,,,,,,,,,,,,,,,,,627
Sarina,-21.37,149.28,2000,2000,12,0,0,58,6,43,10,3,107,1,1,14,0,25,0,0,34,13,36,7,14,8,1,4,1,2,5,0,17,21,61,11,24,4,4,0,0,0,0,0,0,0,0,0,0,,,,,,,547
Sarina,-21.37,149.28,2000,2000,8,20,1,260,2,190,15,51,27,8,5,49,0,13,1,0,40,22,46,12,6,48,5,37,0,1,9,12,13,30,41,18,12,10,0,19,1,7,12,21,32,11,43,7,21,19,0,0,0,0,0,1205
Sarina,-21.37,149.28,2000,2000,13,25,38,51,9,94,2,45,55,22,26,35,6,26,6,0,24,49,68,67,21,58,9,28,3,38,7,0,43,74,39,53,40,31,35,27,0,0,11,35,7,28,0,,,,,,,,,1248
