Region,Population,Latitude,Longitude,Year_start,Year_end,Number_of_females,Total_number_offspring,Number_of_offspring_per_female,Maximum_number_of_offspring_per_female
Northern,Innisfail,-17.52,146.17,2005,2005,5,472,94.4,241
Northern,Innisfail,-17.52,146.17,2005,2005,0,0,,
Northern,Innisfail,-17.52,146.17,2005,2005,1,34,34.0,34
Northern,Innisfail,-17.52,146.17,2005,2005,3,158,52.7,106
Northern,Innisfail,-17.52,146.17,2005,2005,4,320,80.0,93
Northern,Innisfail,-17.52,146.17,2005,2005,0,0,,
Northern,Innisfail,-17.52,146.17,2005,2005,3,98,32.7,91
Northern,Innisfail,-17.52,146.17,2005,2005,5,693,138.6,220
Northern,Innisfail,-17.52,146.17,2005,2005,3,211,70.3,178
Northern,Innisfail,-17.52,146.17,2005,2005,1,2,2.0,2
Northern,Innisfail,-17.52,146.17,2005,2005,2,96,48.0,64
Northern,Innisfail,-17.52,146.17,2005,2005,4,247,61.8,164
Northern,Innisfail,-17.52,146.17,2005,2005,0,0,,
Northern,Innisfail,-17.52,146.17,2005,2005,0,0,,
Northern,Innisfail,-17.52,146.17,2005,2005,3,206,68.7,136
Northern,Innisfail,-17.52,146.17,2005,2005,5,661,132.2,189
Northern,Innisfail,-17.52,146.17,2005,2005,0,0,,
Northern,Innisfail,-17.52,146.17,2005,2005,4,252,63.0,90
Northern,Innisfail,-17.52,146.17,2005,2005,3,404,134.7,149
Northern,Innisfail,-17.52,146.17,2005,2005,0,0,,
Northern,Innisfail,-17.52,146.17,2005,2005,1,14,14.0,14
Northern,Innisfail,-17.52,146.17,2005,2005,1,47,47.0,47
Northern,Innisfail,-17.52,146.17,2005,2005,4,513,128.3,322
Northern,Innisfail,-17.52,146.17,2005,2005,4,531,132.8,178
Northern,Innisfail,-17.52,146.17,2005,2005,4,459,114.8,193
Northern,Innisfail,-17.52,146.17,2005,2005,4,393,98.3,205
Northern,Innisfail,-17.52,146.17,2005,2005,2,155,77.5,120
Northern,Innisfail,-17.52,146.17,2005,2005,2,215,107.5,114
Northern,Innisfail,-17.52,146.17,2005,2005,2,62,31.0,55
Northern,Innisfail,-17.52,146.17,2005,2005,2,12,6.0,9
Northern,Innisfail,-17.52,146.17,2005,2005,4,199,49.8,90
Northern,Innisfail,-17.52,146.17,2005,2005,5,310,62.0,141
Northern,Innisfail,-17.52,146.17,2005,2005,1,112,112.0,112
Northern,Innisfail,-17.52,146.17,2005,2005,3,291,97.0,216
Northern,Innisfail,-17.52,146.17,2005,2005,2,22,11.0,21
Northern,Innisfail,-17.52,146.17,2005,2005,2,115,57.5,114
Northern,Innisfail,-17.52,146.17,2005,2005,0,0,,
Northern,Innisfail,-17.52,146.17,2005,2005,4,395,98.8,138
Northern,Innisfail,-17.52,146.17,2005,2005,5,262,52.4,125
Northern,Innisfail,-17.52,146.17,2005,2005,5,288,57.6,142
Northern,Innisfail,-17.52,146.17,2005,2005,4,158,39.5,68
Northern,Innisfail,-17.52,146.17,2005,2005,3,202,67.3,96
Northern,Innisfail,-17.52,146.17,2005,2005,4,387,96.8,167
Northern,Innisfail,-17.52,146.17,2005,2005,1,57,57.0,57
Northern,Innisfail,-17.52,146.17,2005,2005,1,80,80.0,80
Northern,Innisfail,-17.52,146.17,2005,2005,0,0,,
Northern,Innisfail,-17.52,146.17,2005,2005,5,669,133.8,275
Northern,Innisfail,-17.52,146.17,2005,2005,5,371,74.2,170
Northern,Innisfail,-17.52,146.17,2005,2005,5,161,32.2,67
Northern,Innisfail,-17.52,146.17,2005,2005,3,82,27.3,72
Northern,Innisfail,-17.52,146.17,2005,2005,5,477,95.4,159
Northern,Innisfail,-17.52,146.17,2005,2005,2,102,51.0,76
Northern,Innisfail,-17.52,146.17,2005,2005,3,167,55.7,77
Northern,Innisfail,-17.52,146.17,2005,2005,3,149,49.7,89
Northern,Innisfail,-17.52,146.17,2005,2005,3,200,66.7,100
Northern,Innisfail,-17.52,146.17,2005,2005,4,298,74.5,141
Northern,Innisfail,-17.52,146.17,2005,2005,4,264,66.0,183
Northern,Innisfail,-17.52,146.17,2005,2005,0,0,,
Northern,Innisfail,-17.52,146.17,2005,2005,5,164,32.8,55
Northern,Innisfail,-17.52,146.17,2005,2005,5,321,64.2,106
Northern,Innisfail,-17.52,146.17,2005,2005,4,198,49.5,97
Northern,Innisfail,-17.52,146.17,2005,2005,2,157,78.5,121
Northern,Innisfail,-17.52,146.17,2005,2005,2,184,92.0,153
Northern,Innisfail,-17.52,146.17,2005,2005,4,132,33.0,62
Northern,Innisfail,-17.52,146.17,2005,2005,5,324,64.8,169
Northern,Innisfail,-17.52,146.17,2005,2005,5,398,79.6,159
Northern,Innisfail,-17.52,146.17,2005,2005,0,0,,
Northern,Innisfail,-17.52,146.17,2005,2005,4,272,68.0,154
Northern,Innisfail,-17.52,146.17,2005,2005,1,6,6.0,6
Northern,Innisfail,-17.52,146.17,2005,2005,3,238,79.3,160
Northern,Innisfail,-17.52,146.17,2005,2005,3,389,129.7,171
Northern,Innisfail,-17.52,146.17,2005,2005,4,158,39.5,104
Northern,Innisfail,-17.52,146.17,2005,2005,5,112,22.4,72
Northern,Innisfail,-17.52,146.17,2005,2005,4,194,48.5,94
Northern,Innisfail,-17.52,146.17,2005,2005,5,174,34.8,59
Northern,Innisfail,-17.52,146.17,2005,2005,1,126,126.0,126
Northern,Innisfail,-17.52,146.17,2005,2005,3,264,88.0,145
Northern,Innisfail,-17.52,146.17,2005,2005,1,37,37.0,37
Northern,Innisfail,-17.52,146.17,2005,2005,4,250,62.5,177
Northern,Innisfail,-17.52,146.17,2005,2005,4,151,37.8,109
Northern,Innisfail,-17.52,146.17,2005,2005,5,843,168.6,281
Northern,Innisfail,-17.52,146.17,2005,2005,4,422,105.5,203
Northern,Innisfail,-17.52,146.17,2005,2005,0,0,,
Northern,Innisfail,-17.52,146.17,2005,2005,2,149,74.5,118
Northern,Innisfail,-17.52,146.17,2005,2005,0,0,,
Northern,Innisfail,-17.52,146.17,2005,2005,1,256,256.0,256
Northern,Innisfail,-17.52,146.17,2005,2005,1,44,44.0,44
Northern,Innisfail,-17.52,146.17,2005,2005,3,43,14.3,37
Northern,Innisfail,-17.52,146.17,2005,2005,4,280,70.0,138
Northern,Innisfail,-17.52,146.17,2005,2005,0,0,,
Northern,Innisfail,-17.52,146.17,2005,2005,2,61,30.5,56
Northern,Innisfail,-17.52,146.17,2005,2005,2,82,41.0,51
Northern,Innisfail,-17.52,146.17,2005,2005,4,257,64.3,123
Northern,Innisfail,-17.52,146.17,2005,2005,5,351,70.2,96
Northern,Innisfail,-17.52,146.17,2005,2005,2,201,100.5,133
Northern,Innisfail,-17.52,146.17,2005,2005,5,356,71.2,173
Northern,Innisfail,-17.52,146.17,2005,2005,1,51,51.0,51
Northern,Innisfail,-17.52,146.17,2005,2005,4,73,18.3,30
Northern,Innisfail,-17.52,146.17,2005,2005,3,105,35.0,84
Northern,Innisfail,-17.52,146.17,2005,2005,0,0,,
Northern,Innisfail,-17.52,146.17,2005,2005,2,204,102.0,136
Northern,Innisfail,-17.52,146.17,2005,2005,5,207,41.4,81
Northern,Innisfail,-17.52,146.17,2005,2005,0,0,,
Northern,Innisfail,-17.52,146.17,2005,2005,0,0,,
Northern,Innisfail,-17.52,146.17,2005,2005,2,65,32.5,48
Northern,Innisfail,-17.52,146.17,2005,2005,1,52,52.0,52
Northern,Innisfail,-17.52,146.17,2005,2005,4,120,30.0,60
Northern,Innisfail,-17.52,146.17,2005,2005,3,151,50.3,84
Northern,Innisfail,-17.52,146.17,2005,2005,3,134,44.7,97
Northern,Innisfail,-17.52,146.17,2005,2005,5,187,37.4,86
Northern,Innisfail,-17.52,146.17,2005,2005,2,33,16.5,28
Northern,Innisfail,-17.52,146.17,2005,2005,2,80,40.0,79
Northern,Innisfail,-17.52,146.17,2005,2005,1,2,2.0,2
Northern,Innisfail,-17.52,146.17,2005,2005,4,123,30.8,55
Northern,Innisfail,-17.52,146.17,2005,2005,5,210,42.0,82
Northern,Innisfail,-17.52,146.17,2005,2005,5,260,52.0,88
Northern,Innisfail,-17.52,146.17,2005,2005,4,43,10.8,36
Northern,Innisfail,-17.52,146.17,2005,2005,5,260,52.0,183
Northern,Innisfail,-17.52,146.17,2005,2005,4,133,33.3,52
Northern,Innisfail,-17.52,146.17,2005,2005,2,101,50.5,77
Northern,Innisfail,-17.52,146.17,2005,2005,4,237,59.3,92
Northern,Innisfail,-17.52,146.17,2005,2005,0,0,,
Northern,Innisfail,-17.52,146.17,2005,2005,4,268,67.0,123
Northern,Innisfail,-17.52,146.17,2005,2005,3,62,20.7,42
Northern,Innisfail,-17.52,146.17,2005,2005,4,440,110.0,234
Northern,Innisfail,-17.52,146.17,2005,2005,3,108,36.0,75
Northern,Innisfail,-17.52,146.17,2005,2005,1,1,1.0,1
Northern,Innisfail,-17.52,146.17,2005,2005,3,58,19.3,35
Northern,Innisfail,-17.52,146.17,2005,2005,0,0,,
Northern,Innisfail,-17.52,146.17,2005,2005,2,195,97.5,155
Northern,Innisfail,-17.52,146.17,2005,2005,4,45,11.3,27
Northern,Innisfail,-17.52,146.17,2005,2005,3,237,79.0,117
Northern,Innisfail,-17.52,146.17,2005,2005,3,139,46.3,67
Northern,Innisfail,-17.52,146.17,2005,2005,1,75,75.0,75
Northern,Innisfail,-17.52,146.17,2005,2005,0,0,,
Northern,Innisfail,-17.52,146.17,2005,2005,4,312,78.0,141
Northern,Innisfail,-17.52,146.17,2005,2005,1,100,100.0,100
Northern,Innisfail,-17.52,146.17,2005,2005,4,250,62.5,109
Northern,Innisfail,-17.52,146.17,2005,2005,3,299,99.7,164
Northern,Innisfail,-17.52,146.17,2005,2005,5,314,62.8,132
Northern,Innisfail,-17.52,146.17,2005,2005,3,235,78.3,157
Northern,Innisfail,-17.52,146.17,2005,2005,4,118,29.5,61
Northern,Innisfail,-17.52,146.17,2005,2005,4,114,28.5,53
Northern,Innisfail,-17.52,146.17,2005,2005,0,0,,
Northern,Innisfail,-17.52,146.17,2005,2005,3,242,80.7,149
Northern,Innisfail,-17.52,146.17,2005,2005,2,27,13.5,24
Northern,Innisfail,-17.52,146.17,2005,2005,0,0,,
Northern,Innisfail,-17.52,146.17,2005,2005,4,180,45.0,94
Northern,Innisfail,-17.52,146.17,2005,2005,4,262,65.5,96
Northern,Innisfail,-17.52,146.17,2005,2005,2,110,55.0,97
Northern,Innisfail,-17.52,146.17,2005,2005,4,389,97.3,198
Northern,Innisfail,-17.52,146.17,2005,2005,3,101,33.7,48
Northern,Innisfail,-17.52,146.17,2005,2005,0,0,,
Northern,Innisfail,-17.52,146.17,2005,2005,0,0,,
Northern,Innisfail,-17.52,146.17,2005,2005,4,358,89.5,185
Northern,Innisfail,-17.52,146.17,2005,2005,5,551,110.2,292
