Latitude,Longitude,Year_start,Year_end,Male_number,Total_number_offspring,Number_of_females_at_start,Number_of_females_laying
-16.15,145.4,2008,2008,1,0,4,0
-16.15,145.4,2008,2008,2,4,4,1
-16.15,145.4,2008,2008,3,0,3,0
-16.15,145.4,2008,2008,4,0,4,0
-16.15,145.4,2008,2008,5,11,4,1
-16.15,145.4,2008,2008,6,0,4,0
-16.15,145.4,2008,2008,8,0,4,0
-16.15,145.4,2008,2008,9,25,4,1
-16.15,145.4,2008,2008,10,0,3,0
-16.15,145.4,2008,2008,11,12,4,2
-16.15,145.4,2008,2008,12,0,3,0
-16.15,145.4,2008,2008,13,205,4,2
-16.15,145.4,2008,2008,14,0,3,0
-16.15,145.4,2008,2008,15,0,4,0
-16.15,145.4,2008,2008,16,0,3,0
-16.15,145.4,2008,2008,17,0,4,0
-17.12,145.61,2008,2008,1,224,3,3
-17.12,145.61,2008,2008,2,247,4,3
-17.12,145.61,2008,2008,3,0,4,0
-17.12,145.61,2008,2008,4,0,4,0
-17.12,145.61,2008,2008,5,0,4,0
-17.12,145.61,2008,2008,6,66,1,1
-17.12,145.61,2008,2008,7,297,4,4
-17.12,145.61,2008,2008,8,0,4,0
-17.12,145.61,2008,2008,9,110,4,2
-17.12,145.61,2008,2008,10,0,4,0
-17.12,145.61,2008,2008,11,0,4,0
-17.12,145.61,2008,2008,12,0,4,0
-17.12,145.61,2008,2008,13,131,4,1
-17.12,145.61,2008,2008,14,0,4,0
-17.12,145.61,2008,2008,15,8,4,1
-17.12,145.61,2008,2008,16,192,4,4
-17.12,145.61,2008,2008,17,0,4,0
-17.31,145.74,2008,2008,1,0,4,0
-17.31,145.74,2008,2008,2,10,3,1
-17.31,145.74,2008,2008,3,28,3,1
-17.31,145.74,2008,2008,4,72,4,1
-17.31,145.74,2008,2008,5,302,4,3
-17.31,145.74,2008,2008,6,0,4,0
-17.31,145.74,2008,2008,7,0,4,0
-17.31,145.74,2008,2008,8,0,4,0
-17.31,145.74,2008,2008,9,340,4,4
-17.31,145.74,2008,2008,10,268,4,3
-17.31,145.74,2008,2008,11,0,4,0
-17.31,145.74,2008,2008,12,73,4,3
-17.31,145.74,2008,2008,13,209,2,2
-17.31,145.74,2008,2008,14,176,3,2
-17.31,145.74,2008,2008,15,129,4,2
-17.31,145.74,2008,2008,16,0,4,0
-17.31,145.74,2008,2008,17,8,4,1
-18.12,145.96,2008,2008,1,2,4,1
-18.12,145.96,2008,2008,2,2,3,1
-18.12,145.96,2008,2008,3,53,4,1
-18.12,145.96,2008,2008,4,0,4,0
-18.12,145.96,2008,2008,5,0,4,0
-18.12,145.96,2008,2008,6,0,3,0
-18.12,145.96,2008,2008,7,236,3,3
