Region,Population,Latitude,Longitude,Year_start,Year_end,Productivity,Wing_centroid_size
Northern,Innisfail,-17.52,146.17,2005,2005,Low,1.54
Northern,Innisfail,-17.52,146.17,2005,2005,Low,1.44
Northern,Innisfail,-17.52,146.17,2005,2005,Low,1.52
Northern,Innisfail,-17.52,146.17,2005,2005,Low,1.50
Northern,Innisfail,-17.52,146.17,2005,2005,Low,1.43
Northern,Innisfail,-17.52,146.17,2005,2005,Low,1.54
Northern,Innisfail,-17.52,146.17,2005,2005,Low,1.43
Northern,Innisfail,-17.52,146.17,2005,2005,Low,1.48
Northern,Innisfail,-17.52,146.17,2005,2005,Low,1.55
Northern,Innisfail,-17.52,146.17,2005,2005,Low,1.53
Northern,Innisfail,-17.52,146.17,2005,2005,Low,1.40
Northern,Innisfail,-17.52,146.17,2005,2005,Low,1.41
Northern,Innisfail,-17.52,146.17,2005,2005,Low,1.31
Northern,Innisfail,-17.52,146.17,2005,2005,Low,1.36
Northern,Innisfail,-17.52,146.17,2005,2005,Low,1.36
Northern,Innisfail,-17.52,146.17,2005,2005,Low,1.48
Northern,Innisfail,-17.52,146.17,2005,2005,Low,1.52
Northern,Innisfail,-17.52,146.17,2005,2005,Low,1.49
Northern,Innisfail,-17.52,146.17,2005,2005,Low,1.49
Northern,Innisfail,-17.52,146.17,2005,2005,Low,1.42
Northern,Innisfail,-17.52,146.17,2005,2005,Low,1.47
Northern,Innisfail,-17.52,146.17,2005,2005,Low,1.49
Northern,Innisfail,-17.52,146.17,2005,2005,Low,1.36
Northern,Innisfail,-17.52,146.17,2005,2005,Low,1.35
Northern,Innisfail,-17.52,146.17,2005,2005,Low,1.38
Northern,Innisfail,-17.52,146.17,2005,2005,Low,1.37
Northern,Innisfail,-17.52,146.17,2005,2005,Low,1.27
Northern,Innisfail,-17.52,146.17,2005,2005,Low,1.42
Northern,Innisfail,-17.52,146.17,2005,2005,Low,1.37
Northern,Innisfail,-17.52,146.17,2005,2005,Low,1.31
Northern,Innisfail,-17.52,146.17,2005,2005,Low,1.42
Northern,Innisfail,-17.52,146.17,2005,2005,Low,1.39
Northern,Innisfail,-17.52,146.17,2005,2005,Low,1.38
Northern,Innisfail,-17.52,146.17,2005,2005,Low,1.43
Northern,Innisfail,-17.52,146.17,2005,2005,Low,1.40
Northern,Innisfail,-17.52,146.17,2005,2005,Low,1.42
Northern,Innisfail,-17.52,146.17,2005,2005,Low,1.40
Northern,Innisfail,-17.52,146.17,2005,2005,Low,1.31
Northern,Innisfail,-17.52,146.17,2005,2005,Low,1.34
Northern,Innisfail,-17.52,146.17,2005,2005,Low,1.27
Northern,Innisfail,-17.52,146.17,2005,2005,Low,1.36
Northern,Innisfail,-17.52,146.17,2005,2005,Low,1.36
Northern,Innisfail,-17.52,146.17,2005,2005,Low,1.28
Northern,Innisfail,-17.52,146.17,2005,2005,Low,1.46
Northern,Innisfail,-17.52,146.17,2005,2005,Low,1.28
Northern,Innisfail,-17.52,146.17,2005,2005,Low,1.37
Northern,Innisfail,-17.52,146.17,2005,2005,Low,1.49
Northern,Innisfail,-17.52,146.17,2005,2005,Low,1.43
Northern,Innisfail,-17.52,146.17,2005,2005,High,1.54
Northern,Innisfail,-17.52,146.17,2005,2005,High,1.48
Northern,Innisfail,-17.52,146.17,2005,2005,High,1.50
Northern,Innisfail,-17.52,146.17,2005,2005,High,1.52
Northern,Innisfail,-17.52,146.17,2005,2005,High,1.49
