Latitude,Longitude,Year_start,Year_end,Sex,Thorax_length,Wing_centroid_size
-16.15,145.4,2008,2008,male,0.80,1.28
-16.15,145.4,2008,2008,male,0.76,1.31
-16.15,145.4,2008,2008,male,0.38,1.17
-16.15,145.4,2008,2008,male,0.78,1.33
-16.15,145.4,2008,2008,male,0.73,1.29
-16.15,145.4,2008,2008,male,0.73,1.31
-16.15,145.4,2008,2008,male,0.73,1.29
-16.15,145.4,2008,2008,male,0.69,1.23
-16.15,145.4,2008,2008,male,0.73,1.26
-16.15,145.4,2008,2008,male,0.73,1.26
-16.15,145.4,2008,2008,male,0.73,1.34
-16.15,145.4,2008,2008,male,0.76,1.27
-16.15,145.4,2008,2008,male,0.78,1.33
-16.15,145.4,2008,2008,male,0.78,1.36
-16.15,145.4,2008,2008,male,0.80,1.39
-16.15,145.4,2008,2008,male,0.76,1.27
-17.12,145.61,2008,2008,male,0.82,1.35
-17.12,145.61,2008,2008,male,0.76,1.33
-17.12,145.61,2008,2008,male,0.82,1.33
-17.12,145.61,2008,2008,male,0.78,1.36
-17.12,145.61,2008,2008,male,0.73,1.26
-17.12,145.61,2008,2008,male,0.82,1.37
-17.12,145.61,2008,2008,male,0.82,1.35
-17.12,145.61,2008,2008,male,0.82,1.38
-17.12,145.61,2008,2008,male,0.84,1.41
-17.12,145.61,2008,2008,male,0.82,1.39
-17.12,145.61,2008,2008,male,0.78,1.38
-17.12,145.61,2008,2008,male,0.82,1.38
-17.12,145.61,2008,2008,male,0.78,1.35
-17.12,145.61,2008,2008,male,0.82,1.31
-17.12,145.61,2008,2008,male,0.84,1.33
-17.12,145.61,2008,2008,male,0.78,1.40
-17.12,145.61,2008,2008,male,0.80,1.41
-17.31,145.74,2008,2008,male,0.84,1.39
-17.31,145.74,2008,2008,male,0.78,1.31
-17.31,145.74,2008,2008,male,0.78,1.44
-17.31,145.74,2008,2008,male,0.78,1.35
-17.31,145.74,2008,2008,male,0.78,1.33
-17.31,145.74,2008,2008,male,0.82,1.42
-17.31,145.74,2008,2008,male,0.82,1.33
-17.31,145.74,2008,2008,male,0.87,1.46
-17.31,145.74,2008,2008,male,0.78,1.43
-17.31,145.74,2008,2008,male,0.76,1.34
-17.31,145.74,2008,2008,male,0.82,1.36
-17.31,145.74,2008,2008,male,0.87,1.40
-17.31,145.74,2008,2008,male,0.80,1.31
-17.31,145.74,2008,2008,male,0.82,1.44
-17.31,145.74,2008,2008,male,0.82,1.34
-17.31,145.74,2008,2008,male,0.73,1.40
-17.31,145.74,2008,2008,male,0.87,1.39
-18.12,145.96,2008,2008,male,0.78,1.34
-18.12,145.96,2008,2008,male,0.76,1.34
-18.12,145.96,2008,2008,male,0.78,1.30
-18.12,145.96,2008,2008,male,0.71,1.25
-18.12,145.96,2008,2008,male,0.69,1.24
-18.12,145.96,2008,2008,male,0.76,1.27
-18.12,145.96,2008,2008,male,0.71,1.22
-18.12,145.96,2008,2008,male,0.78,1.28
-18.12,145.96,2008,2008,male,0.76,1.31
-18.12,145.96,2008,2008,male,0.78,1.33
-18.12,145.96,2008,2008,male,0.73,1.35
-18.12,145.96,2008,2008,male,0.73,1.25
-18.12,145.96,2008,2008,male,0.76,1.28
-18.12,145.96,2008,2008,male,0.78,1.32
-18.12,145.96,2008,2008,male,0.78,1.33
-19.58,146.98,2008,2008,male,0.84,1.39
-19.58,146.98,2008,2008,male,0.82,1.37
-19.58,146.98,2008,2008,male,0.73,1.34
-19.58,146.98,2008,2008,male,0.76,1.30
-19.58,146.98,2008,2008,male,0.78,1.32
-19.58,146.98,2008,2008,male,0.78,1.36
-19.58,146.98,2008,2008,male,0.78,1.34
-19.58,146.98,2008,2008,male,0.89,1.46
-19.58,146.98,2008,2008,male,0.82,1.33
-19.58,146.98,2008,2008,male,0.84,1.35
-19.58,146.98,2008,2008,male,0.76,1.28
-19.58,146.98,2008,2008,male,0.78,1.35
-19.58,146.98,2008,2008,male,0.82,1.37
-19.58,146.98,2008,2008,male,0.76,1.31
-19.58,146.98,2008,2008,male,0.80,1.40
-19.58,146.98,2008,2008,male,0.82,1.38
-21.08,148.63,2008,2008,male,0.80,1.37
-21.08,148.63,2008,2008,male,0.84,1.37
-21.08,148.63,2008,2008,male,0.80,1.38
-21.08,148.63,2008,2008,male,0.82,1.37
-21.08,148.63,2008,2008,male,0.82,1.33
-21.08,148.63,2008,2008,male,0.84,1.37
-21.08,148.63,2008,2008,male,0.82,1.29
-21.08,148.63,2008,2008,male,0.78,1.38
-21.08,148.63,2008,2008,male,0.82,1.37
-21.08,148.63,2008,2008,male,0.78,1.44
-21.08,148.63,2008,2008,male,0.80,1.33
