Population,Site,Latitude,Longitude,Year_start,Year_end,AC004373,AC004373,AC004365,AC004365,AC005889,AC005889,DMU12269,DMU12269,AC004343,AC004343,DMU14395,DMU14395,DROPROSA,DROPROSA,AC008193,AC008193,AC004759,AC004759,DMMP20,DMMP20,AC005115,AC005115,AC004658,AC004658,DMTRXIII,DMTRXIII,AC004721,AC004721,AC004516,AC004516,AC004641,AC004641,DMU1951,DMU1951,AC004767,AC004767,DMU25686,DMU25686
Cape_Tribulation,2.1,-16.85,145.46,2000,2000,186,192,217,221,189,189,236,241,220,228,286,286,124,124,194,194,224,227,81,91,180,180,126,128,308,314,204,206,275,275,243,249,198,204,301,317,134,134
Cape_Tribulation,2.1,-16.85,145.46,2000,2000,192,192,209,217,189,195,244,244,220,224,286,286,112,124,194,212,227,227,93,93,180,186,116,116,308,328,204,206,263,273,237,237,192,192,299,299,134,134
Cape_Tribulation,2.1,-16.85,145.46,2000,2000,186,186,217,217,185,189,236,243,222,224,284,284,112,116,194,194,242,242,93,93,186,186,116,128,306,334,200,204,261,263,239,247,200,200,0,0,142,142
Cape_Tribulation,2.1,-16.85,145.46,2000,2000,188,190,217,221,185,185,239,239,220,220,286,302,112,122,194,210,224,227,91,91,180,186,116,126,306,336,204,206,271,273,225,237,192,202,299,301,144,152
Cape_Tribulation,2.1,-16.85,145.46,2000,2000,186,186,217,217,187,189,240,244,220,226,282,288,116,126,194,194,227,242,91,91,180,186,126,126,306,312,202,204,263,263,235,237,202,202,299,299,134,134
Cape_Tribulation,2.1,-16.85,145.46,2000,2000,182,186,217,221,187,189,241,241,220,220,286,286,112,124,194,194,227,227,93,93,180,186,116,126,306,312,204,206,263,275,231,237,192,198,0,0,0,0
Cape_Tribulation,2.1,-16.85,145.46,2000,2000,186,188,219,221,189,189,233,242,220,228,288,292,112,114,194,208,224,242,93,93,180,186,116,128,308,311,200,204,263,273,235,237,192,200,0,0,134,134
Cape_Tribulation,2.1,-16.85,145.46,2000,2000,188,188,221,221,189,195,234,245,220,226,288,304,112,124,194,208,224,242,79,91,186,186,126,128,306,312,204,206,263,283,239,251,192,204,299,301,0,0
Cape_Tribulation,2.1,-16.85,145.46,2000,2000,188,192,217,221,195,195,238,242,222,228,282,302,120,124,194,208,224,227,93,93,186,186,116,126,306,312,206,206,263,279,225,237,192,200,301,301,0,0
Cape_Tribulation,2.1,-16.85,145.46,2000,2000,184,186,221,221,189,195,241,242,220,224,286,286,124,124,194,212,224,227,81,91,180,186,126,126,306,312,204,206,263,263,245,245,192,200,299,299,0,0
Cape_Tribulation,2.3,-16.85,145.46,2000,2000,186,192,209,221,185,191,239,243,226,226,286,294,112,124,194,194,224,227,93,93,180,186,120,126,308,310,204,206,271,277,251,251,192,202,299,323,134,134
Cape_Tribulation,2.3,-16.85,145.46,2000,2000,186,190,209,221,185,195,242,257,220,228,286,304,112,124,194,194,224,242,93,93,180,186,128,128,306,314,202,204,263,273,235,245,194,202,301,317,134,134
Cape_Tribulation,2.3,-16.85,145.46,2000,2000,186,188,209,221,189,193,239,242,220,224,302,302,112,124,194,208,242,242,93,93,180,186,116,126,312,314,204,204,271,273,225,237,194,202,313,317,146,146
