Population,Latitude,Longitude,Year_start,Year_end,AdhS_frequency,,,
na,-16.61,145.45,1978,1982,0.864,,,
Mount_Molloy,-16.70,145.33,1978,1982,0.920,,,
na,-16.72,145.61,1978,1982,0.811,,,
na,-17.19,145.95,1978,1982,0.713,,,
na,-17.33,145.99,1978,1982,0.887,,,
Innisfail,-17.50,146.00,1978,1982,1.000,,,
na,-17.69,146.08,1978,1982,0.887,,,
na,-17.81,146.08,1978,1982,0.928,,,
na,-17.82,146.09,1978,1982,0.947,,,
na,-17.82,146.09,1978,1982,0.981,,,
na,-18.63,146.28,1978,1982,0.788,,,
Townsville,-19.30,146.70,1978,1982,0.660,,,
na,-19.35,146.98,1978,1982,0.731,,,
na,-19.59,147.52,1978,1982,0.731,,,
na,-20.17,148.30,1978,1982,0.614,,,
na,-21.13,149.03,1978,1982,0.656,,,
na,-23.66,150.98,1978,1982,0.829,,,
na,-24.13,151.52,1978,1982,0.738,,,
na,-25.18,152.53,1978,1982,0.515,,,
na,-25.68,152.83,1978,1982,0.711,,,
na,-26.17,153.00,1978,1982,0.787,,,
na,-26.53,153.04,1978,1982,0.802,,,
Nambour,-26.60,153.00,1978,1982,0.870,,,
Brisbane,-27.50,153.00,1978,1982,0.700,,,
na,-27.72,153.29,1978,1982,0.714,,,
na,-27.72,153.29,1978,1982,0.748,,,
na,-28.17,153.47,1978,1982,0.537,,,
na,-28.54,153.51,1978,1982,0.616,,,
Stanthorpe,-28.70,152.00,1978,1982,0.540,,,
na,-28.77,153.49,1978,1982,0.537,,,
na,-30.57,152.94,1978,1982,0.593,,,
na,-31.16,152.91,1978,1982,0.536,,,
Scone,-32.10,150.90,1978,1982,0.300,,,
na,-32.12,152.47,1978,1982,0.529,,,
na,-35.22,150.43,1978,1982,0.400,,,
na,-35.22,150.43,1978,1982,0.452,,,
Canberra,-35.30,149.20,1978,1982,0.310,,,
Araluen,-35.50,149.80,1978,1982,0.360,,,
na,-35.95,150.07,1978,1982,0.554,,,
na,-36.29,150.05,1978,1982,0.426,,,
na,-36.30,150.06,1978,1982,0.452,,,
na,-37.02,149.90,1978,1982,0.490,,,
na,-37.12,149.90,1978,1982,0.301,,,
na,-37.13,149.99,1978,1982,0.376,,,
Melbourne,-37.70,144.80,1978,1982,0.210,,,
Cygnet,-43.00,147.30,1978,1982,0.560,,,
Cooktown,-15.48,145.26,2002,2004,0.629,,,
Cape_Tribulation,-16.08,145.47,2002,2004,0.667,,,
Cairns,-16.91,145.71,2002,2004,0.550,,,
Innisfail,-17.50,146.00,2002,2004,0.900,,,
Kirrama,-18.22,145.91,2002,2004,0.946,,,
Cardwell,-18.27,146.02,2002,2004,0.939,,,
Magnetic_Island,-19.17,146.83,2002,2004,0.929,,,
Bowen,-20.02,148.20,2002,2004,0.533,,,
Mackay,-21.13,149.02,2002,2004,0.966,,,
Sarina,-21.38,149.28,2002,2004,0.767,,,
Rockhampton,-23.32,150.47,2002,2004,0.950,,,
Rockhampton,-23.33,150.48,2002,2004,0.694,,,
Gladstone,-23.88,151.25,2002,2004,0.750,,,
Miriam_Vale,-24.33,151.58,2002,2004,0.946,,,
Maryborough,-25.53,152.68,2002,2004,0.904,,,
Maryborough,-25.55,152.69,2002,2004,0.947,,,
Rainbow_Beach,-25.93,153.08,2002,2004,0.809,,,
Redland_Bay,-27.60,153.30,2002,2004,0.833,,,
Redland_Bay,-27.61,153.30,2002,2004,0.444,,,
Kingscliff,-28.27,153.58,2002,2004,0.821,,,
Kingscliff,-28.28,153.52,2002,2004,0.550,,,
Alstonville,-28.82,153.43,2002,2004,0.817,,,
Red_Rock,-29.98,153.23,2002,2004,0.400,,,
Coffs_Habour,-30.27,153.12,2002,2004,0.600,,,
Tuncury,-32.18,152.50,2002,2004,0.684,,,
Belmont,-33.03,151.65,2002,2004,0.714,,,
Sydney,-33.96,151.11,2002,2004,0.845,,,
Wollongong,-34.42,150.90,2002,2004,0.883,,,
Moruya,-35.91,150.08,2002,2004,0.845,,,
Bega,-36.67,149.90,2002,2004,0.433,,,
Yarra_Valley,-37.66,145.37,2002,2004,0.423,,,
Millers,-41.24,146.99,2002,2004,0.660,,,
Red_Knight,-42.75,147.22,2002,2004,0.532,,,
Sorell,-42.77,147.58,2002,2004,0.328,,,
