Population,Latitude,Longitude,Year_start,Year_end,Temperature,Sex,Replicate_vial,Wing_centroid_size,,,
Innisfail,-17.52,146.02,2008,2008,18,female,1,2.57,,,
Innisfail,-17.52,146.02,2008,2008,18,female,1,2.62,,,
Innisfail,-17.52,146.02,2008,2008,18,female,1,2.80,,,
Innisfail,-17.52,146.02,2008,2008,18,female,1,2.73,,,
Innisfail,-17.52,146.02,2008,2008,18,female,1,2.74,,,
Innisfail,-17.52,146.02,2008,2008,18,female,1,2.63,,,
Innisfail,-17.52,146.02,2008,2008,18,female,1,2.56,,,
Innisfail,-17.52,146.02,2008,2008,18,female,1,2.65,,,
Innisfail,-17.52,146.02,2008,2008,18,female,1,2.61,,,
Innisfail,-17.52,146.02,2008,2008,18,female,1,2.61,,,
Innisfail,-17.52,146.02,2008,2008,18,female,2,2.64,,,
Innisfail,-17.52,146.02,2008,2008,18,female,2,2.75,,,
Innisfail,-17.52,146.02,2008,2008,18,female,2,2.74,,,
Innisfail,-17.52,146.02,2008,2008,18,female,2,2.62,,,
Innisfail,-17.52,146.02,2008,2008,18,female,2,2.72,,,
Innisfail,-17.52,146.02,2008,2008,18,female,2,2.64,,,
Innisfail,-17.52,146.02,2008,2008,18,female,2,2.62,,,
Innisfail,-17.52,146.02,2008,2008,18,female,2,2.66,,,
Innisfail,-17.52,146.02,2008,2008,18,female,2,2.61,,,
Innisfail,-17.52,146.02,2008,2008,18,female,2,2.62,,,
Innisfail,-17.52,146.02,2008,2008,18,female,3,2.69,,,
Innisfail,-17.52,146.02,2008,2008,18,female,3,2.63,,,
Innisfail,-17.52,146.02,2008,2008,18,female,3,2.81,,,
Innisfail,-17.52,146.02,2008,2008,18,female,3,2.68,,,
Innisfail,-17.52,146.02,2008,2008,18,female,3,2.68,,,
Innisfail,-17.52,146.02,2008,2008,18,female,3,2.63,,,
Innisfail,-17.52,146.02,2008,2008,18,female,3,2.61,,,
Innisfail,-17.52,146.02,2008,2008,18,female,3,2.62,,,
Innisfail,-17.52,146.02,2008,2008,18,female,3,2.63,,,
Innisfail,-17.52,146.02,2008,2008,18,female,3,2.57,,,
Innisfail,-17.52,146.02,2008,2008,18,male,1,2.35,,,
Innisfail,-17.52,146.02,2008,2008,18,male,1,2.49,,,
Innisfail,-17.52,146.02,2008,2008,18,male,1,2.36,,,
Innisfail,-17.52,146.02,2008,2008,18,male,1,2.31,,,
Innisfail,-17.52,146.02,2008,2008,18,male,1,2.28,,,
Innisfail,-17.52,146.02,2008,2008,18,male,1,2.32,,,
Innisfail,-17.52,146.02,2008,2008,18,male,1,2.37,,,
Innisfail,-17.52,146.02,2008,2008,18,male,1,2.36,,,
Innisfail,-17.52,146.02,2008,2008,18,male,1,2.44,,,
Innisfail,-17.52,146.02,2008,2008,18,male,1,2.40,,,
Innisfail,-17.52,146.02,2008,2008,18,male,2,2.33,,,
Innisfail,-17.52,146.02,2008,2008,18,male,2,2.35,,,
Innisfail,-17.52,146.02,2008,2008,18,male,2,2.34,,,
Innisfail,-17.52,146.02,2008,2008,18,male,2,2.39,,,
Innisfail,-17.52,146.02,2008,2008,18,male,2,2.33,,,
Innisfail,-17.52,146.02,2008,2008,18,male,2,2.24,,,
Innisfail,-17.52,146.02,2008,2008,18,male,2,2.40,,,
Innisfail,-17.52,146.02,2008,2008,18,male,2,2.25,,,
Innisfail,-17.52,146.02,2008,2008,18,male,2,2.36,,,
Innisfail,-17.52,146.02,2008,2008,18,male,2,2.25,,,
Innisfail,-17.52,146.02,2008,2008,18,male,3,2.51,,,
Innisfail,-17.52,146.02,2008,2008,18,male,3,2.29,,,
Innisfail,-17.52,146.02,2008,2008,18,male,3,2.39,,,
Innisfail,-17.52,146.02,2008,2008,18,male,3,2.40,,,
Innisfail,-17.52,146.02,2008,2008,18,male,3,2.42,,,
Innisfail,-17.52,146.02,2008,2008,18,male,3,2.35,,,
Innisfail,-17.52,146.02,2008,2008,18,male,3,2.40,,,
Innisfail,-17.52,146.02,2008,2008,18,male,3,2.31,,,
Innisfail,-17.52,146.02,2008,2008,18,male,3,2.45,,,
Innisfail,-17.52,146.02,2008,2008,18,male,3,2.31,,,
Cardwell,-18.20,145.90,2008,2008,18,female,1,2.56,,,
Cardwell,-18.20,145.90,2008,2008,18,female,1,2.47,,,
Cardwell,-18.20,145.90,2008,2008,18,female,1,2.69,,,
Cardwell,-18.20,145.90,2008,2008,18,female,1,2.53,,,
Cardwell,-18.20,145.90,2008,2008,18,female,1,2.44,,,
Cardwell,-18.20,145.90,2008,2008,18,female,1,2.46,,,
Cardwell,-18.20,145.90,2008,2008,18,female,1,2.47,,,
Cardwell,-18.20,145.90,2008,2008,18,female,1,2.60,,,
Cardwell,-18.20,145.90,2008,2008,18,female,1,2.64,,,
Cardwell,-18.20,145.90,2008,2008,18,female,2,2.76,,,
Cardwell,-18.20,145.90,2008,2008,18,female,2,2.57,,,
Cardwell,-18.20,145.90,2008,2008,18,female,2,2.69,,,
Cardwell,-18.20,145.90,2008,2008,18,female,2,2.72,,,
Cardwell,-18.20,145.90,2008,2008,18,female,2,2.70,,,
Cardwell,-18.20,145.90,2008,2008,18,female,2,2.65,,,
Cardwell,-18.20,145.90,2008,2008,18,female,2,2.60,,,
Cardwell,-18.20,145.90,2008,2008,18,female,2,2.69,,,
Cardwell,-18.20,145.90,2008,2008,18,female,2,2.68,,,
Cardwell,-18.20,145.90,2008,2008,18,female,2,2.64,,,
Cardwell,-18.20,145.90,2008,2008,18,female,3,2.50,,,
Cardwell,-18.20,145.90,2008,2008,18,female,3,2.64,,,
Cardwell,-18.20,145.90,2008,2008,18,female,3,2.67,,,
Cardwell,-18.20,145.90,2008,2008,18,female,3,2.55,,,
Cardwell,-18.20,145.90,2008,2008,18,female,3,2.59,,,
Cardwell,-18.20,145.90,2008,2008,18,female,3,2.57,,,
Cardwell,-18.20,145.90,2008,2008,18,female,3,2.37,,,
Cardwell,-18.20,145.90,2008,2008,18,female,3,2.54,,,
Cardwell,-18.20,145.90,2008,2008,18,female,3,2.62,,,
Cardwell,-18.20,145.90,2008,2008,18,female,3,2.47,,,
Cardwell,-18.20,145.90,2008,2008,18,male,1,2.33,,,
Cardwell,-18.20,145.90,2008,2008,18,male,1,2.26,,,
Cardwell,-18.20,145.90,2008,2008,18,male,1,2.27,,,
Cardwell,-18.20,145.90,2008,2008,18,male,1,2.25,,,
Cardwell,-18.20,145.90,2008,2008,18,male,1,2.33,,,
Cardwell,-18.20,145.90,2008,2008,18,male,1,2.29,,,
Cardwell,-18.20,145.90,2008,2008,18,male,1,2.32,,,
Cardwell,-18.20,145.90,2008,2008,18,male,1,2.24,,,
Cardwell,-18.20,145.90,2008,2008,18,male,1,2.29,,,
Cardwell,-18.20,145.90,2008,2008,18,male,1,2.17,,,
Cardwell,-18.20,145.90,2008,2008,18,male,2,2.24,,,
Cardwell,-18.20,145.90,2008,2008,18,male,2,2.29,,,
Cardwell,-18.20,145.90,2008,2008,18,male,2,2.21,,,
Cardwell,-18.20,145.90,2008,2008,18,male,2,2.38,,,
Cardwell,-18.20,145.90,2008,2008,18,male,2,2.34,,,
Cardwell,-18.20,145.90,2008,2008,18,male,2,2.28,,,
Cardwell,-18.20,145.90,2008,2008,18,male,2,2.23,,,
Cardwell,-18.20,145.90,2008,2008,18,male,2,2.30,,,
Cardwell,-18.20,145.90,2008,2008,18,male,2,2.34,,,
Cardwell,-18.20,145.90,2008,2008,18,male,2,2.31,,,
Cardwell,-18.20,145.90,2008,2008,18,male,3,2.42,,,
Cardwell,-18.20,145.90,2008,2008,18,male,3,2.35,,,
Cardwell,-18.20,145.90,2008,2008,18,male,3,2.26,,,
Cardwell,-18.20,145.90,2008,2008,18,male,3,2.23,,,
Cardwell,-18.20,145.90,2008,2008,18,male,3,2.42,,,
Cardwell,-18.20,145.90,2008,2008,18,male,3,2.40,,,
Cardwell,-18.20,145.90,2008,2008,18,male,3,2.23,,,
Cardwell,-18.20,145.90,2008,2008,18,male,3,2.28,,,
Cardwell,-18.20,145.90,2008,2008,18,male,3,2.39,,,
Cardwell,-18.20,145.90,2008,2008,18,male,3,2.31,,,
Bowen,-19.97,148.22,2008,2008,18,female,1,2.60,,,
Bowen,-19.97,148.22,2008,2008,18,female,1,2.66,,,
Bowen,-19.97,148.22,2008,2008,18,female,1,2.52,,,
Bowen,-19.97,148.22,2008,2008,18,female,1,2.64,,,
Bowen,-19.97,148.22,2008,2008,18,female,1,2.50,,,
Bowen,-19.97,148.22,2008,2008,18,female,1,2.68,,,
Bowen,-19.97,148.22,2008,2008,18,female,1,2.61,,,
Bowen,-19.97,148.22,2008,2008,18,female,1,2.66,,,
Bowen,-19.97,148.22,2008,2008,18,female,1,2.61,,,
Bowen,-19.97,148.22,2008,2008,18,female,1,2.53,,,
Bowen,-19.97,148.22,2008,2008,18,female,2,2.67,,,
Bowen,-19.97,148.22,2008,2008,18,female,2,2.56,,,
Bowen,-19.97,148.22,2008,2008,18,female,2,2.66,,,
Bowen,-19.97,148.22,2008,2008,18,female,2,2.66,,,
Bowen,-19.97,148.22,2008,2008,18,female,2,2.78,,,
Bowen,-19.97,148.22,2008,2008,18,female,2,2.65,,,
Bowen,-19.97,148.22,2008,2008,18,female,2,2.71,,,
Bowen,-19.97,148.22,2008,2008,18,female,2,2.41,,,
Bowen,-19.97,148.22,2008,2008,18,female,2,2.64,,,
Bowen,-19.97,148.22,2008,2008,18,female,2,2.62,,,
Bowen,-19.97,148.22,2008,2008,18,female,3,2.57,,,
Bowen,-19.97,148.22,2008,2008,18,female,3,2.69,,,
Bowen,-19.97,148.22,2008,2008,18,female,3,2.76,,,
Bowen,-19.97,148.22,2008,2008,18,female,3,2.64,,,
Bowen,-19.97,148.22,2008,2008,18,female,3,2.61,,,
Bowen,-19.97,148.22,2008,2008,18,female,3,2.74,,,
Bowen,-19.97,148.22,2008,2008,18,female,3,2.69,,,
Bowen,-19.97,148.22,2008,2008,18,female,3,2.46,,,
Bowen,-19.97,148.22,2008,2008,18,female,3,2.66,,,
Bowen,-19.97,148.22,2008,2008,18,female,3,2.70,,,
Bowen,-19.97,148.22,2008,2008,18,male,1,2.21,,,
Bowen,-19.97,148.22,2008,2008,18,male,1,2.17,,,
Bowen,-19.97,148.22,2008,2008,18,male,1,2.33,,,
Bowen,-19.97,148.22,2008,2008,18,male,1,2.21,,,
Bowen,-19.97,148.22,2008,2008,18,male,1,2.24,,,
Bowen,-19.97,148.22,2008,2008,18,male,1,2.28,,,
Bowen,-19.97,148.22,2008,2008,18,male,1,2.31,,,
Bowen,-19.97,148.22,2008,2008,18,male,2,2.26,,,
Bowen,-19.97,148.22,2008,2008,18,male,2,2.33,,,
Bowen,-19.97,148.22,2008,2008,18,male,2,2.50,,,
Bowen,-19.97,148.22,2008,2008,18,male,2,2.48,,,
Bowen,-19.97,148.22,2008,2008,18,male,2,2.33,,,
Bowen,-19.97,148.22,2008,2008,18,male,2,2.37,,,
Bowen,-19.97,148.22,2008,2008,18,male,2,2.38,,,
Bowen,-19.97,148.22,2008,2008,18,male,2,2.31,,,
