Population,Latitude,Longitude,Year_start,Year_end,Replicate_vial,Temperature,Sex,Wing_thorax_ratio
Innisfail,-17.52,146.02,2008,2008,1,18,female,2.45
Innisfail,-17.52,146.02,2008,2008,1,18,female,2.45
Innisfail,-17.52,146.02,2008,2008,1,18,female,2.54
Innisfail,-17.52,146.02,2008,2008,1,18,female,2.56
Innisfail,-17.52,146.02,2008,2008,1,18,female,2.49
Innisfail,-17.52,146.02,2008,2008,1,18,female,2.39
Innisfail,-17.52,146.02,2008,2008,1,18,female,2.48
Innisfail,-17.52,146.02,2008,2008,1,18,female,2.57
Innisfail,-17.52,146.02,2008,2008,1,18,female,2.45
Innisfail,-17.52,146.02,2008,2008,1,18,female,2.45
Innisfail,-17.52,146.02,2008,2008,2,18,female,2.40
Innisfail,-17.52,146.02,2008,2008,2,18,female,2.50
Innisfail,-17.52,146.02,2008,2008,2,18,female,2.49
Innisfail,-17.52,146.02,2008,2008,2,18,female,2.54
Innisfail,-17.52,146.02,2008,2008,2,18,female,2.47
Innisfail,-17.52,146.02,2008,2008,2,18,female,2.40
Innisfail,-17.52,146.02,2008,2008,2,18,female,2.46
Innisfail,-17.52,146.02,2008,2008,2,18,female,2.49
Innisfail,-17.52,146.02,2008,2008,2,18,female,2.45
Innisfail,-17.52,146.02,2008,2008,2,18,female,2.53
Innisfail,-17.52,146.02,2008,2008,3,18,female,2.45
Innisfail,-17.52,146.02,2008,2008,3,18,female,2.43
Innisfail,-17.52,146.02,2008,2008,3,18,female,2.55
Innisfail,-17.52,146.02,2008,2008,3,18,female,2.43
Innisfail,-17.52,146.02,2008,2008,3,18,female,2.51
Innisfail,-17.52,146.02,2008,2008,3,18,female,2.46
Innisfail,-17.52,146.02,2008,2008,3,18,female,2.45
Innisfail,-17.52,146.02,2008,2008,3,18,female,2.45
Innisfail,-17.52,146.02,2008,2008,3,18,female,2.39
Innisfail,-17.52,146.02,2008,2008,3,18,female,2.37
Cardwell,-18.10,145.90,2008,2008,1,18,female,2.48
Cardwell,-18.10,145.90,2008,2008,1,18,female,2.47
Cardwell,-18.10,145.90,2008,2008,1,18,female,2.60
Cardwell,-18.10,145.90,2008,2008,1,18,female,2.53
Cardwell,-18.10,145.90,2008,2008,1,18,female,2.44
Cardwell,-18.10,145.90,2008,2008,1,18,female,2.46
Cardwell,-18.10,145.90,2008,2008,1,18,female,2.56
Cardwell,-18.10,145.90,2008,2008,1,18,female,2.52
Cardwell,-18.10,145.90,2008,2008,1,18,female,2.40
Cardwell,-18.10,145.90,2008,2008,2,18,female,2.59
Cardwell,-18.10,145.90,2008,2008,2,18,female,2.49
Cardwell,-18.10,145.90,2008,2008,2,18,female,2.60
Cardwell,-18.10,145.90,2008,2008,2,18,female,2.55
Cardwell,-18.10,145.90,2008,2008,2,18,female,2.61
Cardwell,-18.10,145.90,2008,2008,2,18,female,2.48
Cardwell,-18.10,145.90,2008,2008,2,18,female,2.44
Cardwell,-18.10,145.90,2008,2008,2,18,female,2.60
Cardwell,-18.10,145.90,2008,2008,2,18,female,2.44
Cardwell,-18.10,145.90,2008,2008,2,18,female,2.64
Cardwell,-18.10,145.90,2008,2008,3,18,female,2.38
Cardwell,-18.10,145.90,2008,2008,3,18,female,2.48
Cardwell,-18.10,145.90,2008,2008,3,18,female,2.50
Cardwell,-18.10,145.90,2008,2008,3,18,female,2.46
Cardwell,-18.10,145.90,2008,2008,3,18,female,2.51
Cardwell,-18.10,145.90,2008,2008,3,18,female,2.49
Cardwell,-18.10,145.90,2008,2008,3,18,female,2.29
Cardwell,-18.10,145.90,2008,2008,3,18,female,2.46
Cardwell,-18.10,145.90,2008,2008,3,18,female,2.38
Cardwell,-18.10,145.90,2008,2008,3,18,female,2.39
Bowen,-19.97,148.22,2008,2008,1,18,female,2.51
Bowen,-19.97,148.22,2008,2008,1,18,female,2.42
Bowen,-19.97,148.22,2008,2008,1,18,female,2.44
