Population,Latitude,Longitude,Year_start,Year_end,Temperature,Sex,Replicate_vial,Thorax_length
Gordonvale,-17.15,145.97,2008,2008,18,female,1,1.07
Gordonvale,-17.15,145.97,2008,2008,18,female,1,1.07
Gordonvale,-17.15,145.97,2008,2008,18,female,1,1.07
Gordonvale,-17.15,145.97,2008,2008,18,female,1,1.07
Gordonvale,-17.15,145.97,2008,2008,18,female,1,1.08
Gordonvale,-17.15,145.97,2008,2008,18,female,1,1.10
Gordonvale,-17.15,145.97,2008,2008,18,female,1,1.10
Gordonvale,-17.15,145.97,2008,2008,18,female,1,1.10
Gordonvale,-17.15,145.97,2008,2008,18,female,1,1.13
Gordonvale,-17.15,145.97,2008,2008,18,female,1,1.13
Gordonvale,-17.15,145.97,2008,2008,25,female,1,0.92
Gordonvale,-17.15,145.97,2008,2008,25,female,1,1.00
Gordonvale,-17.15,145.97,2008,2008,25,female,1,1.00
Gordonvale,-17.15,145.97,2008,2008,25,female,1,1.02
Gordonvale,-17.15,145.97,2008,2008,25,female,1,1.02
Gordonvale,-17.15,145.97,2008,2008,25,female,1,1.02
Gordonvale,-17.15,145.97,2008,2008,25,female,1,1.03
Gordonvale,-17.15,145.97,2008,2008,25,female,1,1.03
Gordonvale,-17.15,145.97,2008,2008,25,female,1,1.03
Gordonvale,-17.15,145.97,2008,2008,25,female,1,1.07
Gordonvale,-17.15,145.97,2008,2008,29,female,1,0.90
Gordonvale,-17.15,145.97,2008,2008,29,female,1,0.97
Gordonvale,-17.15,145.97,2008,2008,29,female,1,0.93
Gordonvale,-17.15,145.97,2008,2008,29,female,1,0.97
Gordonvale,-17.15,145.97,2008,2008,29,female,1,0.92
Gordonvale,-17.15,145.97,2008,2008,29,female,1,0.93
Gordonvale,-17.15,145.97,2008,2008,29,female,1,0.92
Gordonvale,-17.15,145.97,2008,2008,29,female,1,0.92
Gordonvale,-17.15,145.97,2008,2008,29,female,1,0.95
Gordonvale,-17.15,145.97,2008,2008,18,male,1,0.92
Gordonvale,-17.15,145.97,2008,2008,18,male,1,0.93
Gordonvale,-17.15,145.97,2008,2008,18,male,1,0.93
Gordonvale,-17.15,145.97,2008,2008,18,male,1,0.93
Gordonvale,-17.15,145.97,2008,2008,18,male,1,0.93
Gordonvale,-17.15,145.97,2008,2008,18,male,1,0.95
Gordonvale,-17.15,145.97,2008,2008,18,male,1,0.95
Gordonvale,-17.15,145.97,2008,2008,18,male,1,0.97
Gordonvale,-17.15,145.97,2008,2008,18,male,1,0.97
Gordonvale,-17.15,145.97,2008,2008,18,male,1,1.00
Gordonvale,-17.15,145.97,2008,2008,25,male,1,0.87
Gordonvale,-17.15,145.97,2008,2008,25,male,1,0.87
Gordonvale,-17.15,145.97,2008,2008,25,male,1,0.88
Gordonvale,-17.15,145.97,2008,2008,25,male,1,0.90
Gordonvale,-17.15,145.97,2008,2008,25,male,1,0.92
Gordonvale,-17.15,145.97,2008,2008,25,male,1,0.93
Gordonvale,-17.15,145.97,2008,2008,29,male,1,0.82
Gordonvale,-17.15,145.97,2008,2008,29,male,1,0.83
Gordonvale,-17.15,145.97,2008,2008,29,male,1,0.83
Gordonvale,-17.15,145.97,2008,2008,29,male,1,0.88
Gordonvale,-17.15,145.97,2008,2008,29,male,1,0.80
Gordonvale,-17.15,145.97,2008,2008,29,male,1,0.83
Gordonvale,-17.15,145.97,2008,2008,29,male,1,0.85
Gordonvale,-17.15,145.97,2008,2008,29,male,1,0.85
Gordonvale,-17.15,145.97,2008,2008,29,male,1,0.85
Gordonvale,-17.15,145.97,2008,2008,29,male,1,0.90
Gordonvale,-17.15,145.97,2008,2008,18,female,2,1.00
Gordonvale,-17.15,145.97,2008,2008,18,female,2,1.03
Gordonvale,-17.15,145.97,2008,2008,18,female,2,1.03
Gordonvale,-17.15,145.97,2008,2008,18,female,2,1.03
Gordonvale,-17.15,145.97,2008,2008,18,female,2,1.07
Gordonvale,-17.15,145.97,2008,2008,18,female,2,1.07
Gordonvale,-17.15,145.97,2008,2008,18,female,2,1.07
Gordonvale,-17.15,145.97,2008,2008,18,female,2,1.07
Gordonvale,-17.15,145.97,2008,2008,18,female,2,1.08
Gordonvale,-17.15,145.97,2008,2008,18,female,2,1.10
Gordonvale,-17.15,145.97,2008,2008,25,female,2,1.00
Gordonvale,-17.15,145.97,2008,2008,25,female,2,1.00
Gordonvale,-17.15,145.97,2008,2008,25,female,2,1.03
Gordonvale,-17.15,145.97,2008,2008,25,female,2,1.03
Gordonvale,-17.15,145.97,2008,2008,25,female,2,1.03
Gordonvale,-17.15,145.97,2008,2008,25,female,2,1.03
Gordonvale,-17.15,145.97,2008,2008,25,female,2,1.03
Gordonvale,-17.15,145.97,2008,2008,25,female,2,1.03
Gordonvale,-17.15,145.97,2008,2008,25,female,2,1.05
Gordonvale,-17.15,145.97,2008,2008,25,female,2,1.07
Gordonvale,-17.15,145.97,2008,2008,29,female,2,0.95
Gordonvale,-17.15,145.97,2008,2008,29,female,2,0.93
Gordonvale,-17.15,145.97,2008,2008,29,female,2,0.97
Gordonvale,-17.15,145.97,2008,2008,29,female,2,0.98
Gordonvale,-17.15,145.97,2008,2008,29,female,2,0.92
Gordonvale,-17.15,145.97,2008,2008,29,female,2,0.97
Gordonvale,-17.15,145.97,2008,2008,29,female,2,0.97
Gordonvale,-17.15,145.97,2008,2008,29,female,2,0.90
Gordonvale,-17.15,145.97,2008,2008,29,female,2,0.93
Gordonvale,-17.15,145.97,2008,2008,29,female,2,0.97
Gordonvale,-17.15,145.97,2008,2008,18,male,2,0.88
Gordonvale,-17.15,145.97,2008,2008,18,male,2,0.88
Gordonvale,-17.15,145.97,2008,2008,18,male,2,0.90
Gordonvale,-17.15,145.97,2008,2008,18,male,2,0.92
Gordonvale,-17.15,145.97,2008,2008,18,male,2,0.92
Gordonvale,-17.15,145.97,2008,2008,18,male,2,0.93
Gordonvale,-17.15,145.97,2008,2008,18,male,2,0.95
Gordonvale,-17.15,145.97,2008,2008,18,male,2,0.97
Gordonvale,-17.15,145.97,2008,2008,18,male,2,0.97
Gordonvale,-17.15,145.97,2008,2008,18,male,2,0.98
Gordonvale,-17.15,145.97,2008,2008,25,male,2,0.83
Gordonvale,-17.15,145.97,2008,2008,25,male,2,0.87
Gordonvale,-17.15,145.97,2008,2008,25,male,2,0.87
Gordonvale,-17.15,145.97,2008,2008,25,male,2,0.90
Gordonvale,-17.15,145.97,2008,2008,25,male,2,0.90
Gordonvale,-17.15,145.97,2008,2008,25,male,2,0.90
Gordonvale,-17.15,145.97,2008,2008,25,male,2,0.90
Gordonvale,-17.15,145.97,2008,2008,25,male,2,0.92
Gordonvale,-17.15,145.97,2008,2008,25,male,2,0.93
Gordonvale,-17.15,145.97,2008,2008,25,male,2,0.95
Gordonvale,-17.15,145.97,2008,2008,29,male,2,0.82
Gordonvale,-17.15,145.97,2008,2008,29,male,2,0.87
Gordonvale,-17.15,145.97,2008,2008,29,male,2,0.82
Gordonvale,-17.15,145.97,2008,2008,29,male,2,0.80
Gordonvale,-17.15,145.97,2008,2008,29,male,2,0.83
Gordonvale,-17.15,145.97,2008,2008,29,male,2,0.83
Gordonvale,-17.15,145.97,2008,2008,29,male,2,0.83
Gordonvale,-17.15,145.97,2008,2008,29,male,2,0.92
