Population,Latitude,Longitude,Year_start,Year_end,Temperature,Sex,Replicate_vial,Wing_centroid_size
Gordenvale,-17.15,145.97,2008,2008,18,female,1,2.55
Gordonvale,-17.15,145.97,2008,2008,18,female,1,2.50
Gordonvale,-17.15,145.97,2008,2008,18,female,1,2.52
Gordonvale,-17.15,145.97,2008,2008,18,female,1,2.51
Gordonvale,-17.15,145.97,2008,2008,18,female,1,2.42
Gordonvale,-17.15,145.97,2008,2008,18,female,1,2.60
Gordonvale,-17.15,145.97,2008,2008,18,female,1,2.59
Gordonvale,-17.15,145.97,2008,2008,18,female,1,2.55
Gordonvale,-17.15,145.97,2008,2008,18,female,1,2.56
Gordonvale,-17.15,145.97,2008,2008,18,female,1,2.54
Gordonvale,-17.15,145.97,2008,2008,18,male,1,2.26
Gordonvale,-17.15,145.97,2008,2008,18,male,1,2.29
Gordonvale,-17.15,145.97,2008,2008,18,male,1,2.24
Gordonvale,-17.15,145.97,2008,2008,18,male,1,2.16
Gordonvale,-17.15,145.97,2008,2008,18,male,1,2.18
Gordonvale,-17.15,145.97,2008,2008,18,male,1,2.23
Gordonvale,-17.15,145.97,2008,2008,18,male,1,2.21
Gordonvale,-17.15,145.97,2008,2008,18,male,1,2.12
Gordonvale,-17.15,145.97,2008,2008,18,male,1,2.23
Gordonvale,-17.15,145.97,2008,2008,18,male,1,2.26
Gordonvale,-17.15,145.97,2008,2008,18,female,2,2.37
Gordonvale,-17.15,145.97,2008,2008,18,female,2,2.54
Gordonvale,-17.15,145.97,2008,2008,18,female,2,2.45
Gordonvale,-17.15,145.97,2008,2008,18,female,2,2.41
Gordonvale,-17.15,145.97,2008,2008,18,female,2,2.48
Gordonvale,-17.15,145.97,2008,2008,18,female,2,2.39
Gordonvale,-17.15,145.97,2008,2008,18,female,2,2.43
Gordonvale,-17.15,145.97,2008,2008,18,female,2,2.48
Gordonvale,-17.15,145.97,2008,2008,18,female,2,2.40
Gordonvale,-17.15,145.97,2008,2008,18,male,2,2.30
Gordonvale,-17.15,145.97,2008,2008,18,male,2,2.23
Gordonvale,-17.15,145.97,2008,2008,18,male,2,2.16
Gordonvale,-17.15,145.97,2008,2008,18,male,2,2.25
Gordonvale,-17.15,145.97,2008,2008,18,male,2,2.09
Gordonvale,-17.15,145.97,2008,2008,18,male,2,2.18
Gordonvale,-17.15,145.97,2008,2008,18,male,2,2.26
Gordonvale,-17.15,145.97,2008,2008,18,male,2,2.28
Gordonvale,-17.15,145.97,2008,2008,18,male,2,2.13
Gordonvale,-17.15,145.97,2008,2008,18,male,2,2.28
Gordonvale,-17.15,145.97,2008,2008,18,female,3,2.57
Gordonvale,-17.15,145.97,2008,2008,18,female,3,2.37
Gordonvale,-17.15,145.97,2008,2008,18,female,3,2.45
Gordonvale,-17.15,145.97,2008,2008,18,female,3,2.45
Gordonvale,-17.15,145.97,2008,2008,18,female,3,2.50
Gordonvale,-17.15,145.97,2008,2008,18,female,3,2.54
Gordonvale,-17.15,145.97,2008,2008,18,female,3,2.32
Gordonvale,-17.15,145.97,2008,2008,18,female,3,2.44
Gordonvale,-17.15,145.97,2008,2008,18,female,3,2.42
Gordonvale,-17.15,145.97,2008,2008,18,female,3,2.53
Gordonvale,-17.15,145.97,2008,2008,18,male,3,2.27
Gordonvale,-17.15,145.97,2008,2008,18,male,3,2.20
Gordonvale,-17.15,145.97,2008,2008,18,male,3,2.26
Gordonvale,-17.15,145.97,2008,2008,18,male,3,2.29
Gordonvale,-17.15,145.97,2008,2008,18,male,3,2.15
Gordonvale,-17.15,145.97,2008,2008,18,male,3,2.12
Gordonvale,-17.15,145.97,2008,2008,18,male,3,2.20
Gordonvale,-17.15,145.97,2008,2008,18,male,3,2.14
Gordonvale,-17.15,145.97,2008,2008,18,male,3,2.19
Gordonvale,-17.15,145.97,2008,2008,18,male,3,2.17
Gordonvale,-17.15,145.97,2008,2008,25,female,1,2.30
Gordonvale,-17.15,145.97,2008,2008,25,female,1,2.29
Gordonvale,-17.15,145.97,2008,2008,25,female,1,2.20
Gordonvale,-17.15,145.97,2008,2008,25,female,1,2.13
Gordonvale,-17.15,145.97,2008,2008,25,female,1,2.12
Gordonvale,-17.15,145.97,2008,2008,25,female,1,2.06
Gordonvale,-17.15,145.97,2008,2008,25,female,1,2.04
Gordonvale,-17.15,145.97,2008,2008,25,female,1,2.17
