Population,Latitude,Longitude,Year_start,Year_end,Period17,Period20
Cape_Tribulation,-16.08,145.47,2002,2002,0.58,0.16
Innisfail,-17.50,146.00,2002,2002,0.18,0.60
Sarina,-21.38,149.28,2002,2002,0.18,0.73
Rockhampton,-23.32,150.47,2002,2002,0.58,0.42
Gladstone,-23.88,151.25,2002,2002,0.13,0.68
Miriam_Vale,-24.33,151.58,2002,2002,0.30,0.45
Maryborough,-25.53,152.68,2002,2002,0.18,0.70
Rainbow_Beach,-25.93,153.08,2002,2002,0.18,0.68
Redland_Bay,-27.60,153.30,2002,2002,0.33,0.55
Kingscliff,-28.28,153.52,2002,2002,0.53,0.33
Alstonville,-28.82,153.43,2002,2002,0.40,0.33
Coffs_Habour,-30.27,153.12,2002,2002,0.68,0.30
Belmont,-33.03,151.65,2002,2002,0.45,0.53
Wollongong,-34.42,150.90,2002,2002,0.28,0.73
Bega,-36.67,149.90,2002,2002,0.20,0.50
Red_Knight,-42.75,147.22,2002,2002,0.33,0.63
Cooktown,-15.48,145.26,2004,2004,0.46,0.19
Cairns,-16.91,145.71,2004,2004,0.60,0.15
Kirrama,-18.22,145.91,2004,2004,0.59,0.17
Cardwell,-18.27,146.02,2004,2004,0.48,0.40
Magnetic_Island,-19.17,146.83,2004,2004,0.43,0.43
Bowen,-20.02,148.20,2004,2004,0.17,0.56
Mackay,-21.13,149.02,2004,2004,0.31,0.46
Rockhampton,-23.33,150.48,2004,2004,0.43,0.33
Maryborough,-25.55,152.69,2004,2004,0.38,0.33
Redland_Bay,-27.61,153.30,2004,2004,0.50,0.28
Kingscliff,-28.27,153.58,2004,2004,0.33,0.33
Red_Rock,-29.98,153.23,2004,2004,0.45,0.38
Tuncury,-32.18,152.50,2004,2004,0.34,0.38
Sydney,-33.96,151.11,2004,2004,0.42,0.46
Moruya,-35.91,150.08,2004,2004,0.39,0.34
Yarra_Valley,-37.66,145.37,2004,2004,0.52,0.41
Millers,-41.24,146.99,2004,2004,0.62,0.28
Sorell,-42.77,147.58,2004,2004,0.69,0.28
