Population,Latitude,Longitude,Year_start,Year_end,ThrGly_length
Cape_Tribulation,-16.00,145.47,2002,2002,19.21
Innisfail,-17.00,146.00,2002,2002,20.25
na,-19.15,146.29,2002,2002,19.10
Sarina,-21.00,149.28,2002,2002,19.88
Rockhampton,-23.22,150.47,2002,2002,18.26
Gladstone,-23.50,151.25,2002,2002,20.28
Miriam_Vale,-24.00,151.58,2002,2002,18.60
Maryborough,-25.32,152.68,2002,2002,19.98
Rainbow_Beach,-25.54,153.08,2002,2002,19.83
Redland_Bay,-27.00,153.30,2002,2002,19.15
Kingscliff,-28.15,153.52,2002,2002,18.80
Alstonville,-28.49,153.43,2002,2002,19.13
Coffs_Habour,-30.00,153.12,2002,2002,18.08
na,-31.00,152.58,2002,2002,19.55
Belmont,-33.00,151.65,2002,2002,18.60
Wollongong,-34.00,150.90,2002,2002,19.18
Bega,-36.00,149.90,2002,2002,20.30
na,-38.00,145.50,2002,2002,17.63
na,-41.00,148.10,2002,2002,17.90
Red Knight,-43.00,147.22,2002,2002,19.18
Cooktown,-15.48,145.26,2004,2004,19.40
Cairns,-16.91,145.71,2004,2004,18.30
Kirrama,-18.22,145.91,2004,2004,19.02
Cardwell,-18.27,146.02,2004,2004,18.86
Magnetic_Island,-19.17,146.83,2004,2004,19.22
Bowen,-20.02,148.20,2004,2004,18.69
Mackay,-21.13,149.02,2004,2004,19.52
Rockhampton,-23.33,150.48,2004,2004,19.95
Maryborough,-25.55,152.69,2004,2004,19.25
Redland_Bay,-27.60,153.30,2004,2004,18.76
Kingscliff,-28.28,153.58,2004,2004,19.15
Red_Rock,-29.98,153.23,2004,2004,18.98
Tuncury,-32.18,152.50,2004,2004,18.88
Sydney,-33.96,151.11,2004,2004,18.94
Moruya,-35.91,150.08,2004,2004,19.32
Yarra_Valley,-37.66,145.37,2004,2004,18.61
Millers,-41.24,146.99,2004,2004,18.41
Sorell,-42.77,147.58,2004,2004,17.93
,,,,,
