Population,Latitude,Longitude,Year_start,Year_end,Altitude_class,Altitude,Run,Vial,Cold_recovery_time
Malanda,-17.32,145.52,2002,2002,high,800,1,2,4
Malanda,-17.32,145.52,2002,2002,high,800,1,1,11
Malanda,-17.32,145.52,2002,2002,high,800,3,2,0
Malanda,-17.32,145.52,2002,2002,high,800,3,2,
Malanda,-17.32,145.52,2002,2002,high,800,2,2,0
Malanda,-17.32,145.52,2002,2002,high,800,2,2,
Malanda,-17.32,145.52,2002,2002,high,800,2,1,5
Malanda,-17.32,145.52,2002,2002,high,800,4,1,0
Malanda,-17.32,145.52,2002,2002,high,800,4,1,
Malanda,-17.32,145.52,2002,2002,high,800,4,2,0
Malanda,-17.32,145.52,2002,2002,high,800,4,2,0
Malanda,-17.32,145.52,2002,2002,high,800,4,2,0
Malanda,-17.32,145.52,2002,2002,high,800,2,2,8
Malanda,-17.32,145.52,2002,2002,high,800,4,2,6
Malanda,-17.32,145.52,2002,2002,high,800,1,2,42
Malanda,-17.32,145.52,2002,2002,high,800,3,2,30
Malanda,-17.32,145.52,2002,2002,high,800,3,2,31
Malanda,-17.32,145.52,2002,2002,high,800,4,2,24
Malanda,-17.32,145.52,2002,2002,high,800,3,1,34
Malanda,-17.32,145.52,2002,2002,high,800,4,2,26
Malanda,-17.32,145.52,2002,2002,high,800,3,1,36
Malanda,-17.32,145.52,2002,2002,high,800,2,1,35
Malanda,-17.32,145.52,2002,2002,high,800,4,2,28
Malanda,-17.32,145.52,2002,2002,high,800,3,1,39
Malanda,-17.32,145.52,2002,2002,high,800,3,1,39
Malanda,-17.32,145.52,2002,2002,high,800,1,1,55
Malanda,-17.32,145.52,2002,2002,high,800,4,2,30
Malanda,-17.32,145.52,2002,2002,high,800,4,1,32
Malanda,-17.32,145.52,2002,2002,high,800,4,2,32
Malanda,-17.32,145.52,2002,2002,high,800,2,1,40
Malanda,-17.32,145.52,2002,2002,high,800,2,2,41
Malanda,-17.32,145.52,2002,2002,high,800,1,2,60
Malanda,-17.32,145.52,2002,2002,high,800,3,1,46
Malanda,-17.32,145.52,2002,2002,high,800,3,1,46
Malanda,-17.32,145.52,2002,2002,high,800,3,1,46
Malanda,-17.32,145.52,2002,2002,high,800,3,2,46
Malanda,-17.32,145.52,2002,2002,high,800,1,2,64
Malanda,-17.32,145.52,2002,2002,high,800,1,2,64
Malanda,-17.32,145.52,2002,2002,high,800,2,1,47
Malanda,-17.32,145.52,2002,2002,high,800,2,1,47
Malanda,-17.32,145.52,2002,2002,high,800,3,1,50
Malanda,-17.32,145.52,2002,2002,high,800,3,1,50
Malanda,-17.32,145.52,2002,2002,high,800,3,2,50
Malanda,-17.32,145.52,2002,2002,high,800,4,1,42
Malanda,-17.32,145.52,2002,2002,high,800,4,1,42
Malanda,-17.32,145.52,2002,2002,high,800,4,2,42
Malanda,-17.32,145.52,2002,2002,high,800,1,2,68
Malanda,-17.32,145.52,2002,2002,high,800,1,2,68
Malanda,-17.32,145.52,2002,2002,high,800,1,2,68
Malanda,-17.32,145.52,2002,2002,high,800,2,1,51
Malanda,-17.32,145.52,2002,2002,high,800,3,1,54
Malanda,-17.32,145.52,2002,2002,high,800,3,2,54
Malanda,-17.32,145.52,2002,2002,high,800,3,2,54
Malanda,-17.32,145.52,2002,2002,high,800,3,2,54
Malanda,-17.32,145.52,2002,2002,high,800,2,2,53
Malanda,-17.32,145.52,2002,2002,high,800,2,2,53
Malanda,-17.32,145.52,2002,2002,high,800,1,2,73
Malanda,-17.32,145.52,2002,2002,high,800,2,1,57
Malanda,-17.32,145.52,2002,2002,high,800,4,1,50
Malanda,-17.32,145.52,2002,2002,high,800,2,2,58
Malanda,-17.32,145.52,2002,2002,high,800,2,2,58
Malanda,-17.32,145.52,2002,2002,high,800,2,2,58
Malanda,-17.32,145.52,2002,2002,high,800,4,1,52
Malanda,-17.32,145.52,2002,2002,high,800,3,2,62
Malanda,-17.32,145.52,2002,2002,high,800,1,1,81
Malanda,-17.32,145.52,2002,2002,high,800,2,1,67
Malanda,-17.32,145.52,2002,2002,high,800,2,1,77
Malanda,-17.32,145.52,2002,2002,high,800,2,1,77
Malanda,-17.32,145.52,2002,2002,high,800,2,2,78
Malanda,-17.32,145.52,2002,2002,high,800,1,1,97
Malanda,-17.32,145.52,2002,2002,high,800,4,1,72
Malanda,-17.32,145.52,2002,2002,high,800,4,1,74
Malanda,-17.32,145.52,2002,2002,high,800,1,1,100
Malanda,-17.32,145.52,2002,2002,high,800,1,1,100
Malanda,-17.32,145.52,2002,2002,high,800,4,1,83
Malanda,-17.32,145.52,2002,2002,high,800,1,1,
Malanda,-17.32,145.52,2002,2002,high,800,1,1,
Malanda,-17.32,145.52,2002,2002,high,800,1,1,
Malanda,-17.32,145.52,2002,2002,high,800,1,1,
Malanda,-17.32,145.52,2002,2002,high,800,1,2,
Innisfail,-17.5,146.00,2002,2002,low,10,3,1,
Innisfail,-17.5,146.00,2002,2002,low,10,3,1,
Innisfail,-17.5,146.00,2002,2002,low,10,3,2,0
Innisfail,-17.5,146.00,2002,2002,low,10,2,1,0
Innisfail,-17.5,146.00,2002,2002,low,10,2,1,0
Innisfail,-17.5,146.00,2002,2002,low,10,2,1,0
Innisfail,-17.5,146.00,2002,2002,low,10,2,2,
Innisfail,-17.5,146.00,2002,2002,low,10,4,2,0
Innisfail,-17.5,146.00,2002,2002,low,10,4,2,0
Innisfail,-17.5,146.00,2002,2002,low,10,4,2,
Innisfail,-17.5,146.00,2002,2002,low,10,4,2,
Innisfail,-17.5,146.00,2002,2002,low,10,4,2,
Innisfail,-17.5,146.00,2002,2002,low,10,1,1,38
Innisfail,-17.5,146.00,2002,2002,low,10,1,1,38
Innisfail,-17.5,146.00,2002,2002,low,10,2,2,22
Innisfail,-17.5,146.00,2002,2002,low,10,2,2,29
Innisfail,-17.5,146.00,2002,2002,low,10,1,2,47
Innisfail,-17.5,146.00,2002,2002,low,10,4,1,24
Innisfail,-17.5,146.00,2002,2002,low,10,4,1,24
Innisfail,-17.5,146.00,2002,2002,low,10,4,1,24
Innisfail,-17.5,146.00,2002,2002,low,10,2,1,32
Innisfail,-17.5,146.00,2002,2002,low,10,1,1,50
Innisfail,-17.5,146.00,2002,2002,low,10,1,1,50
Innisfail,-17.5,146.00,2002,2002,low,10,4,1,26
Innisfail,-17.5,146.00,2002,2002,low,10,3,2,36
Innisfail,-17.5,146.00,2002,2002,low,10,1,2,52
Innisfail,-17.5,146.00,2002,2002,low,10,2,1,35
Innisfail,-17.5,146.00,2002,2002,low,10,2,1,35
Innisfail,-17.5,146.00,2002,2002,low,10,2,1,35
Innisfail,-17.5,146.00,2002,2002,low,10,4,1,28
Innisfail,-17.5,146.00,2002,2002,low,10,4,1,28
Innisfail,-17.5,146.00,2002,2002,low,10,4,1,28
Innisfail,-17.5,146.00,2002,2002,low,10,2,2,37
Innisfail,-17.5,146.00,2002,2002,low,10,3,1,39
Innisfail,-17.5,146.00,2002,2002,low,10,1,2,56
Innisfail,-17.5,146.00,2002,2002,low,10,1,2,56
Innisfail,-17.5,146.00,2002,2002,low,10,4,2,32
