Population,Latitude,Longitude,Year_start,Year_end,Altitude_class,Altitude,Treatment,Run,Vial,Heat_knockdown_time
Malanda,-17.31,145.52,2002,2002,high,800,hardened,1,1,18
Malanda,-17.31,145.52,2002,2002,high,800,hardened,1,2,17
Malanda,-17.31,145.52,2002,2002,high,800,hardened,2,1,29
Malanda,-17.31,145.52,2002,2002,high,800,hardened,2,2,28
Malanda,-17.31,145.52,2002,2002,high,800,hardened,3,1,23
Malanda,-17.31,145.52,2002,2002,high,800,hardened,3,2,25
Malanda,-17.31,145.52,2002,2002,high,800,hardened,4,1,26
Malanda,-17.31,145.52,2002,2002,high,800,hardened,4,2,22
Malanda,-17.31,145.52,2002,2002,high,800,hardened,5,1,23
Malanda,-17.31,145.52,2002,2002,high,800,hardened,5,2,23
Malanda,-17.31,145.52,2002,2002,high,800,hardened,6,1,23
Malanda,-17.31,145.52,2002,2002,high,800,hardened,6,2,16
Malanda,-17.31,145.52,2002,2002,high,800,hardened,7,1,16
Malanda,-17.31,145.52,2002,2002,high,800,hardened,7,2,23
Malanda,-17.31,145.52,2002,2002,high,800,hardened,8,1,20
Malanda,-17.31,145.52,2002,2002,high,800,hardened,8,2,17
Malanda,-17.31,145.52,2002,2002,high,800,hardened,9,1,23
Malanda,-17.31,145.52,2002,2002,high,800,hardened,9,2,15
Malanda,-17.31,145.52,2002,2002,high,800,hardened,10,1,27
Malanda,-17.31,145.52,2002,2002,high,800,hardened,10,2,21
Malanda,-17.31,145.52,2002,2002,high,800,hardened,11,1,16
Malanda,-17.31,145.52,2002,2002,high,800,hardened,11,2,12
Malanda,-17.31,145.52,2002,2002,high,800,hardened,12,1,20
Malanda,-17.31,145.52,2002,2002,high,800,hardened,12,2,27
Malanda,-17.31,145.52,2002,2002,high,800,hardened,13,1,31
Malanda,-17.31,145.52,2002,2002,high,800,hardened,13,2,15
Malanda,-17.31,145.52,2002,2002,high,800,hardened,14,1,29
Malanda,-17.31,145.52,2002,2002,high,800,hardened,14,2,18
Malanda,-17.31,145.52,2002,2002,high,800,hardened,15,1,17
Malanda,-17.31,145.52,2002,2002,high,800,hardened,15,2,13
Malanda,-17.31,145.52,2002,2002,high,800,hardened,16,1,23
Malanda,-17.31,145.52,2002,2002,high,800,hardened,16,2,13
Malanda,-17.31,145.52,2002,2002,high,800,hardened,17,1,15
Malanda,-17.31,145.52,2002,2002,high,800,hardened,17,2,19
Malanda,-17.31,145.52,2002,2002,high,800,hardened,18,1,19
Malanda,-17.31,145.52,2002,2002,high,800,hardened,18,2,13
Malanda,-17.31,145.52,2002,2002,high,800,unhardened,1,1,18
Malanda,-17.31,145.52,2002,2002,high,800,unhardened,1,2,18
Malanda,-17.31,145.52,2002,2002,high,800,unhardened,2,1,27
Malanda,-17.31,145.52,2002,2002,high,800,unhardened,2,2,20
Malanda,-17.31,145.52,2002,2002,high,800,unhardened,3,1,27
Malanda,-17.31,145.52,2002,2002,high,800,unhardened,3,2,20
Malanda,-17.31,145.52,2002,2002,high,800,unhardened,4,1,20
Malanda,-17.31,145.52,2002,2002,high,800,unhardened,4,2,17
Malanda,-17.31,145.52,2002,2002,high,800,unhardened,5,1,21
Malanda,-17.31,145.52,2002,2002,high,800,unhardened,5,2,21
Malanda,-17.31,145.52,2002,2002,high,800,unhardened,6,1,23
Malanda,-17.31,145.52,2002,2002,high,800,unhardened,6,2,24
Malanda,-17.31,145.52,2002,2002,high,800,unhardened,7,1,13
Malanda,-17.31,145.52,2002,2002,high,800,unhardened,7,2,8
Malanda,-17.31,145.52,2002,2002,high,800,unhardened,8,1,15
Malanda,-17.31,145.52,2002,2002,high,800,unhardened,8,2,21
Malanda,-17.31,145.52,2002,2002,high,800,unhardened,9,1,15
Malanda,-17.31,145.52,2002,2002,high,800,unhardened,9,2,20
Malanda,-17.31,145.52,2002,2002,high,800,unhardened,10,1,22
Malanda,-17.31,145.52,2002,2002,high,800,unhardened,10,2,21
Malanda,-17.31,145.52,2002,2002,high,800,unhardened,11,1,28
Malanda,-17.31,145.52,2002,2002,high,800,unhardened,11,2,20
Malanda,-17.31,145.52,2002,2002,high,800,unhardened,12,1,22
Malanda,-17.31,145.52,2002,2002,high,800,unhardened,12,2,14
Malanda,-17.31,145.52,2002,2002,high,800,unhardened,13,1,15
Malanda,-17.31,145.52,2002,2002,high,800,unhardened,13,2,18
Malanda,-17.31,145.52,2002,2002,high,800,unhardened,14,1,18
Malanda,-17.31,145.52,2002,2002,high,800,unhardened,14,2,18
Malanda,-17.31,145.52,2002,2002,high,800,unhardened,15,1,12
Malanda,-17.31,145.52,2002,2002,high,800,unhardened,15,2,12
Malanda,-17.31,145.52,2002,2002,high,800,unhardened,16,1,11
Malanda,-17.31,145.52,2002,2002,high,800,unhardened,16,2,19
Malanda,-17.31,145.52,2002,2002,high,800,unhardened,17,1,18
Malanda,-17.31,145.52,2002,2002,high,800,unhardened,17,2,17
Malanda,-17.31,145.52,2002,2002,high,800,unhardened,18,1,12
Malanda,-17.31,145.52,2002,2002,high,800,unhardened,18,2,15
Innisfail,-17.50,146.00,2002,2002,low,10,hardened,1,1,21
Innisfail,-17.50,146.00,2002,2002,low,10,hardened,1,2,28
Innisfail,-17.50,146.00,2002,2002,low,10,hardened,2,1,28
Innisfail,-17.50,146.00,2002,2002,low,10,hardened,2,2,21
Innisfail,-17.50,146.00,2002,2002,low,10,hardened,3,1,19
Innisfail,-17.50,146.00,2002,2002,low,10,hardened,3,2,24
Innisfail,-17.50,146.00,2002,2002,low,10,hardened,4,1,19
Innisfail,-17.50,146.00,2002,2002,low,10,hardened,4,2,24
Innisfail,-17.50,146.00,2002,2002,low,10,hardened,5,1,23
Innisfail,-17.50,146.00,2002,2002,low,10,hardened,5,2,18
Innisfail,-17.50,146.00,2002,2002,low,10,hardened,6,1,22
Innisfail,-17.50,146.00,2002,2002,low,10,hardened,6,2,26
Innisfail,-17.50,146.00,2002,2002,low,10,hardened,7,1,19
Innisfail,-17.50,146.00,2002,2002,low,10,hardened,7,2,10
Innisfail,-17.50,146.00,2002,2002,low,10,hardened,8,1,13
Innisfail,-17.50,146.00,2002,2002,low,10,hardened,8,2,22
Innisfail,-17.50,146.00,2002,2002,low,10,hardened,9,1,17
Innisfail,-17.50,146.00,2002,2002,low,10,hardened,9,2,18
Innisfail,-17.50,146.00,2002,2002,low,10,hardened,10,1,20
Innisfail,-17.50,146.00,2002,2002,low,10,hardened,10,2,12
Innisfail,-17.50,146.00,2002,2002,low,10,hardened,11,1,22
Innisfail,-17.50,146.00,2002,2002,low,10,hardened,11,2,24
Innisfail,-17.50,146.00,2002,2002,low,10,hardened,12,1,10
Innisfail,-17.50,146.00,2002,2002,low,10,hardened,12,2,19
Innisfail,-17.50,146.00,2002,2002,low,10,hardened,13,1,23
Innisfail,-17.50,146.00,2002,2002,low,10,hardened,13,2,29
Innisfail,-17.50,146.00,2002,2002,low,10,hardened,14,1,18
Innisfail,-17.50,146.00,2002,2002,low,10,hardened,14,2,20
Innisfail,-17.50,146.00,2002,2002,low,10,hardened,15,1,23
Innisfail,-17.50,146.00,2002,2002,low,10,hardened,15,2,17
Innisfail,-17.50,146.00,2002,2002,low,10,hardened,16,1,13
Innisfail,-17.50,146.00,2002,2002,low,10,hardened,16,2,6
Innisfail,-17.50,146.00,2002,2002,low,10,hardened,17,1,16
Innisfail,-17.50,146.00,2002,2002,low,10,hardened,17,2,21
Innisfail,-17.50,146.00,2002,2002,low,10,hardened,18,1,15
Innisfail,-17.50,146.00,2002,2002,low,10,hardened,18,2,23
Innisfail,-17.50,146.00,2002,2002,low,10,unhardened,1,1,19
Innisfail,-17.50,146.00,2002,2002,low,10,unhardened,1,2,16
Innisfail,-17.50,146.00,2002,2002,low,10,unhardened,2,1,13
Innisfail,-17.50,146.00,2002,2002,low,10,unhardened,2,2,18
Innisfail,-17.50,146.00,2002,2002,low,10,unhardened,3,1,28
Innisfail,-17.50,146.00,2002,2002,low,10,unhardened,3,2,11
Innisfail,-17.50,146.00,2002,2002,low,10,unhardened,4,1,26
Innisfail,-17.50,146.00,2002,2002,low,10,unhardened,4,2,15
Innisfail,-17.50,146.00,2002,2002,low,10,unhardened,5,1,20
Innisfail,-17.50,146.00,2002,2002,low,10,unhardened,5,2,13
Innisfail,-17.50,146.00,2002,2002,low,10,unhardened,6,1,15
Innisfail,-17.50,146.00,2002,2002,low,10,unhardened,6,2,21
Innisfail,-17.50,146.00,2002,2002,low,10,unhardened,7,1,20
Innisfail,-17.50,146.00,2002,2002,low,10,unhardened,7,2,10
Innisfail,-17.50,146.00,2002,2002,low,10,unhardened,8,1,11
Innisfail,-17.50,146.00,2002,2002,low,10,unhardened,8,2,19
Innisfail,-17.50,146.00,2002,2002,low,10,unhardened,9,1,23
Innisfail,-17.50,146.00,2002,2002,low,10,unhardened,9,2,20
Innisfail,-17.50,146.00,2002,2002,low,10,unhardened,10,1,26
Innisfail,-17.50,146.00,2002,2002,low,10,unhardened,10,2,14
Innisfail,-17.50,146.00,2002,2002,low,10,unhardened,11,1,17
Innisfail,-17.50,146.00,2002,2002,low,10,unhardened,11,2,25
Innisfail,-17.50,146.00,2002,2002,low,10,unhardened,12,1,20
Innisfail,-17.50,146.00,2002,2002,low,10,unhardened,12,2,18
Innisfail,-17.50,146.00,2002,2002,low,10,unhardened,13,1,18
Innisfail,-17.50,146.00,2002,2002,low,10,unhardened,13,2,15
Innisfail,-17.50,146.00,2002,2002,low,10,unhardened,14,1,20
Innisfail,-17.50,146.00,2002,2002,low,10,unhardened,14,2,19
Innisfail,-17.50,146.00,2002,2002,low,10,unhardened,15,1,12
Innisfail,-17.50,146.00,2002,2002,low,10,unhardened,15,2, 
Innisfail,-17.50,146.00,2002,2002,low,10,unhardened,16,1,20
Innisfail,-17.50,146.00,2002,2002,low,10,unhardened,16,2,13
Innisfail,-17.50,146.00,2002,2002,low,10,unhardened,17,1,15
Innisfail,-17.50,146.00,2002,2002,low,10,unhardened,17,2,17
Innisfail,-17.50,146.00,2002,2002,low,10,unhardened,18,1,17
Innisfail,-17.50,146.00,2002,2002,low,10,unhardened,18,2,11
Springbrook,-28.23,153.27,2002,2002,high,1031,hardened,1,1,22
Springbrook,-28.23,153.27,2002,2002,high,1031,hardened,1,2,15
