Population,Latitude,Longitude,Year_start,Year_end,Line,Altitude_class,Altitude,Female_states,Female1_O1,Female1_O2,Female2_O1,Female2_O2,Female3_O1,Female3_O2,Female4_O1,Female4_O2,Mean_ovariole_number,,,
Malanda,-17.31,145.52,2002,2002,1,high,800,non-mated,11,9,9.00, ,11,10.00,12,11,10.43,,,
Malanda,-17.31,145.52,2002,2002,2,high,800,non-mated,22,17,18.00,16.00,15,13.00,15,17,16.63,,,
Malanda,-17.31,145.52,2002,2002,3,high,800,non-mated,9,13,16.00,14.00,14,13.00, , ,13.17,,,
Malanda,-17.31,145.52,2002,2002,4,high,800,non-mated,25,21,13.00,19.00,12,13.00,18,21,17.75,,,
Malanda,-17.31,145.52,2002,2002,5,high,800,non-mated,12,17,17.00,17.00,17,14.00,16,13,15.38,,,
Malanda,-17.31,145.52,2002,2002,1,high,800,mated,16,14,10,18,13,10.000,15,14,13.75,,,
Malanda,-17.31,145.52,2002,2002,2,high,800,mated,16,13,12,11,,,,,13.00,,,
Malanda,-17.31,145.52,2002,2002,3,high,800,mated,14,13,19,18,15,15.000,,,15.67,,,
Malanda,-17.31,145.52,2002,2002,4,high,800,mated,17,15,17,17,17,20.000,12,19,16.75,,,
Malanda,-17.31,145.52,2002,2002,5,high,800,mated,21,15,19,15,17,17.000,18,,17.43,,,
Innisfail,-17.50,146.00,2002,2002,1,low,10,non-mated,21,22,19.00,24.00,19,19.00,21,25,21.25,,,
Innisfail,-17.50,146.00,2002,2002,2,low,10,non-mated,28,24,17.00, ,16,23.00,17,22,21.00,,,
Innisfail,-17.50,146.00,2002,2002,3,low,10,non-mated,20,16,19.00,20.00,19,18.00,11,25,18.50,,,
Innisfail,-17.50,146.00,2002,2002,4,low,10,non-mated,16,23,21.00,16.00,20,18.00,25,26,20.63,,,
Innisfail,-17.50,146.00,2002,2002,5,low,10,non-mated,20,19,16.00,15.00,0,14.00,16,14,16.29,,,
Innisfail,-17.50,146.00,2002,2002,1,low,10,mated,19,19,16,18,21,23.000, , ,19.33,,,
Innisfail,-17.50,146.00,2002,2002,2,low,10,mated,19,21,12,9,24,19.000,19,16,17.38,,,
Innisfail,-17.50,146.00,2002,2002,3,low,10,mated,14,9, , ,15,8.000,15,10,11.83,,,
Innisfail,-17.50,146.00,2002,2002,4,low,10,mated,14,16,12,17,16,15.000,20,19,16.13,,,
Innisfail,-17.50,146.00,2002,2002,5,low,10,mated,10,14,14,14,14,11.000,16,16,13.63,,,
Springbrook,-28.23,153.27,2002,2002,1,high,1031,non-mated,20,13,11.00,17.00,18,11.00,14,20,15.50,,,
