Population,Latitude,Longitude,Year_start,Year_end,Altitude_class,Altitude,Mean_development_time_males,Number_of_males,Mean_development_time_females,Number_of_females,Total_number_both_sexes,Mean_development_time_both_sexes,Proportion_female,,,
Malanda,-17.32,145.52,2002,2002,high,800,15.250,4,15.000,4,9,13.444,0.500,,,
Malanda,-17.32,145.52,2002,2002,high,800,15.667,3,15.500,6,9,15.556,0.667,,,
Malanda,-17.32,145.52,2002,2002,high,800,15.000,4,15.000,4,8,15.000,0.500,,,
Malanda,-17.32,145.52,2002,2002,high,800,15.500,4,14.667,3,7,15.143,0.429,,,
Malanda,-17.32,145.52,2002,2002,high,800,15.600,5,15.000,4,9,15.333,0.444,,,
Malanda,-17.32,145.52,2002,2002,high,800,15.500,4,15.000,6,10,15.200,0.600,,,
Malanda,-17.32,145.52,2002,2002,high,800,15.833,6,14.667,3,9,15.444,0.333,,,
Malanda,-17.32,145.52,2002,2002,high,800,15.500,2,15.000,5,7,15.143,0.714,,,
Malanda,-17.32,145.52,2002,2002,high,800,15.800,5,15.200,5,10,15.500,0.500,,,
Malanda,-17.32,145.52,2002,2002,high,800,15.333,3,15.000,6,9,15.111,0.667,,,
Innisfail,-17.5,146.00,2002,2002,low,10,16.000,5,15.400,5,10,15.700,0.500,,,
Innisfail,-17.5,146.00,2002,2002,low,10,15.833,6,15.000,2,8,15.625,0.250,,,
Innisfail,-17.5,146.00,2002,2002,low,10,16.000,5,15.000,3,8,15.625,0.375,,,
Innisfail,-17.5,146.00,2002,2002,low,10,15.500,2,15.200,5,7,15.286,0.714,,,
Innisfail,-17.5,146.00,2002,2002,low,10,16.000,7,15.000,3,10,15.700,0.300,,,
Innisfail,-17.5,146.00,2002,2002,low,10,16.000,2,15.000,5,7,15.286,0.714,,,
Innisfail,-17.5,146.00,2002,2002,low,10,15.500,2,15.000,5,7,15.143,0.714,,,
Innisfail,-17.5,146.00,2002,2002,low,10,16.286,7,,0,7,16.286,0.000,,,
Innisfail,-17.5,146.00,2002,2002,low,10,16.000,1,15.333,3,4,15.500,0.750,,,
Innisfail,-17.5,146.00,2002,2002,low,10,15.333,3,15.400,5,8,15.375,0.625,,,
Springbrook,-28.23,153.27,2002,2002,high,1031,16.000,4,,0,4,16.000,,,,
Springbrook,-28.23,153.27,2002,2002,high,1031,15.333,3,15.000,3,6,15.167,0.500,,,
Springbrook,-28.23,153.27,2002,2002,high,1031,,0,15.000,3,3,15.000,1.000,,,
Springbrook,-28.23,153.27,2002,2002,high,1031,15.000,3,15.333,3,6,15.167,0.500,,,
Springbrook,-28.23,153.27,2002,2002,high,1031,15.750,4,15.000,3,7,15.429,0.429,,,
Springbrook,-28.23,153.27,2002,2002,high,1031,16.000,3,15.600,5,8,15.750,0.625,,,
Springbrook,-28.23,153.27,2002,2002,high,1031,15.500,2,15.000,5,7,15.143,0.714,,,
Springbrook,-28.23,153.27,2002,2002,high,1031,16.000,2,16.333,3,5,16.200,0.600,,,
Springbrook,-28.23,153.27,2002,2002,high,1031,16.200,5,16.500,4,9,16.333,0.444,,,
Springbrook,-28.23,153.27,2002,2002,high,1031,16.000,2,16.000,2,4,16.000,0.500,,,
Kingscliff,-28.28,153.12,2002,2002,low,10,16.167,6,15.500,2,8,16.000,0.250,,,
Kingscliff,-28.28,153.12,2002,2002,low,10,15.500,4,15.000,3,7,15.286,0.429,,,
Kingscliff,-28.28,153.12,2002,2002,low,10,16.000,1,15.000,3,4,15.250,0.750,,,
Kingscliff,-28.28,153.12,2002,2002,low,10,16.000,2,15.200,5,7,15.429,0.714,,,
Kingscliff,-28.28,153.12,2002,2002,low,10,16.167,6,16.000,1,7,16.143,0.143,,,
Kingscliff,-28.28,153.12,2002,2002,low,10,15.667,3,17.000,4,7,16.429,0.571,,,
Kingscliff,-28.28,153.12,2002,2002,low,10,16.250,4,15.500,4,8,15.875,0.500,,,
Kingscliff,-28.28,153.12,2002,2002,low,10,16.200,5,15.000,1,6,16.000,0.167,,,
Kingscliff,-28.28,153.12,2002,2002,low,10,16.714,7,16.500,2,9,16.667,0.222,,,
Kingscliff,-28.28,153.12,2002,2002,low,10,16.400,5,15.750,4,9,16.111,0.444,,,
Coffs_Harbour,-30.37,153.10,2002,2002,low,14,15.667,3,14.667,3,6,15.167,0.500,,,
Coffs_Harbour,-30.37,153.10,2002,2002,low,14,15.667,3,16.000,3,6,15.833,0.500,,,
Coffs_Harbour,-30.37,153.10,2002,2002,low,14,16.500,2,15.714,7,9,15.889,0.778,,,
Coffs_Harbour,-30.37,153.10,2002,2002,low,14,15.667,3,14.500,4,7,15.000,0.571,,,
Coffs_Harbour,-30.37,153.10,2002,2002,low,14,15.500,2,15.200,5,7,15.286,0.714,,,
Coffs_Harbour,-30.37,153.10,2002,2002,low,14,16.000,1,,0,1,16.000,,,,
Coffs_Harbour,-30.37,153.10,2002,2002,low,14,15.667,3,15.500,2,5,15.600,0.400,,,
Coffs_Harbour,-30.37,153.10,2002,2002,low,14,16.250,4,15.500,4,8,15.875,0.500,,,
Coffs_Harbour,-30.37,153.10,2002,2002,low,14,15.500,4,15.000,2,6,15.333,0.333,,,
Coffs_Harbour,-30.37,153.10,2002,2002,low,14,15.667,3,15.000,3,6,15.333,0.500,,,
Armidale,-30.52,151.68,2002,2002,high,1296,16.000,4,15.667,3,7,15.857,0.429,,,
Armidale,-30.52,151.68,2002,2002,high,1296,16.000,3,15.400,5,8,15.625,0.625,,,
Armidale,-30.52,151.68,2002,2002,high,1296,16.200,5,15.000,3,8,15.750,0.375,,,
Armidale,-30.52,151.68,2002,2002,high,1296,15.500,2,15.250,4,6,15.333,0.667,,,
Armidale,-30.52,151.68,2002,2002,high,1296,15.800,5,15.200,5,10,15.500,0.500,,,
Armidale,-30.52,151.68,2002,2002,high,1296,16.000,4,15.667,3,7,15.857,0.429,,,
Armidale,-30.52,151.68,2002,2002,high,1296,16.000,2,15.750,4,6,15.833,0.667,,,
Armidale,-30.52,151.68,2002,2002,high,1296,16.000,2,15.500,4,6,15.667,0.667,,,
Armidale,-30.52,151.68,2002,2002,high,1296,16.000,3,15.000,5,8,15.375,0.625,,,
Armidale,-30.52,151.68,2002,2002,high,1296,16.333,3,15.750,4,7,16.000,0.571,,,
Blackheath,-33.63,150.28,2002,2002,high,1046,15.200,5,14.750,4,9,15.000,0.444,,,
Blackheath,-33.63,150.28,2002,2002,high,1046,15.500,8,15.333,3,11,15.455,0.273,,,
Blackheath,-33.63,150.28,2002,2002,high,1046,16.000,4,15.000,5,9,15.444,0.556,,,
Blackheath,-33.63,150.28,2002,2002,high,1046,15.429,7,14.333,3,10,15.100,0.300,,,
Blackheath,-33.63,150.28,2002,2002,high,1046,15.429,7,14.800,5,12,15.167,0.417,,,
Blackheath,-33.63,150.28,2002,2002,high,1046,15.000,4,14.714,7,11,14.818,0.636,,,
Blackheath,-33.63,150.28,2002,2002,high,1046,15.400,5,15.000,3,8,15.250,0.375,,,
Blackheath,-33.63,150.28,2002,2002,high,1046,15.500,2,15.000,5,7,15.143,0.714,,,
Blackheath,-33.63,150.28,2002,2002,high,1046,15.444,9,15.000,5,14,15.286,0.357,,,
Blackheath,-33.63,150.28,2002,2002,high,1046,15.500,4,14.750,4,8,15.125,0.500,,,
Wollongong,-34.42,150.90,2002,2002,low,10,15.600,5,14.667,3,8,15.250,0.375,,,
Wollongong,-34.42,150.90,2002,2002,low,10,15.667,3,15.667,3,6,15.667,0.500,,,
Wollongong,-34.42,150.90,2002,2002,low,10,15.333,3,14.800,5,8,15.000,0.625,,,
Wollongong,-34.42,150.90,2002,2002,low,10,16.000,2,14.600,5,7,15.000,0.714,,,
Wollongong,-34.42,150.90,2002,2002,low,10,15.500,2,14.750,4,6,15.000,0.667,,,
Wollongong,-34.42,150.90,2002,2002,low,10,16.000,3,15.667,3,6,15.833,0.500,,,
Wollongong,-34.42,150.90,2002,2002,low,10,15.571,7,15.000,3,10,15.400,0.300,,,
Wollongong,-34.42,150.90,2002,2002,low,10,15.000,3,15.000,6,9,15.000,0.667,,,
Wollongong,-34.42,150.90,2002,2002,low,10,15.667,3,15.250,4,7,15.429,0.571,,,
Wollongong,-34.42,150.90,2002,2002,low,10,15.000,3,15.000,4,7,15.000,0.571,,,
Adaminaby,-35.98,148.77,2002,2002,high,1025,14.600,5,15.667,3,8,15.000,0.375,,,
Adaminaby,-35.98,148.77,2002,2002,high,1025,15.600,5,14.250,4,9,15.000,0.444,,,
Adaminaby,-35.98,148.77,2002,2002,high,1025,15.200,5,15.167,6,11,15.182,0.545,,,
Adaminaby,-35.98,148.77,2002,2002,high,1025,15.667,3,14.200,5,8,14.750,0.625,,,
Adaminaby,-35.98,148.77,2002,2002,high,1025,16.000,1,14.143,7,8,14.375,0.875,,,
Adaminaby,-35.98,148.77,2002,2002,high,1025,16.000,3,14.500,6,9,15.000,0.667,,,
Adaminaby,-35.98,148.77,2002,2002,high,1025,15.000,3,14.333,6,9,14.556,0.667,,,
Adaminaby,-35.98,148.77,2002,2002,high,1025,14.750,4,14.200,5,9,14.444,0.556,,,
