Population,Latitude,Longitude,Year_start,Year_end,Altitude_class,Altitude,Replicate,sex,Wing_area,,,,,,,,,,,
Malanda,-17.31,145.52,2002,2002,high,800,1,female,2.36,,,,,,,,,,,
Malanda,-17.31,145.52,2002,2002,high,800,2,female,2.05,,,,,,,,,,,
Malanda,-17.31,145.52,2002,2002,high,800,3,female,2.28,,,,,,,,,,,
Malanda,-17.31,145.52,2002,2002,high,800,4,female,2.27,,,,,,,,,,,
Malanda,-17.31,145.52,2002,2002,high,800,5,female,2.30,,,,,,,,,,,
Malanda,-17.31,145.52,2002,2002,high,800,6,female,2.38,,,,,,,,,,,
Malanda,-17.31,145.52,2002,2002,high,800,7,female,2.30,,,,,,,,,,,
Malanda,-17.31,145.52,2002,2002,high,800,8,female,2.27,,,,,,,,,,,
Malanda,-17.31,145.52,2002,2002,high,800,9,female,2.34,,,,,,,,,,,
Malanda,-17.31,145.52,2002,2002,high,800,10,female,2.35,,,,,,,,,,,
Malanda,-17.31,145.52,2002,2002,high,800,1,male,2.01,,,,,,,,,,,
Malanda,-17.31,145.52,2002,2002,high,800,2,male,2.07,,,,,,,,,,,
Malanda,-17.31,145.52,2002,2002,high,800,3,male,2.04,,,,,,,,,,,
Malanda,-17.31,145.52,2002,2002,high,800,4,male,2.00,,,,,,,,,,,
Malanda,-17.31,145.52,2002,2002,high,800,5,male,2.03,,,,,,,,,,,
Malanda,-17.31,145.52,2002,2002,high,800,6,male,2.04,,,,,,,,,,,
Malanda,-17.31,145.52,2002,2002,high,800,7,male,2.08,,,,,,,,,,,
Malanda,-17.31,145.52,2002,2002,high,800,8,male,2.06,,,,,,,,,,,
Malanda,-17.31,145.52,2002,2002,high,800,9,male,2.08,,,,,,,,,,,
Malanda,-17.31,145.52,2002,2002,high,800,10,male,2.08,,,,,,,,,,,
Innisfail,-17.50,146.00,2002,2002,low,10,1,female,2.28,,,,,,,,,,,
Innisfail,-17.50,146.00,2002,2002,low,10,2,female,1.98,,,,,,,,,,,
Innisfail,-17.50,146.00,2002,2002,low,10,3,female,2.38,,,,,,,,,,,
Innisfail,-17.50,146.00,2002,2002,low,10,4,female,2.26,,,,,,,,,,,
Innisfail,-17.50,146.00,2002,2002,low,10,5,female,2.28,,,,,,,,,,,
Innisfail,-17.50,146.00,2002,2002,low,10,6,female,2.41,,,,,,,,,,,
Innisfail,-17.50,146.00,2002,2002,low,10,7,female,2.30,,,,,,,,,,,
Innisfail,-17.50,146.00,2002,2002,low,10,8,female,2.30,,,,,,,,,,,
Innisfail,-17.50,146.00,2002,2002,low,10,9,female,2.38,,,,,,,,,,,
Innisfail,-17.50,146.00,2002,2002,low,10,10,female,2.30,,,,,,,,,,,
