Population,Latitude,Longitude,Year_start,Year_end,Altitude_class,Altitude,Replicate,Viable_number_eggs,Total_number_eggs,,,,,
Malanda,-17.32,145.52,2002,2002,high,800,1,9,10,,,,,
Malanda,-17.32,145.52,2002,2002,high,800,2,9,10,,,,,
Malanda,-17.32,145.52,2002,2002,high,800,3,8,10,,,,,
Malanda,-17.32,145.52,2002,2002,high,800,4,7,10,,,,,
Malanda,-17.32,145.52,2002,2002,high,800,5,9,10,,,,,
Malanda,-17.32,145.52,2002,2002,high,800,6,10,10,,,,,
Malanda,-17.32,145.52,2002,2002,high,800,7,9,10,,,,,
Malanda,-17.32,145.52,2002,2002,high,800,8,7,10,,,,,
Malanda,-17.32,145.52,2002,2002,high,800,9,10,10,,,,,
Malanda,-17.32,145.52,2002,2002,high,800,10,9,10,,,,,
Innisfail,-17.5,146.00,2002,2002,low,10,1,10,10,,,,,
Innisfail,-17.5,146.00,2002,2002,low,10,2,8,10,,,,,
Innisfail,-17.5,146.00,2002,2002,low,10,3,8,10,,,,,
Innisfail,-17.5,146.00,2002,2002,low,10,4,7,10,,,,,
Innisfail,-17.5,146.00,2002,2002,low,10,5,10,10,,,,,
Innisfail,-17.5,146.00,2002,2002,low,10,6,7,10,,,,,
Innisfail,-17.5,146.00,2002,2002,low,10,7,7,10,,,,,
Innisfail,-17.5,146.00,2002,2002,low,10,8,7,10,,,,,
Innisfail,-17.5,146.00,2002,2002,low,10,9,4,10,,,,,
Innisfail,-17.5,146.00,2002,2002,low,10,10,8,10,,,,,
Springbrook,-28.23,153.27,2002,2002,high,1031,1,4,10,,,,,
Springbrook,-28.23,153.27,2002,2002,high,1031,2,6,10,,,,,
Springbrook,-28.23,153.27,2002,2002,high,1031,3,3,10,,,,,
Springbrook,-28.23,153.27,2002,2002,high,1031,4,6,10,,,,,
Springbrook,-28.23,153.27,2002,2002,high,1031,5,7,10,,,,,
Springbrook,-28.23,153.27,2002,2002,high,1031,6,8,10,,,,,
Springbrook,-28.23,153.27,2002,2002,high,1031,7,7,10,,,,,
Springbrook,-28.23,153.27,2002,2002,high,1031,8,5,10,,,,,
Springbrook,-28.23,153.27,2002,2002,high,1031,9,9,10,,,,,
Springbrook,-28.23,153.27,2002,2002,high,1031,10,4,10,,,,,
Kingscliff,-28.28,153.12,2002,2002,low,10,1,8,10,,,,,
Kingscliff,-28.28,153.12,2002,2002,low,10,2,7,10,,,,,
Kingscliff,-28.28,153.12,2002,2002,low,10,3,4,10,,,,,
Kingscliff,-28.28,153.12,2002,2002,low,10,4,7,10,,,,,
Kingscliff,-28.28,153.12,2002,2002,low,10,5,7,10,,,,,
Kingscliff,-28.28,153.12,2002,2002,low,10,6,7,10,,,,,
Kingscliff,-28.28,153.12,2002,2002,low,10,7,8,10,,,,,
Kingscliff,-28.28,153.12,2002,2002,low,10,8,6,10,,,,,
Kingscliff,-28.28,153.12,2002,2002,low,10,9,9,10,,,,,
Kingscliff,-28.28,153.12,2002,2002,low,10,10,9,10,,,,,
Coffs_Harbour,-30.37,153.10,2002,2002,low,14,1,6,10,,,,,
Coffs_Harbour,-30.37,153.10,2002,2002,low,14,2,6,10,,,,,
Coffs_Harbour,-30.37,153.10,2002,2002,low,14,3,9,10,,,,,
Coffs_Harbour,-30.37,153.10,2002,2002,low,14,4,7,10,,,,,
Coffs_Harbour,-30.37,153.10,2002,2002,low,14,5,7,10,,,,,
Coffs_Harbour,-30.37,153.10,2002,2002,low,14,6,1,10,,,,,
Coffs_Harbour,-30.37,153.10,2002,2002,low,14,7,5,10,,,,,
Coffs_Harbour,-30.37,153.10,2002,2002,low,14,8,8,10,,,,,
Coffs_Harbour,-30.37,153.10,2002,2002,low,14,9,6,10,,,,,
Coffs_Harbour,-30.37,153.10,2002,2002,low,14,10,6,10,,,,,
Armidale,-30.52,151.68,2002,2002,high,1296,1,7,10,,,,,
Armidale,-30.52,151.68,2002,2002,high,1296,2,8,10,,,,,
Armidale,-30.52,151.68,2002,2002,high,1296,3,8,10,,,,,
Armidale,-30.52,151.68,2002,2002,high,1296,4,6,10,,,,,
Armidale,-30.52,151.68,2002,2002,high,1296,5,10,10,,,,,
Armidale,-30.52,151.68,2002,2002,high,1296,6,7,10,,,,,
Armidale,-30.52,151.68,2002,2002,high,1296,7,6,10,,,,,
Armidale,-30.52,151.68,2002,2002,high,1296,8,6,10,,,,,
Armidale,-30.52,151.68,2002,2002,high,1296,9,8,10,,,,,
Armidale,-30.52,151.68,2002,2002,high,1296,10,7,10,,,,,
Blackheath,-33.63,150.28,2002,2002,high,1046,1,9,10,,,,,
Blackheath,-33.63,150.28,2002,2002,high,1046,2,10,10,,,,,
Blackheath,-33.63,150.28,2002,2002,high,1046,3,9,10,,,,,
Blackheath,-33.63,150.28,2002,2002,high,1046,4,10,10,,,,,
Blackheath,-33.63,150.28,2002,2002,high,1046,5,10,10,,,,,
Blackheath,-33.63,150.28,2002,2002,high,1046,6,10,10,,,,,
Blackheath,-33.63,150.28,2002,2002,high,1046,7,8,10,,,,,
Blackheath,-33.63,150.28,2002,2002,high,1046,8,7,10,,,,,
Blackheath,-33.63,150.28,2002,2002,high,1046,9,10,10,,,,,
