Population,Latitude,Longitude,Altitude_class,Altitude,Year_start,Year_end,Hsp70_56H8/56H8,Hsp70_56H8/122,Hsp70_122/122,Hsp70_Other,N,Frequency_hsp70_56H8,Frequency_hsp70_122,Frequency_hsp70_Other,,,,,,,,,,,,,,,,,
Malanda,-17.31,145.52,high,800,2002,2002,33,4,7,0,88,0.795,0.205,0.000,,,,,,,,,,,,,,,,,
Innisfail,-17.50,146.00,low,10,2002,2002,30,10,6,2,96,0.729,0.229,0.042,,,,,,,,,,,,,,,,,
Springbrook,-28.23,153.27,high,1031,2002,2002,19,8,2,1,60,0.767,0.200,0.033,,,,,,,,,,,,,,,,,
Kingscliff,-28.28,153.12,low,10,2002,2002,30,4,2,0,72,0.889,0.111,0.000,,,,,,,,,,,,,,,,,
Coffs_Harbour,-30.37,153.10,low,14,2002,2002,27,6,9,0,84,0.714,0.286,0.000,,,,,,,,,,,,,,,,,
Armidale,-30.52,151.68,high,1296,2002,2002,32,6,5,1,88,0.795,0.182,0.023,,,,,,,,,,,,,,,,,
Blackheath,-33.63,150.28,high,1046,2002,2002,38,4,1,1,88,0.909,0.068,0.023,,,,,,,,,,,,,,,,,
Wollongong,-34.42,150.90,low,10,2002,2002,38,6,2,0,92,0.891,0.109,0.000,,,,,,,,,,,,,,,,,
Adaminaby,-35.98,148.77,high,1025,2002,2002,24,7,7,8,92,0.598,0.228,0.174,,,,,,,,,,,,,,,,,
Bega,-36.68,149.83,low,60,2002,2002,16,1,4,4,50,0.660,0.180,0.160,,,,,,,,,,,,,,,,,
