Population,Latitude,Longitude,Altitude_class,Altitude,Year_start,Year_end,DMTRXIII_15,DMTRXIII_16,DMTRXIII_MCA,DMTRXIII_18,DMTRXIII_19,DMTRXIII_20,DMTRXIII_21,DMTRXIII_22,DMTRXIII_23,DMTRXIII_24,DMTRXIII_25,DMTRXIII_26,DMTRXIII_27,DMTRXIII_28,DMTRXIII_29,DMTRXIII_30,DMTRXIII_31,DMTRXIII_32,DMTRXIII_33,DMTRXIII_34,DMTRXIII_35,DMTRXIII_36,DMTRXIII_37,DMTRXIII_38,DMTRXIII_39,N
Malanda,-17.31,145.52,high,800,2002,2002,0.000,0.000,0.255,0.181,0.106,0.149,0.043,0.011,0.000,0.000,0.000,0.011,0.000,0.000,0.000,0.011,0.032,0.032,0.106,0.043,0.021,0.000,0.000,0.000,0.000,94
Innisfail,-17.50,146.00,low,10,2002,2002,0.000,0.000,0.216,0.209,0.108,0.169,0.027,0.014,0.000,0.007,0.007,0.007,0.041,0.027,0.014,0.007,0.020,0.034,0.068,0.014,0.007,0.000,0.000,0.000,0.007,148
Springbrook,-28.23,153.27,high,1031,2002,2002,0.000,0.000,0.206,0.088,0.206,0.059,0.029,0.000,0.000,0.000,0.000,0.000,0.029,0.029,0.029,0.000,0.000,0.088,0.088,0.118,0.029,0.000,0.000,0.000,0.000,34
Kingscliff,-28.28,153.12,low,10,2002,2002,0.000,0.000,0.286,0.092,0.092,0.061,0.020,0.000,0.000,0.000,0.000,0.000,0.010,0.071,0.041,0.020,0.000,0.061,0.214,0.031,0.000,0.000,0.000,0.000,0.000,98
Coffs_Harbour,-30.37,153.10,low,14,2002,2002,0.000,0.042,0.236,0.153,0.069,0.028,0.042,0.000,0.000,0.000,0.000,0.028,0.028,0.097,0.014,0.014,0.000,0.069,0.125,0.056,0.000,0.000,0.000,0.000,0.000,72
Armidale,-30.52,151.68,high,1296,2002,2002,0.000,0.000,0.123,0.054,0.231,0.092,0.038,0.008,0.031,0.000,0.023,0.000,0.046,0.031,0.031,0.023,0.008,0.015,0.131,0.092,0.015,0.000,0.008,0.000,0.000,130
Blackheath,-33.63,150.28,high,1046,2002,2002,0.000,0.000,0.106,0.234,0.128,0.096,0.032,0.021,0.011,0.021,0.021,0.000,0.011,0.000,0.053,0.032,0.032,0.043,0.074,0.085,0.000,0.000,0.000,0.000,0.000,94
Wollongong,-34.42,150.90,low,10,2002,2002,0.000,0.000,0.034,0.136,0.034,0.273,0.125,0.034,0.000,0.011,0.045,0.091,0.011,0.023,0.023,0.000,0.000,0.000,0.102,0.057,0.000,0.000,0.000,0.000,0.000,88
Adaminaby,-35.98,148.77,high,1025,2002,2002,0.000,0.037,0.049,0.134,0.037,0.061,0.085,0.061,0.049,0.061,0.012,0.012,0.000,0.061,0.073,0.049,0.061,0.073,0.037,0.000,0.037,0.012,0.000,0.000,0.000,82
Bega,-36.68,149.83,low,60,2002,2002,0.000,0.000,0.086,0.138,0.069,0.017,0.121,0.052,0.052,0.069,0.069,0.000,0.121,0.034,0.069,0.017,0.000,0.034,0.034,0.000,0.000,0.017,0.000,0.000,0.000,58
