Population,Latitude,Longitude,Year_start,Year_end,Sex,Mean_development_time,SE_development_time,,,,
Mossman,-16.47,145.37,2002,2002,male,423.06,0.93,,,,
Lake_Placid,-16.87,145.67,2002,2002,male,437.17,2.60,,,,
Davies_Creek,-17.03,145.59,2002,2002,male,431.62,2.81,,,,
Lake_Barrine,-17.23,145.63,2002,2002,male,430.89,2.79,,,,
Kirrama,-18.18,145.62,2002,2002,male,431.02,3.67,,,,
Paluma,-19.00,146.20,2002,2002,male,438.29,4.75,,,,
Prosepine,-20.40,148.55,2002,2002,male,437.33,4.84,,,,
Finch_Hatton,-21.07,148.63,2002,2002,male,429.13,3.13,,,,
Eungella,-21.17,148.86,2002,2002,male,428.75,4.40,,,,
Sarina,-21.38,149.28,2002,2002,male,446.08,3.83,,,,
Yeppoon,-22.82,150.66,2002,2002,male,437.06,2.09,,,,
Mossman,-16.47,145.37,2002,2002,female,411.59,2.41,,,,
Lake_Placid,-16.87,145.67,2002,2002,female,421.85,2.34,,,,
Davies_Creek,-17.03,145.59,2002,2002,female,414.16,3.17,,,,
Lake_Barrine,-17.23,145.63,2002,2002,female,417.81,1.73,,,,
Kirrama,-18.18,145.62,2002,2002,female,416.79,3.15,,,,
Paluma,-19.00,146.20,2002,2002,female,416.70,3.51,,,,
Prosepine,-20.40,148.55,2002,2002,female,429.99,3.11,,,,
Finch_Hatton,-21.07,148.63,2002,2002,female,413.02,3.18,,,,
Eungella,-21.17,148.86,2002,2002,female,417.49,3.45,,,,
Sarina,-21.38,149.28,2002,2002,female,431.68,1.96,,,,
Yeppoon,-22.82,150.66,2002,2002,female,426.13,4.21,,,,
