Population,Latitude,Longitude,Year_start,Year_end,237__All_data,246_All_data,237_Inverted,246_Inverted,237_Standard,246_Standard,,,
Cooktown,-15.47,145.26,2005,2005,0.500,0.000,0.500,0.000,0.000,0.000,,,
Cape_Tribulation,-16.02,145.47,2005,2005,0.409,0.000,0.464,0.000,0.000,0.000,,,
Innisfail,-17.52,145.90,2005,2005,0.500,0.115,0.556,0.056,0.000,0.000,,,
Cardwell,-18.25,146.02,2005,2005,0.571,0.143,0.375,0.125,0.188,0.063,,,
Mackay,-21.13,149.02,2005,2005,0.300,0.100,0.429,0.000,0.071,0.000,,,
Gladstone,-23.83,151.26,2005,2005,0.583,0.056,0.400,0.100,0.200,0.000,,,
Maryborough,-25.53,152.68,2005,2005,0.500,0.325,0.273,0.273,0.227,0.136,,,
Brisbane,-27.47,153.0,2005,2005,0.310,0.167,0.192,0.077,0.115,0.000,,,
Kingscliff,-28.25,153.58,2005,2005,0.214,0.357,0.214,0.214,0.000,0.143,,,
Coffs_Harbour,-30.30,153.12,2005,2005,0.375,0.313,0.192,0.231,0.154,0.077,,,
Port_Maquarie,-31.42,152.87,2005,2005,0.344,0.250,0.400,0.100,0.000,0.150,,,
Sydney,-33.87,151.08,2005,2005,0.227,0.545,0.125,0.250,0.063,0.313,,,
Nowra,-34.87,150.60,2005,2005,0.143,0.476,0.077,0.231,0.077,0.269,,,
Bega,-36.67,149.83,2005,2005,0.152,0.630,0.033,0.167,0.133,0.467,,,
Dromana,-38.33,144.97,2005,2005,0.042,0.708,0.000,0.050,0.050,0.700,,,
Spreyton,-41.22,147.32,2005,2005,0.068,0.636,0.036,0.071,0.000,0.643,,,
Sorell,-42.78,147.58,2005,2005,0.028,0.583,0.000,0.000,0.036,0.536,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
