Population,Latitude,Longitude,Year_start,Year_end,234,235,236,237,238,239,240,241,245,246,247,248,249,250,Total
Cooktown,-15.47,145.26,2005,2005,0,0,0,8,2,0,0,1,0,0,4,0,1,0,16
Cape_Tribulation,-16.02,145.47,2005,2005,0,0,0,18,7,0,0,2,0,0,10,4,3,0,44
Innisfail,-17.52,145.90,2005,2005,0,0,0,13,2,0,0,2,0,3,3,3,0,0,26
Cardwell,-18.25,146.02,2005,2005,0,0,3,16,0,0,1,0,0,4,3,1,0,0,28
Mackay,-21.13,149.02,2005,2005,0,0,2,9,2,0,1,1,7,3,4,1,0,0,30
Gladstone,-23.83,151.26,2005,2005,0,0,0,21,1,0,0,0,0,2,7,1,4,0,36
Maryborough,-25.53,152.68,2005,2005,0,1,1,20,0,0,2,0,0,13,1,1,1,0,40
Brisbane,-27.47,153.0,2005,2005,0,0,0,13,5,0,0,1,3,7,10,2,1,0,42
Kingscliff,-28.25,153.58,2005,2005,0,0,0,3,5,0,0,0,0,5,0,0,0,1,14
Coffs_Harbour,-30.30,153.12,2005,2005,0,0,0,12,9,0,0,0,0,10,0,0,0,1,32
Port_Maquarie,-31.42,152.87,2005,2005,0,0,0,11,8,0,4,0,0,8,0,0,0,1,32
Sydney,-33.87,151.08,2005,2005,0,0,0,5,4,0,1,0,0,12,0,0,0,0,22
Nowra,-34.87,150.60,2005,2005,0,0,0,6,1,0,15,0,0,20,0,0,0,0,42
Bega,-36.67,149.83,2005,2005,1,0,1,7,4,0,3,0,0,29,0,1,0,0,46
Dromana,-38.33,144.97,2005,2005,0,0,0,1,1,0,5,0,0,17,0,0,0,0,24
Spreyton,-41.22,147.32,2005,2005,0,0,0,3,0,1,12,0,0,28,0,0,0,0,44
Sorell,-42.78,147.58,2005,2005,0,0,0,1,0,0,11,0,0,21,0,0,2,1,36
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
