Population,Latitude,Longitude,Year_start,Year_end,Block,Line,Replicate,Sex,Cold_recovery_time
Maryborough,-25.545,152.69,2004,2004,1,1,1,female,34.833
Maryborough,-25.545,152.69,2004,2004,1,1,2,female,87.533
Maryborough,-25.545,152.69,2004,2004,1,2,1,female,69.000
Maryborough,-25.545,152.69,2004,2004,1,2,2,female,95.917
Maryborough,-25.545,152.69,2004,2004,1,3,3,female,64.233
Maryborough,-25.545,152.69,2004,2004,1,3,2,female,98.383
Maryborough,-25.545,152.69,2004,2004,1,5,3,female,77.133
Maryborough,-25.545,152.69,2004,2004,1,6,2,female,36.833
Maryborough,-25.545,152.69,2004,2004,1,6,1,female,58.067
Maryborough,-25.545,152.69,2004,2004,1,7,3,female,67.633
Maryborough,-25.545,152.69,2004,2004,1,7,2,female,78.383
Maryborough,-25.545,152.69,2004,2004,1,9,1,female,45.233
Maryborough,-25.545,152.69,2004,2004,1,9,1,female,57.633
Maryborough,-25.545,152.69,2004,2004,1,10,2,female,12.233
Maryborough,-25.545,152.69,2004,2004,1,10,3,female,72.150
Maryborough,-25.545,152.69,2004,2004,1,11,2,female,69.000
Maryborough,-25.545,152.69,2004,2004,1,11,3,female,75.317
Maryborough,-25.545,152.69,2004,2004,1,12,1,female,78.300
Maryborough,-25.545,152.69,2004,2004,1,12,3,female,86.000
Maryborough,-25.545,152.69,2004,2004,1,14,1,female,25.633
Maryborough,-25.545,152.69,2004,2004,1,14,2,female,25.633
Maryborough,-25.545,152.69,2004,2004,1,16,2,female,17.633
Maryborough,-25.545,152.69,2004,2004,1,16,3,female,65.633
Maryborough,-25.545,152.69,2004,2004,1,17,2,female,72.183
Maryborough,-25.545,152.69,2004,2004,1,17,1,female,74.500
Maryborough,-25.545,152.69,2004,2004,1,19,2,female,23.217
Maryborough,-25.545,152.69,2004,2004,1,19,3,female,88.667
Maryborough,-25.545,152.69,2004,2004,1,20,3,female,48.417
Maryborough,-25.545,152.69,2004,2004,1,20,2,female,60.567
Maryborough,-25.545,152.69,2004,2004,1,22,3,female,31.900
Maryborough,-25.545,152.69,2004,2004,1,22,1,female,36.533
Maryborough,-25.545,152.69,2004,2004,1,23,2,female,73.567
Maryborough,-25.545,152.69,2004,2004,1,23,1,female,76.767
Maryborough,-25.545,152.69,2004,2004,1,26,2,female,56.183
Maryborough,-25.545,152.69,2004,2004,1,26,1,female,64.983
Maryborough,-25.545,152.69,2004,2004,1,27,2,female,64.417
Maryborough,-25.545,152.69,2004,2004,1,27,1,female,135.700
Maryborough,-25.545,152.69,2004,2004,1,28,1,female,65.900
Maryborough,-25.545,152.69,2004,2004,1,28,2,female,72.517
