Population,Latitude,Longitude,Year_start,Year_end,Block,Line,Replicate,Sex,Desiccation_resistance
Maryborough,-25.55,152.69,2004,2004,1,1,1,female,9
Maryborough,-25.55,152.69,2004,2004,1,2,1,female,9
Maryborough,-25.55,152.69,2004,2004,1,3,1,female,14
Maryborough,-25.55,152.69,2004,2004,1,3,2,female,10
Maryborough,-25.55,152.69,2004,2004,1,4,1,female,11
Maryborough,-25.55,152.69,2004,2004,1,4,1,female,13
Maryborough,-25.55,152.69,2004,2004,1,5,1,female,8
Maryborough,-25.55,152.69,2004,2004,1,5,2,female,6
Maryborough,-25.55,152.69,2004,2004,1,7,1,female,17
Maryborough,-25.55,152.69,2004,2004,1,9,1,female,15
Maryborough,-25.55,152.69,2004,2004,1,10,1,female,7
Maryborough,-25.55,152.69,2004,2004,1,11,1,female,11
Maryborough,-25.55,152.69,2004,2004,1,11,2,female,6
Maryborough,-25.55,152.69,2004,2004,1,12,1,female,8
Maryborough,-25.55,152.69,2004,2004,1,12,1,female,9
Maryborough,-25.55,152.69,2004,2004,1,13,1,female,15
Maryborough,-25.55,152.69,2004,2004,1,13,2,female,12
Maryborough,-25.55,152.69,2004,2004,1,14,1,female,11
Maryborough,-25.55,152.69,2004,2004,1,16,1,female,10
Maryborough,-25.55,152.69,2004,2004,1,16,1,female,10
Maryborough,-25.55,152.69,2004,2004,1,17,1,female,11
Maryborough,-25.55,152.69,2004,2004,1,18,1,female,12
Maryborough,-25.55,152.69,2004,2004,1,18,2,female,10
Maryborough,-25.55,152.69,2004,2004,1,20,1,female,15
Maryborough,-25.55,152.69,2004,2004,1,21,1,female,13
Maryborough,-25.55,152.69,2004,2004,1,22,1,female,12
Maryborough,-25.55,152.69,2004,2004,1,22,2,female,15
Maryborough,-25.55,152.69,2004,2004,1,23,1,female,11
Maryborough,-25.55,152.69,2004,2004,1,24,1,female,10
Maryborough,-25.55,152.69,2004,2004,1,25,1,female,8
Maryborough,-25.55,152.69,2004,2004,1,25,1,female,16
Maryborough,-25.55,152.69,2004,2004,1,25,2,female,11
Maryborough,-25.55,152.69,2004,2004,1,25,2,female,11
Maryborough,-25.55,152.69,2004,2004,1,26,1,female,6
Maryborough,-25.55,152.69,2004,2004,1,26,2,female,14
Maryborough,-25.55,152.69,2004,2004,1,27,1,female,13
Maryborough,-25.55,152.69,2004,2004,1,29,1,female,13
Maryborough,-25.55,152.69,2004,2004,2,1,3,female,9
Maryborough,-25.55,152.69,2004,2004,2,2,1,female,11
Maryborough,-25.55,152.69,2004,2004,2,2,2,female,14
Maryborough,-25.55,152.69,2004,2004,2,3,1,female,11
Maryborough,-25.55,152.69,2004,2004,2,3,3,female,11
Maryborough,-25.55,152.69,2004,2004,2,4,1,female,10
Maryborough,-25.55,152.69,2004,2004,2,4,2,female,9
Maryborough,-25.55,152.69,2004,2004,2,4,2,female,11
Maryborough,-25.55,152.69,2004,2004,2,4,3,female,10
Maryborough,-25.55,152.69,2004,2004,2,6,3,female,9
Maryborough,-25.55,152.69,2004,2004,2,7,2,female,8
Maryborough,-25.55,152.69,2004,2004,2,7,3,female,13
Maryborough,-25.55,152.69,2004,2004,2,9,1,female,13
Maryborough,-25.55,152.69,2004,2004,2,9,2,female,11
Maryborough,-25.55,152.69,2004,2004,2,10,2,female,13
Maryborough,-25.55,152.69,2004,2004,2,10,3,female,11
Maryborough,-25.55,152.69,2004,2004,2,11,3,female,11
Maryborough,-25.55,152.69,2004,2004,2,12,1,female,12
Maryborough,-25.55,152.69,2004,2004,2,12,2,female,10
Maryborough,-25.55,152.69,2004,2004,2,12,3,female,4
Maryborough,-25.55,152.69,2004,2004,2,12,3,female,11
Maryborough,-25.55,152.69,2004,2004,2,13,1,female,11
Maryborough,-25.55,152.69,2004,2004,2,13,2,female,18
Maryborough,-25.55,152.69,2004,2004,2,14,1,female,10
Maryborough,-25.55,152.69,2004,2004,2,14,2,female,9
Maryborough,-25.55,152.69,2004,2004,2,16,1,female,15
Maryborough,-25.55,152.69,2004,2004,2,16,3,female,11
Maryborough,-25.55,152.69,2004,2004,2,17,3,female,8
Maryborough,-25.55,152.69,2004,2004,2,17,3,female,9
