Species,Population,Latitude,Longitude,Year_start,Year_end,Fly_number,Sex,Thorax_length,l2,3p,l3d,lpd,l3,w1,w2,w3,Wing_loading
D._aldrichi,Binjour,-25.52,151.45,1994,1994,0,female,1.004,1.686,0.556,1.454,2.011,2.010,0.896,1.224,1.021,2.001
D._aldrichi,Binjour,-25.52,151.45,1994,1994,1,female,1.028,1.740,0.603,1.463,2.065,2.065,0.923,1.281,1.051,2.009
D._aldrichi,Binjour,-25.52,151.45,1994,1994,2,female,1.095,1.753,0.578,1.481,2.059,2.058,0.926,1.259,1.070,1.880
D._aldrichi,Binjour,-25.52,151.45,1994,1994,3,female,0.933,1.578,0.507,1.380,1.888,1.887,0.820,1.107,0.984,2.023
D._aldrichi,Binjour,-25.52,151.45,1994,1994,4,female,1.093,1.829,0.602,1.540,2.143,2.141,0.986,1.339,1.116,1.959
D._aldrichi,Binjour,-25.52,151.45,1994,1994,5,female,0.973,1.599,0.539,1.347,1.886,1.885,0.872,1.170,1.007,1.937
D._aldrichi,Binjour,-25.52,151.45,1994,1994,6,female,1.041,1.628,0.568,1.407,1.975,1.975,0.928,1.230,1.034,1.897
D._aldrichi,Binjour,-25.52,151.45,1994,1994,7,female,1.039,1.703,0.563,1.466,2.029,2.029,0.891,1.222,1.017,1.952
D._aldrichi,Binjour,-25.52,151.45,1994,1994,8,female,1.077,1.668,0.595,1.402,1.997,1.997,0.885,1.218,0.994,1.854
D._aldrichi,Binjour,-25.52,151.45,1994,1994,9,female,0.933,1.495,0.450,1.359,1.809,1.809,0.833,1.144,0.905,1.938
D._aldrichi,Binjour,-25.52,151.45,1994,1994,10,female,0.999,1.563,0.530,1.376,1.896,1.895,0.872,1.139,1.010,1.897
D._aldrichi,Binjour,-25.52,151.45,1994,1994,11,female,0.926,1.547,0.493,1.353,1.845,1.844,0.810,1.140,0.905,1.992
D._aldrichi,Binjour,-25.52,151.45,1994,1994,12,female,1.009,1.561,0.543,1.320,1.862,1.862,0.839,1.134,0.966,1.845
D._aldrichi,Binjour,-25.52,151.45,1994,1994,13,female,0.884,1.538,0.516,1.314,1.842,1.841,0.796,1.108,0.912,2.084
D._aldrichi,Binjour,-25.52,151.45,1994,1994,14,female,1.027,1.702,0.567,1.459,2.025,2.024,0.889,1.220,1.020,1.971
D._aldrichi,Binjour,-25.52,151.45,1994,1994,15,female,1.054,1.722,0.609,1.423,2.021,2.021,0.940,1.273,1.057,1.918
D._aldrichi,Binjour,-25.52,151.45,1994,1994,16,female,0.981,1.591,0.504,1.402,1.906,1.905,0.863,1.164,0.999,1.941
D._aldrichi,Binjour,-25.52,151.45,1994,1994,17,female,0.916,1.576,0.518,1.376,1.894,1.893,0.825,1.126,0.966,2.065
D._aldrichi,Binjour,-25.52,151.45,1994,1994,18,female,0.988,1.651,0.531,1.433,1.964,1.963,0.900,1.213,1.026,1.988
D._aldrichi,Binjour,-25.52,151.45,1994,1994,19,female,0.960,1.589,0.547,1.361,1.908,1.906,0.843,1.174,0.945,1.986
D._aldrichi,Binjour,-25.52,151.45,1994,1994,20,female,1.035,1.691,0.568,1.443,2.011,2.010,0.882,1.235,0.990,1.942
D._aldrichi,Binjour,-25.52,151.45,1994,1994,21,female,0.946,1.464,0.532,1.271,1.803,1.801,0.804,1.062,0.924,1.904
D._aldrichi,Binjour,-25.52,151.45,1994,1994,22,female,1.143,1.786,0.598,1.528,2.125,2.125,0.976,1.330,1.081,1.860
D._aldrichi,Binjour,-25.52,151.45,1994,1994,23,female,1.050,1.678,0.554,1.445,1.998,1.996,0.890,1.213,1.025,1.900
D._aldrichi,Binjour,-25.52,151.45,1994,1994,24,female,1.087,1.870,0.607,1.563,2.170,2.170,0.925,1.305,1.085,1.997
D._aldrichi,Binjour,-25.52,151.45,1994,1994,25,female,1.109,1.670,0.557,1.507,2.064,2.061,0.919,1.239,1.015,1.859
D._aldrichi,Binjour,-25.52,151.45,1994,1994,26,female,0.970,1.634,0.597,1.302,1.919,1.919,0.815,1.156,0.936,1.979
D._aldrichi,Binjour,-25.52,151.45,1994,1994,27,female,1.105,1.730,0.598,1.517,2.115,2.114,0.952,1.278,1.070,1.913
D._aldrichi,Binjour,-25.52,151.45,1994,1994,28,female,0.803,1.434,0.478,1.287,1.764,1.763,0.777,1.049,0.894,2.194
D._aldrichi,Binjour,-25.52,151.45,1994,1994,29,female,1.011,1.628,0.529,1.410,1.939,1.938,0.874,1.193,0.994,1.917
D._aldrichi,Binjour,-25.52,151.45,1994,1994,30,female,0.970,1.619,0.498,1.383,1.882,1.880,0.837,1.205,0.938,1.937
D._aldrichi,Binjour,-25.52,151.45,1994,1994,31,female,1.119,1.821,0.628,1.543,2.172,2.171,0.967,1.338,1.110,1.939
D._aldrichi,Binjour,-25.52,151.45,1994,1994,32,female,0.719,1.271,0.409,1.163,1.571,1.569,0.712,0.962,0.798,2.181
D._aldrichi,Binjour,-25.52,151.45,1994,1994,33,female,1.046,1.643,0.577,1.457,2.034,2.031,0.952,1.232,1.084,1.943
D._aldrichi,Binjour,-25.52,151.45,1994,1994,34,female,1.043,1.751,0.621,1.439,2.060,2.060,0.894,1.239,1.042,1.975
D._aldrichi,Binjour,-25.52,151.45,1994,1994,35,female,1.067,1.690,0.599,1.453,2.053,2.052,0.896,1.223,1.022,1.922
D._aldrichi,Binjour,-25.52,151.45,1994,1994,36,female,1.014,1.758,0.581,1.454,2.035,2.035,0.942,1.318,1.046,2.007
D._aldrichi,Binjour,-25.52,151.45,1994,1994,37,female,0.822,1.525,0.528,1.284,1.844,1.843,0.755,1.063,0.877,2.243
