Species,Population,Latitude,Longitude,Year_start,Year_end,Fly_number,Sex,Wing_area,Wing_shape,Wing_vein_ratio,Asymmetry_wing_area,Asymmetry_wing_shape,Asymmetry_wing_vein_ratio
D._aldrichi,Binjour,-25.52,151.45,1994,1994,0,female,0.900,2.244,2.618,0.023,0.033,0.162
D._aldrichi,Binjour,-25.52,151.45,1994,1994,1,female,0.953,2.237,2.428,0.016,0.030,0.092
D._aldrichi,Binjour,-25.52,151.45,1994,1994,2,female,0.952,2.224,2.563,0.042,0.080,0.060
D._aldrichi,Binjour,-25.52,151.45,1994,1994,3,female,0.773,2.304,2.722,0.029,0.132,0.036
D._aldrichi,Binjour,-25.52,151.45,1994,1994,4,female,1.055,2.173,2.560,0.011,0.000,0.149
D._aldrichi,Binjour,-25.52,151.45,1994,1994,5,female,0.822,,,,,
D._aldrichi,Binjour,-25.52,151.45,1994,1994,6,female,0.916,2.129,2.480,0.023,0.061,0.111
D._aldrichi,Binjour,-25.52,151.45,1994,1994,7,female,0.903,2.279,2.609,0.008,0.047,0.278
D._aldrichi,Binjour,-25.52,151.45,1994,1994,8,female,0.883,2.258,2.355,0.016,0.005,0.053
D._aldrichi,Binjour,-25.52,151.45,1994,1994,9,female,0.753,2.172,3.023,0.013,0.002,0.192
D._aldrichi,Binjour,-25.52,151.45,1994,1994,10,female,0.826,,2.646,,,
D._aldrichi,Binjour,-25.52,151.45,1994,1994,11,female,0.747,2.277,2.748,0.050,0.062,0.117
D._aldrichi,Binjour,-25.52,151.45,1994,1994,12,female,0.781,2.219,2.433,0.015,0.021,0.064
D._aldrichi,Binjour,-25.52,151.45,1994,1994,13,female,0.730,2.322,,,,
D._aldrichi,Binjour,-25.52,151.45,1994,1994,14,female,0.907,2.259,2.582,,,
D._aldrichi,Binjour,-25.52,151.45,1994,1994,15,female,0.946,2.159,2.380,,,
D._aldrichi,Binjour,-25.52,151.45,1994,1994,16,female,0.822,2.207,2.779,0.017,0.014,0.059
D._aldrichi,Binjour,-25.52,151.45,1994,1994,17,female,0.780,2.296,2.656,0.023,0.040,0.110
D._aldrichi,Binjour,-25.52,151.45,1994,1994,18,female,0.883,2.181,2.701,0.027,0.001,0.065
D._aldrichi,Binjour,-25.52,151.45,1994,1994,19,female,0.803,2.263,2.492,0.036,0.023,0.099
D._aldrichi,Binjour,-25.52,151.45,1994,1994,20,female,0.898,,2.543,,,0.025
D._aldrichi,Binjour,-25.52,151.45,1994,1994,21,female,0.724,2.240,2.393,0.029,0.098,0.141
D._aldrichi,Binjour,-25.52,151.45,1994,1994,22,female,1.037,2.178,2.556,0.014,0.015,0.117
