Species,Population,Latitude,Longitude,Year_start,Year_end,Fly_number,Sex,Asymmetry_l2,Asymmetry_l3p,Asymmetry_l3d,Asymmetry_lpd,Asymmetry_l3,Asymmetry_w1,Asymmetry_w2,Asymmetry_w3
D._aldrichi,Binjour,-25.52,151.45,1994,1994,0,female,0.012,0.036,0.004,0.041,0.041,0.005,0.022,0.016
D._aldrichi,Binjour,-25.52,151.45,1994,1994,1,female,0.062,0.015,0.019,0.004,0.004,0.014,0.005,0.024
D._aldrichi,Binjour,-25.52,151.45,1994,1994,2,female,0.029,0.012,0.004,0.008,0.008,0.037,0.028,0.049
D._aldrichi,Binjour,-25.52,151.45,1994,1994,3,female,0.019,0.000,0.018,0.017,0.018,0.039,0.018,0.056
D._aldrichi,Binjour,-25.52,151.45,1994,1994,4,female,0.042,0.028,0.018,0.011,0.011,0.005,0.048,0.059
D._aldrichi,Binjour,-25.52,151.45,1994,1994,5,female,,,,,,,,
D._aldrichi,Binjour,-25.52,151.45,1994,1994,6,female,0.045,0.019,0.016,0.003,0.003,0.025,0.016,0.003
D._aldrichi,Binjour,-25.52,151.45,1994,1994,7,female,0.027,0.040,0.052,0.012,0.012,0.013,0.005,0.021
D._aldrichi,Binjour,-25.52,151.45,1994,1994,8,female,0.036,0.015,0.004,0.020,0.020,0.007,0.006,0.032
D._aldrichi,Binjour,-25.52,151.45,1994,1994,9,female,0.001,0.026,0.008,0.018,0.017,0.007,0.004,0.000
D._aldrichi,Binjour,-25.52,151.45,1994,1994,10,female,,0.019,,,,,0.026,
D._aldrichi,Binjour,-25.52,151.45,1994,1994,11,female,0.019,0.025,0.011,0.036,0.036,0.038,0.033,0.023
D._aldrichi,Binjour,-25.52,151.45,1994,1994,12,female,0.006,0.013,0.003,0.010,0.009,0.012,0.009,0.004
D._aldrichi,Binjour,-25.52,151.45,1994,1994,13,female,,,0.024,,,0.005,0.015,0.003
D._aldrichi,Binjour,-25.52,151.45,1994,1994,14,female,0.003,0.005,,,,0.015,0.011,0.026
D._aldrichi,Binjour,-25.52,151.45,1994,1994,15,female,0.068,0.023,,,,0.008,0.013,0.035
D._aldrichi,Binjour,-25.52,151.45,1994,1994,16,female,0.023,0.015,0.012,0.027,0.025,0.006,0.004,0.017
D._aldrichi,Binjour,-25.52,151.45,1994,1994,17,female,0.021,0.018,0.009,0.009,0.011,0.019,0.005,0.044
D._aldrichi,Binjour,-25.52,151.45,1994,1994,18,female,0.016,0.001,0.032,0.030,0.030,0.014,0.016,0.017
D._aldrichi,Binjour,-25.52,151.45,1994,1994,19,female,0.005,0.025,0.008,0.033,0.033,0.023,0.014,0.012
D._aldrichi,Binjour,-25.52,151.45,1994,1994,20,female,,0.011,0.042,0.054,0.054,,0.013,
D._aldrichi,Binjour,-25.52,151.45,1994,1994,21,female,0.001,0.023,0.020,0.003,0.003,0.034,0.028,0.043
D._aldrichi,Binjour,-25.52,151.45,1994,1994,22,female,0.002,0.018,0.024,0.007,0.007,0.010,0.006,0.010
D._aldrichi,Binjour,-25.52,151.45,1994,1994,23,female,0.009,0.005,0.011,0.005,0.004,0.005,0.005,0.024
D._aldrichi,Binjour,-25.52,151.45,1994,1994,24,female,0.009,0.024,0.008,0.016,0.017,0.004,0.011,0.014
D._aldrichi,Binjour,-25.52,151.45,1994,1994,25,female,0.001,0.007,0.002,0.009,0.008,0.012,0.018,0.004
D._aldrichi,Binjour,-25.52,151.45,1994,1994,26,female,0.042,0.039,,,,0.001,0.003,0.013
D._aldrichi,Binjour,-25.52,151.45,1994,1994,27,female,,,,,,,,
D._aldrichi,Binjour,-25.52,151.45,1994,1994,28,female,0.027,0.017,0.007,0.011,0.011,0.005,0.003,0.023
D._aldrichi,Binjour,-25.52,151.45,1994,1994,29,female,0.005,0.009,0.043,0.034,0.035,0.021,0.021,0.013
D._aldrichi,Binjour,-25.52,151.45,1994,1994,30,female,0.001,0.014,0.004,0.019,0.017,,,
D._aldrichi,Binjour,-25.52,151.45,1994,1994,31,female,0.000,0.015,0.021,0.035,0.035,0.014,0.001,0.009
D._aldrichi,Binjour,-25.52,151.45,1994,1994,32,female,0.038,0.003,0.016,0.018,0.019,0.018,0.003,0.005
D._aldrichi,Binjour,-25.52,151.45,1994,1994,33,female,0.005,0.042,0.053,0.011,0.011,0.005,0.016,0.009
D._aldrichi,Binjour,-25.52,151.45,1994,1994,34,female,0.024,0.035,0.014,0.049,0.049,0.013,0.040,0.008
D._aldrichi,Binjour,-25.52,151.45,1994,1994,35,female,0.044,0.039,0.006,0.045,0.045,0.014,0.008,0.034
D._aldrichi,Binjour,-25.52,151.45,1994,1994,36,female,0.006,0.005,0.014,0.019,0.019,0.036,0.058,0.001
D._aldrichi,Binjour,-25.52,151.45,1994,1994,37,female,0.072,0.062,,,,0.019,0.012,0.037
D._aldrichi,Binjour,-25.52,151.45,1994,1994,38,female,0.065,0.009,0.024,0.033,0.033,0.006,0.003,0.051
D._aldrichi,Binjour,-25.52,151.45,1994,1994,39,female,0.044,0.038,0.012,0.026,0.022,0.001,0.024,0.033
D._aldrichi,Binjour,-25.52,151.45,1994,1994,40,female,0.020,0.021,0.002,0.023,0.024,0.015,0.012,0.003
D._aldrichi,Binjour,-25.52,151.45,1994,1994,41,female,0.033,0.011,,,,0.026,0.041,0.005
D._aldrichi,Binjour,-25.52,151.45,1994,1994,42,female,0.032,0.021,0.007,0.028,0.028,0.003,0.005,0.008
D._aldrichi,Binjour,-25.52,151.45,1994,1994,43,female,0.005,0.014,0.003,0.017,0.015,,,
D._aldrichi,Binjour,-25.52,151.45,1994,1994,44,female,0.015,0.014,0.004,0.019,0.018,0.002,0.028,0.028
D._aldrichi,Binjour,-25.52,151.45,1994,1994,45,female,0.008,0.001,0.050,0.051,0.050,0.004,0.011,0.001
D._aldrichi,Binjour,-25.52,151.45,1994,1994,46,female,0.004,0.003,0.016,0.018,0.017,0.003,0.012,0.023
D._aldrichi,Binjour,-25.52,151.45,1994,1994,47,female,,,,,,,,
D._aldrichi,Binjour,-25.52,151.45,1994,1994,48,female,,0.032,,,,,0.013,
D._aldrichi,Binjour,-25.52,151.45,1994,1994,49,female,0.035,0.025,0.021,0.046,0.045,0.020,0.022,0.023
D._aldrichi,Binjour,-25.52,151.45,1994,1994,50,male,0.001,0.021,0.018,0.002,0.002,0.028,0.001,0.041
D._aldrichi,Binjour,-25.52,151.45,1994,1994,51,male,0.018,0.024,0.045,0.020,0.021,0.021,0.015,0.013
D._aldrichi,Binjour,-25.52,151.45,1994,1994,52,male,0.009,0.047,0.044,0.003,0.004,0.028,0.051,0.010
D._aldrichi,Binjour,-25.52,151.45,1994,1994,53,male,0.010,0.019,0.006,0.012,0.012,0.001,0.002,0.009
D._aldrichi,Binjour,-25.52,151.45,1994,1994,54,male,0.024,0.043,0.005,0.038,0.038,0.001,0.003,0.015
D._aldrichi,Binjour,-25.52,151.45,1994,1994,55,male,0.020,0.021,0.007,0.014,0.013,0.019,0.003,0.026
D._aldrichi,Binjour,-25.52,151.45,1994,1994,56,male,0.014,0.016,,,,0.004,0.012,0.006
D._aldrichi,Binjour,-25.52,151.45,1994,1994,57,male,0.014,0.026,0.013,0.013,0.014,0.032,0.045,0.028
D._aldrichi,Binjour,-25.52,151.45,1994,1994,58,male,0.008,0.022,0.086,0.062,0.064,0.008,0.010,0.009
D._aldrichi,Binjour,-25.52,151.45,1994,1994,59,male,0.047,0.013,0.045,0.057,0.058,0.010,0.003,0.027
D._aldrichi,Binjour,-25.52,151.45,1994,1994,60,male,0.021,0.014,0.051,0.064,0.063,0.002,0.008,0.015
D._aldrichi,Binjour,-25.52,151.45,1994,1994,61,male,0.009,0.010,0.009,0.000,0.002,0.010,0.013,0.013
D._aldrichi,Binjour,-25.52,151.45,1994,1994,62,male,0.028,0.002,0.003,0.001,0.001,0.013,0.002,0.002
D._aldrichi,Binjour,-25.52,151.45,1994,1994,63,male,0.006,0.015,0.024,0.010,0.009,0.011,0.006,0.007
D._aldrichi,Binjour,-25.52,151.45,1994,1994,64,male,0.001,0.032,0.056,0.025,0.025,0.011,0.005,0.013
D._aldrichi,Binjour,-25.52,151.45,1994,1994,65,male,0.033,0.017,0.009,0.026,0.026,0.005,0.015,0.021
D._aldrichi,Binjour,-25.52,151.45,1994,1994,66,male,0.024,0.004,0.023,0.026,0.027,0.002,0.003,0.011
D._aldrichi,Binjour,-25.52,151.45,1994,1994,67,male,0.006,0.014,0.004,0.011,0.012,0.007,0.003,0.022
D._aldrichi,Binjour,-25.52,151.45,1994,1994,68,male,0.029,0.011,0.003,0.014,0.013,0.001,0.002,0.013
D._aldrichi,Binjour,-25.52,151.45,1994,1994,69,male,0.022,0.006,0.035,0.040,0.040,0.007,0.017,0.014
D._aldrichi,Binjour,-25.52,151.45,1994,1994,70,male,0.021,0.006,0.028,0.034,0.034,0.001,0.003,0.011
D._aldrichi,Binjour,-25.52,151.45,1994,1994,71,male,0.015,0.006,0.010,0.004,0.004,0.000,0.004,0.002
D._aldrichi,Binjour,-25.52,151.45,1994,1994,72,male,0.008,,,,,0.029,0.020,0.014
D._aldrichi,Binjour,-25.52,151.45,1994,1994,73,male,0.045,0.040,0.009,0.031,0.032,0.004,0.011,0.008
D._aldrichi,Binjour,-25.52,151.45,1994,1994,74,male,0.020,0.023,0.024,0.047,0.048,0.034,0.047,0.011
D._aldrichi,Binjour,-25.52,151.45,1994,1994,75,male,0.021,0.007,0.002,0.008,0.008,0.002,0.000,0.012
D._aldrichi,Binjour,-25.52,151.45,1994,1994,76,male,0.045,0.040,0.002,0.040,0.039,0.011,0.027,0.024
D._aldrichi,Binjour,-25.52,151.45,1994,1994,77,male,0.028,0.017,0.022,0.039,0.037,0.002,0.001,0.017
D._aldrichi,Binjour,-25.52,151.45,1994,1994,78,male,0.016,0.004,0.046,0.042,0.040,0.001,0.015,0.001
D._aldrichi,Binjour,-25.52,151.45,1994,1994,79,male,0.005,0.000,0.041,0.041,0.042,0.021,0.008,0.040
D._aldrichi,Binjour,-25.52,151.45,1994,1994,80,male,0.002,0.015,,,,0.031,0.045,0.006
D._aldrichi,Binjour,-25.52,151.45,1994,1994,81,male,0.007,0.013,0.008,0.005,0.003,0.030,0.025,0.031
D._aldrichi,Binjour,-25.52,151.45,1994,1994,82,male,0.011,0.012,0.028,0.040,0.040,0.013,0.003,0.027
D._aldrichi,Binjour,-25.52,151.45,1994,1994,83,male,0.015,0.008,0.035,0.042,0.042,0.012,0.011,0.010
D._aldrichi,Binjour,-25.52,151.45,1994,1994,84,male,0.016,0.018,0.039,0.021,0.022,0.030,0.013,0.057
D._aldrichi,Binjour,-25.52,151.45,1994,1994,85,male,0.005,0.014,0.009,0.023,0.023,,,
D._aldrichi,Binjour,-25.52,151.45,1994,1994,86,male,0.012,0.010,0.032,0.023,0.024,0.002,0.007,0.016
D._aldrichi,Binjour,-25.52,151.45,1994,1994,87,male,0.011,0.009,,,,0.034,0.010,0.051
D._aldrichi,Binjour,-25.52,151.45,1994,1994,88,male,0.023,0.018,0.033,0.016,0.016,,,
D._aldrichi,Binjour,-25.52,151.45,1994,1994,89,male,0.053,0.041,0.003,0.038,0.038,0.008,0.014,0.025
D._aldrichi,Binjour,-25.52,151.45,1994,1994,90,male,0.005,0.007,,,,0.004,0.000,0.014
D._aldrichi,Binjour,-25.52,151.45,1994,1994,91,male,0.011,0.040,0.042,0.002,0.002,0.016,0.021,0.017
D._aldrichi,Binjour,-25.52,151.45,1994,1994,92,male,0.013,0.001,0.028,0.027,0.028,0.001,0.018,0.003
D._aldrichi,Binjour,-25.52,151.45,1994,1994,93,male,0.014,0.014,,,,0.019,0.010,0.037
D._aldrichi,Binjour,-25.52,151.45,1994,1994,94,male,0.040,0.021,0.005,0.015,0.017,0.021,0.015,0.038
D._aldrichi,Binjour,-25.52,151.45,1994,1994,95,male,0.040,0.024,0.005,0.029,0.029,0.032,0.039,0.003
D._aldrichi,Binjour,-25.52,151.45,1994,1994,96,male,0.036,0.003,0.015,0.017,0.019,0.013,0.010,0.030
D._aldrichi,Binjour,-25.52,151.45,1994,1994,97,male,0.007,0.008,0.042,0.049,0.049,0.014,0.005,0.029
D._aldrichi,Binjour,-25.52,151.45,1994,1994,98,male,0.003,0.003,0.019,0.015,0.013,0.012,0.005,0.036
D._aldrichi,Binjour,-25.52,151.45,1994,1994,99,male,0.011,0.000,0.021,0.021,0.023,0.012,0.002,0.004
D._buzzatii,Binjour,-25.52,151.45,1994,1994,0,female,0.013,0.004,0.030,0.026,0.025,0.044,0.038,0.030
D._buzzatii,Binjour,-25.52,151.45,1994,1994,1,female,0.013,0.076,0.058,0.016,0.017,0.027,0.024,0.011
D._buzzatii,Binjour,-25.52,151.45,1994,1994,2,female,0.004,0.005,0.006,0.011,0.012,0.020,0.016,0.026
D._buzzatii,Binjour,-25.52,151.45,1994,1994,3,female,0.049,0.067,0.045,0.021,0.021,0.028,0.036,0.007
D._buzzatii,Binjour,-25.52,151.45,1994,1994,4,female,0.009,0.001,0.021,0.024,0.024,0.067,0.057,0.030
D._buzzatii,Binjour,-25.52,151.45,1994,1994,5,female,0.027,0.036,0.052,0.015,0.018,0.016,0.034,0.001
D._buzzatii,Binjour,-25.52,151.45,1994,1994,6,female,0.014,0.036,0.044,0.008,0.008,0.023,0.037,0.007
D._buzzatii,Binjour,-25.52,151.45,1994,1994,7,female,0.034,0.003,0.001,0.001,0.001,0.015,0.009,0.038
D._buzzatii,Binjour,-25.52,151.45,1994,1994,8,female,0.001,0.042,0.059,0.017,0.019,0.052,0.051,0.033
D._buzzatii,Binjour,-25.52,151.45,1994,1994,9,female,0.052,0.050,0.004,0.045,0.045,,,
D._buzzatii,Binjour,-25.52,151.45,1994,1994,10,female,0.010,0.048,0.033,0.015,0.015,0.022,0.003,0.042
