Species,Population,Latitude,Longitude,Year_start,Year_end,Temperature,Development_time,Viability,
D._aldrichi,Binjour,-25.52,151.45,1994,1994,20,18.171,49.5,
D._aldrichi,Binjour,-25.52,151.45,1994,1994,25,11.855,52.5,
D._aldrichi,Binjour,-25.52,151.45,1994,1994,30,9.755,51.0,
D._aldrichi,Gogango_Creek,-23.77,150.17,1994,1994,20,17.856,85.0,
D._aldrichi,Gogango_Creek,-23.77,150.17,1994,1994,25,11.636,80.5,
D._aldrichi,Gogango_Creek,-23.77,150.17,1994,1994,30,9.048,77.0,
D._aldrichi,Grandchester,-27.68,152.45,1994,1994,20,18.438,82.0,
D._aldrichi,Grandchester,-27.68,152.45,1994,1994,25,12.266,80.5,
D._aldrichi,Grandchester,-27.68,152.45,1994,1994,30,9.463,63.5,
D._aldrichi,Oxford_Downs,-21.77,148.85,1994,1994,20,18.066,58.0,
D._aldrichi,Oxford_Downs,-21.77,148.85,1994,1994,25,12.059,53.5,
D._aldrichi,Oxford_Downs,-21.77,148.85,1994,1994,30,9.747,47.5,
D._aldrichi,Wahruna,-25.2,151.17,1994,1994,20,18.240,80.0,
D._aldrichi,Wahruna,-25.2,151.17,1994,1994,25,11.825,72.0,
D._aldrichi,Wahruna,-25.2,151.17,1994,1994,30,9.278,58.0,
D._buzzatii,Binjour,-25.52,151.45,1994,1994,20,17.531,89.5,
D._buzzatii,Binjour,-25.52,151.45,1994,1994,25,11.408,83.0,
D._buzzatii,Binjour,-25.52,151.45,1994,1994,30,9.584,65.5,
D._buzzatii,Gogango_Creek,-23.77,150.17,1994,1994,20,17.422,81.5,
D._buzzatii,Gogango_Creek,-23.77,150.17,1994,1994,25,11.400,76.5,
D._buzzatii,Gogango_Creek,-23.77,150.17,1994,1994,30,9.439,57.5,
D._buzzatii,Grandchester,-27.68,152.45,1994,1994,20,17.781,84.0,
D._buzzatii,Grandchester,-27.68,152.45,1994,1994,25,11.410,86.0,
D._buzzatii,Grandchester,-27.68,152.45,1994,1994,30,9.592,66.0,
D._buzzatii,Oxford_Downs,-21.77,148.85,1994,1994,20,17.447,79.5,
D._buzzatii,Oxford_Downs,-21.77,148.85,1994,1994,25,11.444,77.5,
D._buzzatii,Oxford_Downs,-21.77,148.85,1994,1994,30,9.655,70.5,
D._buzzatii,Wahruna,-25.2,151.17,1994,1994,20,17.651,85.0,
D._buzzatii,Wahruna,-25.2,151.17,1994,1994,25,11.590,89.0,
D._buzzatii,Wahruna,-25.2,151.17,1994,1994,30,9.327,77.5,
