Population,Latitude,Longitude,Year_start,Year_end,Locus,2n,Allele1_fz,Allele2_fz,Allele3_fz,Allele4_fz,Allele5_fz
Mackay,-21.170,149.220,1972,1996,Pgm,24,0,1,0,,
North_Keppel_Is.,-23.090,150.870,1972,1996,Pgm,368,0.027,0.973,0,,
Mulambin_Beach,-23.188,150.789,1972,1996,Pgm,238,0,1,0,,
Emu_Park,-23.240,150.840,1972,1996,Pgm,208,0,1,0,,
Masthead_Is.,-23.540,151.730,1972,1996,Pgm,76,0.026,0.974,0,,
Westwood,-23.647,150.149,1972,1996,Pgm,398,0.018,0.98,0.003,,
Dixalea,-23.928,150.284,1972,1996,Pgm,196,0,1,0,,
Glen_Elgin,-24.620,149.190,1972,1996,Pgm,564,0.005,0.989,0.005,,
Planet_Downs,-24.630,149.030,1972,1996,Pgm,320,0,0.994,0.006,,
Theodore,-25.023,150.044,1972,1996,Pgm,546,0.015,0.982,0.004,,
Isla_Gorge,-25.247,149.941,1972,1996,Pgm,116,0.06,0.94,0,,
Bulloo_Lakes,-25.590,144.600,1972,1996,Pgm,56,0.054,0.946,0,,
Telegraph_Plains,-25.669,149.832,1972,1996,Pgm,196,0.01,0.99,0,,
Injune,-25.754,148.656,1972,1996,Pgm,78,0.013,0.987,0,,
Injune_Creek,-25.900,148.548,1972,1996,Pgm,348,0.066,0.925,0.009,,
Morven,-26.380,147.230,1972,1996,Pgm,370,0.032,0.968,0,,
Charleville,-26.400,146.250,1972,1996,Pgm,232,0.039,0.961,0,,
Angellala,-26.400,146.870,1972,1996,Pgm,158,0.006,0.975,0.019,,
Mungallala,-26.450,147.640,1972,1996,Pgm,172,0.006,0.994,0,,
Roma,-26.454,148.795,1972,1996,Pgm,1272,0.014,0.984,0.002,,
Jackson,-26.644,149.620,1972,1996,Pgm,176,0.034,0.96,0.006,,
Chinchilla,-26.803,150.725,1972,1996,Pgm,222,0,1,0,,
Murweh,-27.000,145.960,1972,1996,Pgm,14,0,1,0,,
Dalby,-27.120,151.110,1972,1996,Pgm,148,0.02,0.98,0,,
