Latitude,Longitude,Year_start,Year_end,Line,x1,y1,x2,y2,x3,y3,x4,y4,x5,y5,x6,y6,x7,y7,x8,y8,x9,y9,Wing_centroid_size,Wing_angle,Wing_aspect,Wing_proportion,Distance2_4,Distance6_3
-16.100,145.47,2001,2001,1,201,70,351,121,366,148,313,211,55,196,101,185,98,176,161,151,157,125,432.45,30.51,0.62,0.37,97.69,267.57
-16.100,145.47,2001,2001,1,219,95,361,171,372,199,301,256,49,195,100,194,98,183,172,169,171,141,447.09,33.39,0.61,0.38,104.04,272.05
-16.100,145.47,2001,2001,1,216,63,365,120,378,148,319,205,63,178,108,172,107,163,174,141,170,117,435.06,30.09,0.62,0.36,96.65,271.06
-16.100,145.47,2001,2001,1,193,57,350,81,370,104,325,179,72,211,120,193,114,183,171,145,159,120,431.12,32.12,0.62,0.38,101.14,265.37
-16.100,145.47,2001,2001,1,251,57,360,120,369,153,292,201,104,141,146,139,145,129,211,117,207,93,392.75,44.89,0.57,0.47,105.76,223.44
-16.100,145.47,2001,2001,1,217,74,328,117,346,151,278,208,83,170,121,166,119,154,183,137,180,113,382.13,44.63,0.59,0.46,103.83,225.50
-16.100,145.47,2001,2001,1,231,96,346,160,355,191,288,239,79,175,128,176,126,166,188,157,186,133,404.41,38.26,0.56,0.43,98.01,227.50
-16.100,145.47,2001,2001,1,267,110,364,197,367,228,285,259,106,156,147,166,148,155,210,157,216,134,416.01,39.11,0.55,0.44,100.42,228.57
-16.100,145.47,2001,2001,2,250,113,367,170,377,199,314,255,101,210,144,208,143,198,205,181,203,160,427.99,38.06,0.54,0.43,100.17,233.17
-16.100,145.47,2001,2001,2,249,68,348,145,351,177,279,215,92,126,128,131,128,122,190,120,192,100,390.47,37.88,0.58,0.43,98.29,227.69
-16.100,145.47,2001,2001,2,205,87,332,120,346,147,291,212,89,202,121,194,118,185,174,158,168,138,394.19,38.30,0.58,0.44,100.72,229.86
-16.100,145.47,2001,2001,4,255,105,359,175,367,208,295,250,101,167,146,173,145,163,207,157,207,136,410.27,39.83,0.55,0.44,98.60,223.75
-16.100,145.47,2001,2001,4,271,130,355,223,355,253,271,274,110,151,149,166,150,156,210,168,214,149,414.38,39.31,0.54,0.44,98.27,223.62
-16.100,145.47,2001,2001,4,128,63,240,27,262,39,250,122,96,207,117,184,109,180,136,134,122,123,333.32,39.81,0.62,0.47,95.52,205.06
-16.100,145.47,2001,2001,5,242,109,350,163,362,192,298,243,121,194,162,193,161,182,213,168,207,144,395.04,43.51,0.51,0.48,95.41,200.00
-16.100,145.47,2001,2001,5,228,86,350,111,369,134,319,203,113,212,159,197,154,189,207,157,195,138,403.67,40.16,0.54,0.44,97.08,219.25
-16.100,145.47,2001,2001,5,262,72,364,144,369,174,298,211,114,135,155,141,155,130,213,125,211,104,394.50,38.16,0.55,0.43,94.05,216.53
-16.100,145.47,2001,2001,7,202,104,317,145,328,171,264,227,88,202,125,194,123,184,177,166,171,146,373.27,43.57,0.55,0.48,97.64,204.30
-16.100,145.47,2001,2001,7,255,41,353,117,358,148,279,184,101,90,145,99,144,88,201,87,202,69,378.91,40.03,0.58,0.46,99.82,218.56
-16.100,145.47,2001,2001,7,217,91,333,105,351,129,309,194,110,211,153,194,148,187,194,157,185,141,387.39,38.35,0.54,0.44,92.18,208.40
-16.100,145.47,2001,2001,7,246,135,340,210,343,241,262,272,91,178,134,187,134,179,195,179,196,160,402.94,42.16,0.54,0.46,99.64,215.86
-16.100,145.47,2001,2001,7,230,74,331,135,338,161,275,206,89,144,134,148,134,139,194,129,192,108,370.45,41.04,0.55,0.44,90.43,204.41
-16.100,145.47,2001,2001,7,246,75,351,136,358,163,295,209,107,152,147,153,146,144,209,132,205,111,386.11,40.23,0.55,0.44,92.01,211.24
-16.100,145.47,2001,2001,7,225,70,336,105,349,127,298,186,110,170,147,161,145,154,199,130,192,112,372.47,39.84,0.55,0.44,89.47,204.84
-16.100,145.47,2001,2001,7,219,67,334,77,352,96,317,164,125,192,164,175,160,169,208,132,198,114,377.54,39.94,0.54,0.43,88.65,203.92
-16.100,145.47,2001,2001,7,229,111,325,157,334,181,273,226,106,184,144,183,141,175,201,162,198,144,369.31,43.94,0.51,0.45,86.40,190.01
-16.100,145.47,2001,2001,8,228,99,349,139,364,168,305,226,97,206,137,198,135,190,192,167,184,148,407.90,37.68,0.56,0.43,97.49,228.97
-16.100,145.47,2001,2001,8,222,91,349,126,366,152,313,214,95,206,136,198,132,188,186,163,182,142,410.57,34.67,0.57,0.41,95.08,234.55
-16.100,145.47,2001,2001,8,215,97,336,147,349,177,282,234,70,205,111,196,108,187,171,165,165,141,407.42,38.09,0.59,0.43,102.40,238.76
-16.100,145.47,2001,2001,8,245,90,355,148,364,180,297,225,110,167,145,167,143,157,202,145,201,124,396.35,38.98,0.55,0.44,96.40,219.39
-16.100,145.47,2001,2001,10,288,114,374,217,373,249,285,265,121,132,163,149,166,140,225,152,231,132,425.87,38.46,0.55,0.43,101.12,232.59
-16.100,145.47,2001,2001,10,215,111,334,160,343,187,277,241,87,208,130,202,126,193,177,176,173,154,394.11,38.84,0.54,0.46,99.05,213.53
-16.100,145.47,2001,2001,11,242,107,349,181,355,212,268,254,80,181,122,184,122,173,183,166,186,146,410.27,40.83,0.57,0.46,109.04,234.68
-16.100,145.47,2001,2001,11,211,75,334,106,346,132,284,195,97,180,133,171,130,162,178,140,173,123,378.00,39.72,0.57,0.47,102.08,216.54
-16.100,145.47,2001,2001,11,225,59,346,102,358,130,299,190,95,166,134,158,131,149,186,129,183,108,389.51,37.94,0.58,0.44,99.76,225.74
-16.100,145.47,2001,2001,11,194,78,325,104,340,131,286,202,77,205,120,190,116,181,168,151,162,131,390.82,40.04,0.58,0.46,105.48,227.77
-16.100,145.47,2001,2001,17,218,68,344,109,358,138,298,200,86,175,131,168,128,157,186,135,182,114,394.62,39.47,0.58,0.45,101.97,228.97
-16.100,145.47,2001,2001,17,251,47,359,126,364,159,288,199,87,111,133,118,133,108,198,101,201,79,397.66,38.61,0.59,0.43,101.83,234.61
-16.100,145.47,2001,2001,17,279,116,342,233,333,265,245,270,107,108,148,132,151,123,216,147,229,126,412.73,42.42,0.55,0.46,103.82,227.85
-16.100,145.47,2001,2001,17,225,119,345,173,358,201,295,257,88,217,130,214,128,204,194,184,192,158,415.02,40.02,0.55,0.43,97.75,228.37
-16.100,145.47,2001,2001,17,228,76,349,123,364,151,305,213,88,182,131,175,128,166,193,144,188,122,404.77,39.30,0.58,0.43,100.18,234.23
-16.100,145.47,2001,2001,18,246,30,361,89,369,117,301,166,100,114,140,113,140,105,204,90,203,69,387.10,38.44,0.59,0.43,97.62,229.03
-16.100,145.47,2001,2001,18,225,121,351,150,366,177,307,242,101,242,137,231,134,222,194,192,186,172,422.32,38.85,0.56,0.43,101.98,235.28
-16.100,145.47,2001,2001,18,243,60,349,125,356,155,288,199,97,141,134,138,132,131,197,120,195,99,386.09,39.08,0.58,0.43,95.90,222.65
-16.383,145.8,2001,2001,1,213,27,353,57,370,84,319,151,89,156,134,143,129,135,187,103,180,78,401.34,35.47,0.61,0.41,99.96,243.26
-16.383,145.8,2001,2001,1,252,47,361,130,366,163,289,204,98,118,144,124,143,114,200,108,201,83,395.51,39.39,0.57,0.46,103.25,225.40
-16.383,145.8,2001,2001,1,246,96,347,191,348,223,268,256,82,148,131,159,132,148,190,149,192,128,406.22,38.93,0.56,0.45,102.30,226.24
-16.383,145.8,2001,2001,1,227,74,355,143,364,173,301,226,80,178,126,175,125,166,179,150,179,124,413.64,34.20,0.58,0.42,99.02,238.01
-16.383,145.8,2001,2001,1,246,54,367,129,377,163,308,210,84,138,131,138,130,128,194,117,194,94,415.94,35.24,0.59,0.41,100.21,247.27
-16.383,145.8,2001,2001,1,243,71,367,135,379,163,316,218,94,170,140,168,138,158,203,142,198,117,417.28,36.37,0.57,0.41,97.42,239.05
-16.383,145.8,2001,2001,1,242,60,364,133,376,165,298,215,90,143,135,144,133,134,195,125,195,101,409.69,38.44,0.59,0.44,105.26,241.91
-16.383,145.8,2001,2001,7,213,80,340,114,357,140,299,209,90,204,131,192,128,182,183,154,179,129,401.12,39.66,0.58,0.45,103.47,231.91
-16.383,145.8,2001,2001,7,225,46,353,69,372,96,322,169,107,178,147,164,144,155,203,119,194,97,401.04,41.23,0.59,0.45,104.69,235.05
