Population,Latitude,Longitude,Year_start,Year_end,ID,Db003,Db003,Db013,Db013,Db034,Db034,Db052,Db052,Db087,Db087,Db090,Db090,Db109,Db109,Db122,Db122,Db142,Db142,Db223,Db223,Db225,Db225,Db290,Db290,Db411,Db411,Db493,Db493,Db681,Db681
Mulambin_Beach,-23.188,150.789,2002,2002,Mub127,252,254,88,88,112,114,249,249,167,167,191,203,139,153,217,217,204,204,229,229,160,166,171,171,244,246,169,171,255,263
Mulambin_Beach,-23.188,150.789,2002,2002,Mub128,252,252,80,88,106,108,241,241,155,167,191,193,137,157,217,217,204,204,223,227,166,192,171,177,244,244,165,171,251,275
Mulambin_Beach,-23.188,150.789,2002,2002,Mub129,252,252,82,88,106,114,241,255,153,177,191,195,157,157,217,217,200,204,215,225,170,170,167,171,244,244,165,167,275,277
Mulambin_Beach,-23.188,150.789,2002,2002,Mub130,252,264,82,88,106,120,241,241,155,185,193,195,147,157,217,217,200,204,217,227,170,192,171,171,242,250,169,169,255,255
Mulambin_Beach,-23.188,150.789,2002,2002,Mub131,250,250,88,88,106,106,241,241,151,155,191,191,147,157,217,217,204,204,229,229,164,166,171,171,244,248,169,169,255,275
Mulambin_Beach,-23.188,150.789,2002,2002,Mub132,252,252,88,88,106,106,241,241,159,167,193,197,157,157,217,217,196,200,229,229,170,170,167,177,244,244,165,167,255,255
Mulambin_Beach,-23.188,150.789,2002,2002,Mub133,252,252,80,88,120,120,241,255,157,167,193,201,145,157,217,217,204,204,227,229,166,166,167,181,244,244,165,169,255,275
Mulambin_Beach,-23.188,150.789,2002,2002,Mub134,252,260,88,88,114,120,241,249,153,177,195,195,143,157,217,217,204,204,227,229,166,170,171,171,244,246,167,171,255,275
Mulambin_Beach,-23.188,150.789,2002,2002,Mub135,226,242,82,88,114,114,0,0,153,201,193,205,141,157,217,219,190,222,0,0,0,0,149,171,244,246,175,175,0,0
Mulambin_Beach,-23.188,150.789,2002,2002,Mub136,250,254,82,88,106,114,241,249,153,165,191,195,147,167,217,217,204,204,229,229,164,166,171,171,244,246,167,169,255,255
Mulambin_Beach,-23.188,150.789,2002,2002,Mub137,252,252,88,90,110,112,241,241,147,155,193,195,145,167,217,217,204,204,227,229,164,170,187,207,244,244,165,167,255,275
Mulambin_Beach,-23.188,150.789,2002,2002,Mub138,252,252,88,88,106,106,241,249,153,167,185,193,157,157,217,217,200,202,227,227,166,170,171,171,242,246,161,169,255,255
Mulambin_Beach,-23.188,150.789,2002,2002,Mub139,252,256,82,88,106,114,241,255,165,173,199,203,139,157,217,217,204,204,227,227,170,170,171,181,234,244,169,171,255,275
Mulambin_Beach,-23.188,150.789,2002,2002,Mub140,252,252,88,88,114,114,241,255,153,205,195,201,139,157,217,217,200,204,229,229,166,166,167,181,244,244,167,167,255,275
Mulambin_Beach,-23.188,150.789,2002,2002,Mub141,252,258,88,88,110,120,241,255,165,167,191,195,161,167,217,217,194,194,229,229,166,170,161,171,244,246,165,167,273,281
Mulambin_Beach,-23.188,150.789,2002,2002,Mub142,250,252,88,88,106,106,247,255,155,173,185,203,137,157,217,217,192,204,217,229,166,166,171,171,242,244,165,167,255,267
Mulambin_Beach,-23.188,150.789,2002,2002,Mub143,0,0,88,88,106,106,0,0,151,177,199,209,147,157,217,219,190,198,213,217,164,192,135,155,246,246,173,175,255,273
Mulambin_Beach,-23.188,150.789,2002,2002,Mub144,252,254,88,88,106,110,241,241,177,177,185,193,139,147,217,217,190,204,221,227,166,170,171,181,242,248,161,169,255,267
Mulambin_Beach,-23.188,150.789,2002,2002,Mub277,230,252,82,88,106,114,241,249,167,175,193,197,139,167,217,217,194,204,227,229,166,170,171,171,242,244,165,171,263,275
Mulambin_Beach,-23.188,150.789,2002,2002,Mub278,252,252,82,88,106,120,241,255,153,177,185,203,139,157,217,219,194,200,217,229,166,166,167,171,244,244,165,165,255,275
Mulambin_Beach,-23.188,150.789,2002,2002,Mub279,252,252,82,88,106,110,241,249,167,177,193,195,145,157,217,217,204,204,227,229,170,170,167,171,240,250,167,169,263,263
Mulambin_Beach,-23.188,150.789,2002,2002,Mub280,252,252,88,90,106,120,241,249,153,177,193,195,139,145,217,217,204,204,229,229,166,166,171,187,234,240,165,165,251,257
Mulambin_Beach,-23.188,150.789,2002,2002,Mub281,252,256,88,90,114,114,249,249,159,167,185,193,139,143,217,217,200,204,227,229,160,166,167,171,244,244,167,167,263,265
Mulambin_Beach,-23.188,150.789,2002,2002,Mub282,254,258,88,88,106,106,241,255,167,177,191,193,157,167,217,217,194,204,217,225,170,170,171,171,244,244,165,171,255,275
Mulambin_Beach,-23.188,150.789,2002,2002,Mub283,252,252,88,88,106,120,255,255,155,205,185,195,137,153,217,219,204,204,229,229,166,170,171,171,244,244,169,169,255,255
Mulambin_Beach,-23.188,150.789,2002,2002,Mub284,252,252,80,88,106,108,241,241,147,165,191,201,139,157,217,219,196,204,227,229,166,170,171,177,244,250,165,171,251,255
Mulambin_Beach,-23.188,150.789,2002,2002,Mub285,252,252,88,88,106,106,241,249,155,167,193,201,141,149,217,217,202,204,223,229,166,170,171,171,244,244,169,171,251,275
Mulambin_Beach,-23.188,150.789,2002,2002,Mub286,230,264,82,88,112,120,241,241,163,173,195,197,147,149,217,217,204,208,219,229,166,170,167,171,244,244,165,169,255,275
Mulambin_Beach,-23.188,150.789,2002,2002,Mub287,252,252,88,88,106,114,241,249,165,177,193,195,139,157,217,217,194,204,227,227,166,166,167,171,244,246,169,171,255,257
Mulambin_Beach,-23.188,150.789,2002,2002,Mub288,252,270,88,88,106,114,241,255,177,177,195,195,147,157,217,221,204,204,227,227,170,170,167,171,242,246,165,165,255,263
Isla_Gorge,-25.247,149.941,2002,2002,Isg145,252,260,88,88,106,120,247,247,165,205,195,197,145,167,217,217,204,204,227,227,166,192,167,171,244,246,165,167,251,257
Isla_Gorge,-25.247,149.941,2002,2002,Isg146,230,252,82,88,114,120,251,255,165,171,185,195,139,157,217,217,204,204,221,229,166,166,167,171,244,244,165,167,275,275
Isla_Gorge,-25.247,149.941,2002,2002,Isg147,250,252,88,88,120,120,249,249,165,165,195,201,139,157,217,217,194,220,219,229,170,170,167,171,246,246,167,169,255,275
