Population_Code,Population,,Latitude,Longitude,Year_start,Year_end,Altitude,Hibiscus_species,Year_start,Year_end,Sex,Sh8,Sh8,Sh8ii,Sh8ii,Sh9,Sh9,Sh13,Sh13,Sh34d,Sh34d,Sh36c,Sh36c,Sh38d,Sh38d,Sh48,Sh48,Sh49,Sh49,Sh72,Sh72,Sh74,Sh74,Sh78,Sh78,Sh81,Sh81,Sh88,Sh88,Sh89,Sh89,Sh90,Sh90,Sh94,Sh94
MEC,Merl_Campground,,-12.428,132.956,1998,1998,5,symonii,,,male,171,171,130,130,127,127,72,90,152,152,128,134,112,112,125,125,185,197,161,161,76,76,0,0,135,135,99,111,83,83,0,0,190,190
MEC,Merl_Campground,,-12.428,132.956,1998,1998,5,symonii,,,male,171,175,130,130,127,127,80,84,152,152,122,132,110,112,125,125,185,191,161,161,0,0,204,204,0,0,99,115,0,0,134,134,192,192
MEC,Merl_Campground,,-12.428,132.956,1998,1998,5,symonii,,,male,171,177,130,130,127,127,72,80,152,152,132,132,112,112,125,125,190,194,161,161,76,76,204,204,135,135,115,119,83,83,134,134,186,192
MEC,Merl_Campground,,-12.428,132.956,1998,1998,5,symonii,,,male,177,179,130,130,127,127,88,90,152,152,130,132,110,110,125,125,185,194,161,161,76,76,204,204,135,135,115,133,83,83,134,134,186,190
MEC,Merl_Campground,,-12.428,132.956,1998,1998,5,symonii,,,male,167,181,130,130,127,127,72,82,152,154,122,132,110,118,125,125,191,194,161,161,76,76,204,204,135,135,99,117,83,83,134,135,190,192
MEC,Merl_Campground,,-12.428,132.956,1998,1998,5,symonii,,,male,171,171,130,130,127,127,82,82,152,154,128,132,112,118,125,125,185,191,161,161,76,76,204,204,135,135,115,115,83,83,134,136,192,192
MEC,Merl_Campground,,-12.428,132.956,1998,1998,5,symonii,,,male,179,179,130,130,127,127,80,82,0,0,122,132,112,118,125,125,191,197,161,161,76,76,204,204,135,135,115,117,83,83,134,134,190,200
MEC,Merl_Campground,,-12.428,132.956,1998,1998,5,symonii,,,male,171,171,130,130,127,127,72,88,152,152,122,132,110,112,125,125,193,194,161,161,76,76,204,204,135,135,99,117,83,83,134,134,186,200
MEC,Merl_Campground,,-12.428,132.956,1998,1998,5,symonii,,,male,177,179,130,130,125,125,82,86,152,152,122,128,110,112,125,125,188,200,161,161,76,76,204,204,135,135,107,133,83,83,134,134,190,192
MEC,Merl_Campground,,-12.428,132.956,1998,1998,5,symonii,,,male,175,179,130,130,125,125,82,86,152,154,666,666,110,110,125,125,191,191,161,161,76,76,204,204,135,135,115,117,83,83,134,134,192,192
