Population,Latitude,Longitude,Year_start,Year_end,Season,Sex,Individual,Dbir3,Dbir3,Dser6,Dser6,Dser16,Dser16,Dser34,Dser34,Dser75,Dser75,Dser 10,Dser 10,Dser18 ,Dser18 ,Dser 21,Dser 21,Dser15,Dser15,Dser13 ,Dser13 
Brunswick_Heads,-28.31,153.54,1999,1999,postwinter,F,1,269,271,130,132,139,141,144,146,249,249,141,141,120,122,163,162,174,182,246,246
Brunswick_Heads,-28.31,153.54,1999,1999,postwinter,F,2,281,287,132,132,141,143,136,156,249,249,141,141,122,146,,,171,176,244,246
Brunswick_Heads,-28.31,153.54,1999,1999,postwinter,F,3,271,271,124,132,141,143,136,154,251,255,141,141,122,134,164,164,174,188,244,246
Brunswick_Heads,-28.31,153.54,1999,1999,postwinter,F,4,275,277,132,144,141,143,148,166,249,249,141,141,122,122,162,169,174,180,244,244
Brunswick_Heads,-28.31,153.54,1999,1999,postwinter,F,6,243,287,147,147,141,145,144,148,245,247,141,141,,,158,158,172,178,248,250
Brunswick_Heads,-28.31,153.54,1999,1999,postwinter,F,7,271,271,124,134,143,143,140,150,249,249,141,141,122,122,156,162,178,188,244,253
Brunswick_Heads,-28.31,153.54,1999,1999,postwinter,F,9,269,269,126,130,145,145,150,168,249,249,141,141,122,122,154,160,176,180,242,248
Brunswick_Heads,-28.31,153.54,1999,1999,postwinter,F,10,271,271,132,144,139,141,158,166,249,249,141,141,122,122,163,164,176,178,244,244
Brunswick_Heads,-28.31,153.54,1999,1999,postwinter,F,11,269,271,132,144,141,143,138,168,255,255,141,141,122,122,159,160,174,174,244,250
Brunswick_Heads,-28.31,153.54,1999,1999,postwinter,F,12,269,273,123,125,137,143,150,162,249,249,141,141,110,122,161,169,174,178,244,244
Brunswick_Heads,-28.31,153.54,1999,1999,postwinter,M,1,271,271,130,133,141,141,168,170,251,251,141,141,122,122,156,160,174,174,248,250
Brunswick_Heads,-28.31,153.54,1999,1999,postwinter,M,2,271,289,125,133,141,141,138,138,249,249,141,141,122,122,160,161,176,180,244,253
Brunswick_Heads,-28.31,153.54,1999,1999,postwinter,M,3,269,279,132,135,141,145,135,144,249,249,141,141,122,122,156,171,182,182,244,248
Brunswick_Heads,-28.31,153.54,1999,1999,postwinter,M,4,269,273,138,144,135,145,148,160,237,249,141,141,112,112,148,167,166,174,244,246
Brunswick_Heads,-28.31,153.54,1999,1999,postwinter,M,5,269,275,124,132,135,139,144,154,249,249,141,141,112,122,149,169,179,180,244,244
Brunswick_Heads,-28.31,153.54,1999,1999,postwinter,M,6,269,289,133,138,139,147,142,142,237,237,141,141,120,122,158,160,174,177,242,244
Brunswick_Heads,-28.31,153.54,1999,1999,postwinter,M,7,269,271,131,143,135,141,138,160,249,249,135,141,122,122,162,163,176,176,244,248
Brunswick_Heads,-28.31,153.54,1999,1999,postwinter,M,8,271,273,130,131,139,141,134,160,249,249,141,141,122,122,,,174,178,244,246
Brunswick_Heads,-28.31,153.54,1999,1999,postwinter,M,9,271,277,132,134,135,141,134,170,249,249,141,141,122,122,150,156,174,178,244,246
Brunswick_Heads,-28.31,153.54,1999,1999,postwinter,M,10,245,275,131,132,141,141,140,140,249,249,141,141,122,122,,,172,172,244,244
Brunswick_Heads,-28.31,153.54,1999,1999,postwinter,M,11,279,279,124,125,141,141,130,162,249,249,141,141,94,120,162,172,177,178,244,244
Brunswick_Heads,-28.31,153.54,1999,1999,postwinter,M,12,269,271,123,125,141,143,136,144,249,249,141,141,122,122,162,164,173,177,244,253
Ballina,-28.51,153.50,1999,1999,postwinter,F,1,271,279,132,148,139,141,140,140,249,249,141,145,112,122,158,173,173,173,244,246
Ballina,-28.51,153.50,1999,1999,postwinter,F,2,269,281,131,133,141,147,160,168,249,249,141,141,122,122,160,176,175,175,244,246
Ballina,-28.51,153.50,1999,1999,postwinter,F,3,269,269,125,135,137,143,142,150,249,251,141,141,120,122,166,167,174,188,244,244
Ballina,-28.51,153.50,1999,1999,postwinter,F,5,269,275,138,142,143,143,164,170,237,249,141,141,122,132,162,164,174,178,244,244
Ballina,-28.51,153.50,1999,1999,postwinter,F,6,271,275,132,133,141,141,140,140,249,249,141,141,122,122,155,167,175,175,244,244
Ballina,-28.51,153.50,1999,1999,postwinter,F,7,257,269,135,146,141,143,142,152,249,251,141,141,120,120,157,158,178,188,244,253
Ballina,-28.51,153.50,1999,1999,postwinter,F,8,271,275,131,154,137,137,146,162,249,249,141,141,120,122,149,158,174,178,242,246
Ballina,-28.51,153.50,1999,1999,postwinter,F,9,257,269,129,134,141,143,152,172,249,249,141,141,122,122,158,162,176,180,244,246
Ballina,-28.51,153.50,1999,1999,postwinter,F,10,275,289,125,125,141,145,128,178,249,249,141,141,112,122,158,166,173,180,244,257
Ballina,-28.51,153.50,1999,1999,postwinter,F,11,271,275,124,142,139,141,136,140,249,249,141,141,122,122,158,166,178,178,242,244
Ballina,-28.51,153.50,1999,1999,postwinter,F,12,269,271,125,144,141,145,156,168,249,249,141,141,,,,,,,244,246
Ballina,-28.51,153.50,1999,1999,postwinter,F,13,269,275,124,131,137,141,142,144,249,249,141,141,112,122,,,174,178,244,246
Ballina,-28.51,153.50,1999,1999,postwinter,M,1,271,273,125,140,139,141,,,239,251,,,112,122,,,174,178,242,242
Ballina,-28.51,153.50,1999,1999,postwinter,M,2,271,275,141,144,141,141,130,154,247,249,,,122,122,,,174,182,244,246
Ballina,-28.51,153.50,1999,1999,postwinter,M,3,269,271,132,144,137,141,128,158,249,249,,,122,122,,,176,180,242,244
Ballina,-28.51,153.50,1999,1999,postwinter,M,4,243,271,125,132,141,143,138,142,251,251,140,141,122,122,,,178,178,,
Ballina,-28.51,153.50,1999,1999,postwinter,M,5,269,277,131,133,,,138,148,249,251,,,,,,,168,180,,
Ballina,-28.51,153.50,1999,1999,postwinter,M,6,271,271,144,144,141,141,140,158,249,249,,,112,122,,,166,177,,
Ballina,-28.51,153.50,1999,1999,postwinter,M,7,271,279,132,132,141,141,138,158,247,249,135,141,122,122,163,167,168,174,244,251
Ballina,-28.51,153.50,1999,1999,postwinter,M,8,269,277,144,165,135,141,136,162,249,249,141,141,122,122,159,172,169,183,244,246
Crescent_Head,-31.10,152.99,1999,1999,postwinter,F,1,,,126,142,141,141,156,168,249,249,141,141,122,122,,,172,178,244,244
Crescent_Head,-31.10,152.99,1999,1999,postwinter,F,3,269,277,132,132,141,141,130,156,251,251,141,141,118,122,,,174,178,244,244
Crescent_Head,-31.10,152.99,1999,1999,postwinter,F,4,269,271,132,142,137,141,150,168,249,249,,,122,122,164,168,174,176,244,246
Crescent_Head,-31.10,152.99,1999,1999,postwinter,F,5,,,130,144,141,141,140,140,249,253,141,141,122,122,,,178,178,242,244
Crescent_Head,-31.10,152.99,1999,1999,postwinter,F,7,247,273,144,144,141,141,152,168,249,249,,,122,122,160,166,167,174,236,244
Crescent_Head,-31.10,152.99,1999,1999,postwinter,F,8,255,267,130,132,,,146,152,,,,,120,122,,,184,184,,
Crescent_Head,-31.10,152.99,1999,1999,postwinter,F,9,269,271,144,144,137,145,122,156,249,249,133,141,122,122,158,164,172,177,242,244
Crescent_Head,-31.10,152.99,1999,1999,postwinter,F,10,269,271,145,146,141,143,138,149,249,249,141,141,122,122,164,170,174,176,244,253
Crescent_Head,-31.10,152.99,1999,1999,postwinter,M,1,273,275,130,130,139,145,154,154,249,249,141,141,122,122,,,176,187,244,251
Crescent_Head,-31.10,152.99,1999,1999,postwinter,M,2,271,271,136,148,141,149,152,154,247,249,141,141,,,160,170,167,174,248,248
Crescent_Head,-31.10,152.99,1999,1999,postwinter,M,3,267,271,136,136,141,145,134,160,247,249,,,122,122,,,172,174,,
Crescent_Head,-31.10,152.99,1999,1999,postwinter,M,4,271,277,125,133,141,143,134,150,249,249,,,122,122,154,190,180,210,,
Crescent_Head,-31.10,152.99,1999,1999,postwinter,M,5,269,271,124,130,137,141,146,160,249,249,141,141,122,132,,,174,178,251,251
Crescent_Head,-31.10,152.99,1999,1999,postwinter,M,6,273,275,132,133,141,141,134,174,249,249,141,141,122,122,160,160,178,185,244,246
Crescent_Head,-31.10,152.99,1999,1999,postwinter,M,7,271,271,132,146,141,143,134,168,239,249,,,122,122,,,174,182,,
Crescent_Head,-31.10,152.99,1999,1999,postwinter,M,8,269,275,132,138,135,141,134,168,247,251,141,141,122,122,162,164,177,182,244,246
Crescent_Head,-31.10,152.99,1999,1999,postwinter,M,9,271,273,130,132,141,141,140,150,249,249,141,141,122,122,173,173,174,174,244,246
Crescent_Head,-31.10,152.99,1999,1999,postwinter,M,10,275,275,125,142,141,141,144,168,249,249,,,94,94,160,166,178,178,251,253
Crescent_Head,-31.10,152.99,1999,1999,postwinter,M,11,269,269,145,146,135,139,144,160,249,251,141,141,122,122,164,170,172,182,246,246
Fingal_Head,-28.12,153.43,1999,1999,postwinter,F,1,271,285,132,136,135,141,166,166,247,249,139,141,110,122,161,164,174,184,244,244
Fingal_Head,-28.12,153.43,1999,1999,postwinter,F,2,271,273,124,129,139,141,142,158,251,255,137,141,122,134,158,158,180,184,244,244
Fingal_Head,-28.12,153.43,1999,1999,postwinter,F,3,263,273,130,149,141,141,124,144,249,249,141,141,86,122,160,164,174,177,244,244
Fingal_Head,-28.12,153.43,1999,1999,postwinter,F,4,269,277,132,132,141,141,142,166,248,249,141,141,122,122,158,159,172,173,244,244
Fingal_Head,-28.12,153.43,1999,1999,postwinter,F,5,277,281,132,138,141,145,144,156,249,249,141,141,122,122,161,162,178,180,244,246
Fingal_Head,-28.12,153.43,1999,1999,postwinter,F,6,269,273,125,130,141,143,142,151,249,249,141,141,120,122,146,156,174,178,244,244
Fingal_Head,-28.12,153.43,1999,1999,postwinter,M,1,273,273,125,132,139,141,146,150,247,249,141,141,122,122,164,173,180,180,244,244
Fingal_Head,-28.12,153.43,1999,1999,postwinter,M,2,271,275,144,144,141,141,134,136,239,249,141,141,122,122,152,167,177,178,246,251
Fingal_Head,-28.12,153.43,1999,1999,postwinter,M,3,269,271,131,131,135,141,132,156,239,255,141,141,122,134,155,164,174,177,246,251
Fingal_Head,-28.12,153.43,1999,1999,postwinter,M,4,269,271,132,132,135,141,140,160,237,248,141,141,122,122,158,166,178,178,243,244
Fingal_Head,-28.12,153.43,1999,1999,postwinter,M,5,277,277,130,144,141,143,146,146,251,255,141,141,122,122,146,177,174,180,248,248
Fingal_Head,-28.12,153.43,1999,1999,postwinter,M,6,267,273,134,136,139,141,138,162,249,249,141,141,122,122,160,162,172,173,244,244
Fingal_Head,-28.12,153.43,1999,1999,postwinter,M,7,265,271,131,133,,,160,172,251,251,141,141,122,132,160,164,178,180,242,244
Fingal_Head,-28.12,153.43,1999,1999,postwinter,M,8,269,275,125,144,135,141,130,142,237,237,141,141,122,134,158,164,174,175,244,244
Fingal_Head,-28.12,153.43,1999,1999,postwinter,M,9,269,275,125,131,143,145,138,142,247,249,141,141,122,122,158,172,180,182,244,246
Kingscliff,-28.15,153.46,1999,1999,postwinter,F,1,271,277,132,141,135,141,152,170,249,249,141,141,122,122,162,166,177,180,246,246
Kingscliff,-28.15,153.46,1999,1999,postwinter,F,3,271,275,148,148,143,143,142,158,249,249,141,141,122,122,158,161,174,174,244,244
Kingscliff,-28.15,153.46,1999,1999,postwinter,F,4,265,269,132,132,131,141,144,150,249,249,141,141,122,122,158,164,174,180,244,246
Kingscliff,-28.15,153.46,1999,1999,postwinter,F,5,271,271,132,146,141,143,135,150,249,249,137,141,122,122,156,158,176,186,246,248
Kingscliff,-28.15,153.46,1999,1999,postwinter,F,6,273,275,133,135,141,145,154,154,247,249,141,141,122,132,158,162,176,177,246,246
Kingscliff,-28.15,153.46,1999,1999,postwinter,F,7,271,275,126,133,141,145,138,140,249,249,141,141,122,122,162,164,174,174,246,246
Kingscliff,-28.15,153.46,1999,1999,postwinter,F,8,271,271,130,130,141,143,138,152,249,249,141,141,120,120,158,158,173,178,244,244
Kingscliff,-28.15,153.46,1999,1999,postwinter,F,9,271,281,142,144,137,141,147,154,249,249,141,141,122,122,166,167,172,205,246,250
Kingscliff,-28.15,153.46,1999,1999,postwinter,F,10,271,271,132,146,141,143,140,160,242,249,141,141,122,122,163,163,180,180,,
Kingscliff,-28.15,153.46,1999,1999,postwinter,F,11,271,271,132,136,141,141,138,156,249,249,141,141,110,122,152,158,174,178,244,246
Kingscliff,-28.15,153.46,1999,1999,postwinter,F,12,273,273,124,145,141,141,138,158,249,249,141,141,122,122,158,166,178,188,234,244
Kingscliff,-28.15,153.46,1999,1999,postwinter,F,13,271,273,130,133,145,145,168,170,249,251,141,141,122,122,156,169,184,186,244,244
Kingscliff,-28.15,153.46,1999,1999,postwinter,M,1,263,269,132,144,141,143,132,150,247,247,141,141,122,132,163,182,174,174,242,244
Kingscliff,-28.15,153.46,1999,1999,postwinter,M,2,271,273,132,146,141,143,140,158,249,249,141,141,122,122,152,152,176,178,244,244
Kingscliff,-28.15,153.46,1999,1999,postwinter,M,3,271,271,130,132,137,139,162,168,237,249,141,141,120,122,162,166,178,188,244,244
Kingscliff,-28.15,153.46,1999,1999,postwinter,M,4,241,269,134,145,141,145,144,160,248,249,141,141,122,122,160,167,166,174,244,244
Kingscliff,-28.15,153.46,1999,1999,postwinter,M,5,275,283,131,133,141,141,142,144,249,249,141,141,122,122,153,162,174,178,244,246
Kingscliff,-28.15,153.46,1999,1999,postwinter,M,6,271,277,125,141,141,141,160,172,249,249,141,141,122,122,160,166,168,178,244,246
Kingscliff,-28.15,153.46,1999,1999,postwinter,M,7,275,279,125,169,141,141,138,156,249,249,141,141,122,122,162,162,175,188,242,244
Kingscliff,-28.15,153.46,1999,1999,postwinter,M,8,273,277,124,132,141,141,136,160,247,249,141,141,122,122,,,175,180,244,244
Kingscliff,-28.15,153.46,1999,1999,postwinter,M,9,257,289,144,146,141,143,156,164,247,249,141,141,122,122,158,169,172,176,244,244
Kingscliff,-28.15,153.46,1999,1999,postwinter,M,10,271,277,132,149,141,143,128,138,249,249,141,141,122,122,151,162,172,184,,
Kingscliff,-28.15,153.46,1999,1999,postwinter,M,12,273,279,124,144,139,141,126,142,249,251,141,141,122,122,156,164,178,178,244,244
Kingscliff,-28.15,153.46,1999,1999,postwinter,M,13,271,277,134,154,141,145,146,162,249,251,141,141,122,122,165,167,178,180,244,244
Brisban_Keppera_Park,-27.24,152.98,1999,1999,postwinter,F,1,269,275,124,133,131,141,138,150,249,249,141,145,122,122,164,171,177,180,244,244
Brisban_Keppera_Park,-27.24,152.98,1999,1999,postwinter,F,2,269,269,129,141,141,141,138,158,239,249,141,141,122,122,156,166,180,182,244,244
Brisban_Keppera_Park,-27.24,152.98,1999,1999,postwinter,F,3,275,291,147,168,,,140,140,,,141,141,94,94,,,150,150,,
Brisban_Keppera_Park,-27.24,152.98,1999,1999,postwinter,F,4,275,287,130,130,135,141,160,164,247,249,141,141,122,122,167,168,174,180,250,250
Brisban_Keppera_Park,-27.24,152.98,1999,1999,postwinter,F,5,277,283,131,146,141,141,132,144,237,237,141,141,122,122,161,163,174,180,246,251
Brisban_Keppera_Park,-27.24,152.98,1999,1999,postwinter,F,6,271,279,124,128,141,141,136,136,237,249,135,141,122,122,150,167,174,177,,
Brisban_Keppera_Park,-27.24,152.98,1999,1999,postwinter,F,7,269,273,138,144,141,141,134,138,247,247,141,141,120,122,158,172,175,181,248,251
Brisban_Keppera_Park,-27.24,152.98,1999,1999,postwinter,F,9,271,277,129,144,139,141,156,168,247,249,141,141,120,120,163,163,180,184,248,251
Brisban_Keppera_Park,-27.24,152.98,1999,1999,postwinter,F,10,273,273,123,124,141,141,130,162,249,249,141,141,122,122,149,162,174,184,244,257
