Population,Latitude,Longitude,Season,Year_start,Year_end,Desiccation_resistance
Cape_Tribulation,-16.133,145.43,summer,2001,2001,15.00
Cape_Tribulation,-16.133,145.43,summer,2001,2001,13.25
Cape_Tribulation,-16.133,145.43,constant,2001,2001,13.00
Cape_Tribulation,-16.133,145.43,constant,2001,2001,15.00
Cape_Tribulation,-16.133,145.43,winter,2001,2001,13.50
Cape_Tribulation,-16.133,145.43,winter,2001,2001,14.50
Innisfail,-16.350,145.30,summer,2001,2001,15.30
Innisfail,-16.350,145.30,summer,2001,2001,13.30
Innisfail,-16.350,145.30,constant,2001,2001,12.25
Innisfail,-16.350,145.30,constant,2001,2001,16.00
Innisfail,-16.350,145.30,winter,2001,2001,14.00
Innisfail,-16.350,145.30,winter,2001,2001,14.70
Mackay,-21.300,149.15,summer,2001,2001,17.25
Mackay,-21.300,149.15,summer,2001,2001,15.00
Mackay,-21.300,149.15,constant,2001,2001,14.00
Mackay,-21.300,149.15,constant,2001,2001,12.50
Mackay,-21.300,149.15,winter,2001,2001,14.00
Mackay,-21.300,149.15,winter,2001,2001,18.00
Rainbow_Beach,-26.000,152.90,summer,2001,2001,15.00
Rainbow_Beach,-26.000,152.90,summer,2001,2001,14.70
Rainbow_Beach,-26.000,152.90,constant,2001,2001,10.50
Rainbow_Beach,-26.000,152.90,constant,2001,2001,10.50
Rainbow_Beach,-26.000,152.90,winter,2001,2001,10.00
Rainbow_Beach,-26.000,152.90,winter,2001,2001,10.50
Coffs_Harbour,-30.267,153.03,summer,2001,2001,13.00
Coffs_Harbour,-30.267,153.03,summer,2001,2001,14.50
Coffs_Harbour,-30.267,153.03,constant,2001,2001,13.00
Coffs_Harbour,-30.267,153.03,constant,2001,2001,13.00
Coffs_Harbour,-30.267,153.03,winter,2001,2001,16.70
Coffs_Harbour,-30.267,153.03,winter,2001,2001,13.50
Wandin,-34.383,150.80,summer,2001,2001,16.00
Wandin,-34.383,150.80,summer,2001,2001,16.50
Wandin,-34.383,150.80,constant,2001,2001,15.00
Wandin,-34.383,150.80,constant,2001,2001,15.50
Wandin,-34.383,150.80,winter,2001,2001,14.75
Wandin,-34.383,150.80,winter,2001,2001,15.30
North_Tasmania,-41.367,147.32,summer,2001,2001,12.00
North_Tasmania,-41.367,147.32,summer,2001,2001,14.00
North_Tasmania,-41.367,147.32,constant,2001,2001,12.70
North_Tasmania,-41.367,147.32,constant,2001,2001,12.70
North_Tasmania,-41.367,147.32,winter,2001,2001,12.30
North_Tasmania,-41.367,147.32,winter,2001,2001,12.00
South_Tasmania,-43.067,147.12,summer,2001,2001,16.00
South_Tasmania,-43.067,147.12,summer,2001,2001,15.00
South_Tasmania,-43.067,147.12,constant,2001,2001,14.50
South_Tasmania,-43.067,147.12,constant,2001,2001,14.25
South_Tasmania,-43.067,147.12,winter,2001,2001,14.00
South_Tasmania,-43.067,147.12,winter,2001,2001,14.33
