Population,Latitude,Longitude,Season,Year_start,Year_end,Starvation_resistance
Cape_Tribulation,-16.133,145.43,summer,2001,2001,60.00
Cape_Tribulation,-16.133,145.43,summer,2001,2001,69.00
Cape_Tribulation,-16.133,145.43,summer,2001,2001,64.00
Cape_Tribulation,-16.133,145.43,summer,2001,2001,62.40
Cape_Tribulation,-16.133,145.43,constant,2001,2001,66.00
Cape_Tribulation,-16.133,145.43,constant,2001,2001,68.00
Cape_Tribulation,-16.133,145.43,constant,2001,2001,72.00
Cape_Tribulation,-16.133,145.43,constant,2001,2001,68.00
Cape_Tribulation,-16.133,145.43,winter,2001,2001,63.00
Cape_Tribulation,-16.133,145.43,winter,2001,2001,54.00
Cape_Tribulation,-16.133,145.43,winter,2001,2001,44.00
Innisfail,-16.350,145.30,summer,2001,2001,60.00
Innisfail,-16.350,145.30,summer,2001,2001,68.00
Innisfail,-16.350,145.30,summer,2001,2001,60.00
Innisfail,-16.350,145.30,summer,2001,2001,60.00
Innisfail,-16.350,145.30,constant,2001,2001,68.00
Innisfail,-16.350,145.30,constant,2001,2001,80.00
Innisfail,-16.350,145.30,constant,2001,2001,64.00
Innisfail,-16.350,145.30,constant,2001,2001,30.00
Innisfail,-16.350,145.30,winter,2001,2001,60.00
Innisfail,-16.350,145.30,winter,2001,2001,66.00
Innisfail,-16.350,145.30,winter,2001,2001,68.00
Mackay,-21.300,149.15,summer,2001,2001,67.50
Mackay,-21.300,149.15,summer,2001,2001,66.00
Mackay,-21.300,149.15,summer,2001,2001,68.00
Mackay,-21.300,149.15,summer,2001,2001,67.20
Mackay,-21.300,149.15,constant,2001,2001,78.00
Mackay,-21.300,149.15,constant,2001,2001,73.00
Mackay,-21.300,149.15,constant,2001,2001,84.00
Mackay,-21.300,149.15,constant,2001,2001,72.00
Mackay,-21.300,149.15,winter,2001,2001,45.00
Mackay,-21.300,149.15,winter,2001,2001,44.00
Mackay,-21.300,149.15,winter,2001,2001,52.00
Rainbow_Beach,-26.000,152.90,summer,2001,2001,66.00
Rainbow_Beach,-26.000,152.90,summer,2001,2001,64.00
Rainbow_Beach,-26.000,152.90,summer,2001,2001,60.00
Rainbow_Beach,-26.000,152.90,summer,2001,2001,57.00
Rainbow_Beach,-26.000,152.90,constant,2001,2001,82.00
Rainbow_Beach,-26.000,152.90,constant,2001,2001,63.00
Rainbow_Beach,-26.000,152.90,constant,2001,2001,64.80
Rainbow_Beach,-26.000,152.90,constant,2001,2001,76.00
Rainbow_Beach,-26.000,152.90,winter,2001,2001,44.00
Rainbow_Beach,-26.000,152.90,winter,2001,2001,39.00
Coffs_Harbour,-30.267,153.03,summer,2001,2001,78.00
Coffs_Harbour,-30.267,153.03,summer,2001,2001,64.00
Coffs_Harbour,-30.267,153.03,summer,2001,2001,68.00
Coffs_Harbour,-30.267,153.03,summer,2001,2001,68.00
Coffs_Harbour,-30.267,153.03,constant,2001,2001,78.00
Coffs_Harbour,-30.267,153.03,constant,2001,2001,84.00
Coffs_Harbour,-30.267,153.03,constant,2001,2001,80.00
Coffs_Harbour,-30.267,153.03,constant,2001,2001,78.00
Coffs_Harbour,-30.267,153.03,winter,2001,2001,48.00
Coffs_Harbour,-30.267,153.03,winter,2001,2001,52.80
Coffs_Harbour,-30.267,153.03,winter,2001,2001,68.00
Wandin,-34.383,150.80,summer,2001,2001,64.00
Wandin,-34.383,150.80,summer,2001,2001,64.00
Wandin,-34.383,150.80,summer,2001,2001,64.80
Wandin,-34.383,150.80,summer,2001,2001,60.00
Wandin,-34.383,150.80,constant,2001,2001,54.00
Wandin,-34.383,150.80,constant,2001,2001,66.00
Wandin,-34.383,150.80,constant,2001,2001,69.00
Wandin,-34.383,150.80,constant,2001,2001,66.00
Wandin,-34.383,150.80,winter,2001,2001,57.00
Wandin,-34.383,150.80,winter,2001,2001,63.43
North_Tasmania,-41.367,147.32,summer,2001,2001,36.00
North_Tasmania,-41.367,147.32,summer,2001,2001,62.00
North_Tasmania,-41.367,147.32,summer,2001,2001,48.00
North_Tasmania,-41.367,147.32,summer,2001,2001,48.00
North_Tasmania,-41.367,147.32,constant,2001,2001,66.00
North_Tasmania,-41.367,147.32,constant,2001,2001,66.00
North_Tasmania,-41.367,147.32,constant,2001,2001,72.00
North_Tasmania,-41.367,147.32,constant,2001,2001,84.00
North_Tasmania,-41.367,147.32,winter,2001,2001,54.00
North_Tasmania,-41.367,147.32,winter,2001,2001,54.00
South_Tasmania,-43.067,147.12,summer,2001,2001,65.00
South_Tasmania,-43.067,147.12,summer,2001,2001,66.00
South_Tasmania,-43.067,147.12,summer,2001,2001,72.00
South_Tasmania,-43.067,147.12,summer,2001,2001,60.00
South_Tasmania,-43.067,147.12,constant,2001,2001,69.00
South_Tasmania,-43.067,147.12,constant,2001,2001,84.00
South_Tasmania,-43.067,147.12,constant,2001,2001,84.00
South_Tasmania,-43.067,147.12,constant,2001,2001,81.00
South_Tasmania,-43.067,147.12,winter,2001,2001,48.00
South_Tasmania,-43.067,147.12,winter,2001,2001,44.57
