Population,Latitude,Longitude,Year_start,Year_end,Sex ,Cross_Line,Line,Desiccation_resistance
Mossman,-16.467,145.37,2000,2000,female,Line,1,15.5
Mossman,-16.467,145.37,2000,2000,female,Line,1,13.5
Mossman,-16.467,145.37,2000,2000,female,Line,1,18.5
Mossman,-16.467,145.37,2000,2000,female,Line,1,20.5
Mossman,-16.467,145.37,2000,2000,female,Line,9,11.5
Mossman,-16.467,145.37,2000,2000,female,Line,9,21.5
Mossman,-16.467,145.37,2000,2000,female,Line,9,15.5
Mossman,-16.467,145.37,2000,2000,female,Line,9,13.5
Mossman,-16.467,145.37,2000,2000,female,Line,9,16.5
Mossman,-16.467,145.37,2000,2000,female,Line,14,16.5
Mossman,-16.467,145.37,2000,2000,female,Line,14,16.5
Mossman,-16.467,145.37,2000,2000,female,Line,14,14.5
Mossman,-16.467,145.37,2000,2000,female,Line,14,15.5
Mossman,-16.467,145.37,2000,2000,female,Line,9,12.5
Mossman,-16.467,145.37,2000,2000,female,Line,9,12.5
Mossman,-16.467,145.37,2000,2000,female,Line,9,11.5
Mossman,-16.467,145.37,2000,2000,female,Line,9,16.5
Mossman,-16.467,145.37,2000,2000,male,Line,9,
Mossman,-16.467,145.37,2000,2000,male,Line,9,16.5
Mossman,-16.467,145.37,2000,2000,male,Line,9,15.5
Mossman,-16.467,145.37,2000,2000,male,Line,1,11.5
Mossman,-16.467,145.37,2000,2000,male,Line,1,8.5
Mossman,-16.467,145.37,2000,2000,male,Line,1,11.5
Mossman,-16.467,145.37,2000,2000,male,Line,1,11.5
Mossman,-16.467,145.37,2000,2000,male,Line,14,8.5
Mossman,-16.467,145.37,2000,2000,male,Line,14,9.5
Mossman,-16.467,145.37,2000,2000,male,Line,14,7.5
Mossman,-16.467,145.37,2000,2000,male,Line,14,9.5
Mossman,-16.467,145.37,2000,2000,male,Line,9,10.5
Mossman,-16.467,145.37,2000,2000,male,Line,9,8.5
Mossman,-16.467,145.37,2000,2000,male,Line,9,10.5
Mossman,-16.467,145.37,2000,2000,male,Line,9,11.5
Mossman,-16.467,145.37,2000,2000,male,Cross,50,11.5
Mossman,-16.467,145.37,2000,2000,male,Cross,50,12.5
Mossman,-16.467,145.37,2000,2000,female,Cross,50,
Mossman,-16.467,145.37,2000,2000,male,Cross,50,13.5
Mossman,-16.467,145.37,2000,2000,female,Cross,50,12.5
Mossman,-16.467,145.37,2000,2000,female,Cross,50,15.5
Mossman,-16.467,145.37,2000,2000,female,Cross,50,19.5
Mossman,-16.467,145.37,2000,2000,male,Cross,52,9.5
Mossman,-16.467,145.37,2000,2000,female,Cross,52,9.5
Mossman,-16.467,145.37,2000,2000,female,Cross,52,14.5
Mossman,-16.467,145.37,2000,2000,male,Cross,52,7.5
Mossman,-16.467,145.37,2000,2000,male,Cross,52,9.5
Mossman,-16.467,145.37,2000,2000,male,Cross,52,9.5
Mossman,-16.467,145.37,2000,2000,female,Cross,54,12.5
Mossman,-16.467,145.37,2000,2000,female,Cross,52,13.5
Mossman,-16.467,145.37,2000,2000,female,Cross,54,14.5
Mossman,-16.467,145.37,2000,2000,female,Cross,52,
Mossman,-16.467,145.37,2000,2000,female,Cross,54,16.5
Mossman,-16.467,145.37,2000,2000,female,Cross,54,14.5
Mossman,-16.467,145.37,2000,2000,male,Cross,54,11.5
Mossman,-16.467,145.37,2000,2000,male,Cross,54,13.5
Mossman,-16.467,145.37,2000,2000,male,Cross,54,11.5
Mossman,-16.467,145.37,2000,2000,male,Cross,54,
Mossman,-16.470,145.37,2000,2000,male,Cross,50,11.5
Innisfail,-17.500,145.7,2000,2000,female,Cross,67,16.5
Innisfail,-17.500,145.7,2000,2000,female,Cross,67,19.5
Innisfail,-17.500,145.7,2000,2000,female,Cross,67,17.5
Innisfail,-17.500,145.7,2000,2000,female,Cross,67,15.5
Innisfail,-17.500,145.7,2000,2000,female,Cross,71,17.5
Innisfail,-17.500,145.7,2000,2000,female,Cross,71,23.5
Innisfail,-17.500,145.7,2000,2000,female,Cross,71,21.5
Innisfail,-17.500,145.7,2000,2000,female,Cross,71,20.5
Innisfail,-17.500,145.7,2000,2000,female,Line,8,18.5
